id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m,edu_lit_15_t,edu_lit_15_f,edu_lit_15_m,edu_sec_15_t,edu_sec_15_f,edu_sec_15_m,edu_ter_15_t,edu_ter_15_f,edu_ter_15_m
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,76.7,71.3,81.40000000000001,70.2,59.40000000000001,80.90000000000001,30.3,15.7,44.90000000000001,11,7.2,14.7
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,59.8,50.90000000000001,67.60000000000001,57.90000000000001,46.7,67.7,17.2,10.2,23.2,1.4,.2,2.4
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,63.1,54.90000000000001,70.3,59.2,48.3,68.90000000000001,17.6,11.1,23.4,2.3,.7000000000000001,3.7
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,75.90000000000001,70.3,80.7,68.3,58.5,77.5,20.7,16.4,24.6,8.6,4.3,12.7
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,57.6,47,67.2,64.10000000000001,58.7,69.10000000000001,24.4,16.7,31.7,1.1,.3,1.8
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,58.2,47.7,67.60000000000001,64.8,59.2,70.10000000000001,24.7,17,31.9,1.7,1,2.5
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,72.60000000000001,66.10000000000001,78.30000000000001,78.80000000000001,67.7,90.10000000000001,29.7,22.5,37,14.1,12.7,15.6
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,66.2,56.7,74.40000000000001,56.40000000000001,30.6,75.2,21.8,13,28.3,2,1.1,2.7
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,70.5,62.1,77.7,60.2,38.40000000000001,76.60000000000001,25.1,16.2,31.8,2.4,1.8,2.9
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,81,75.3,86,74.40000000000001,65.2,82.2,37.2,27.1,45.6,3.9,3.9,3.8
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,60.90000000000001,50.7,70,48.3,31.5,64.10000000000001,16.6,7.7,24.9,2.5,.6000000000000001,4.4
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,62.40000000000001,52.6,71.3,51.8,36.3,66.5,19.2,9.9,28,3,.8,5.100000000000001
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,71.3,63.5,78.40000000000001,77.5,70.2,85.30000000000001,38.5,25.3,52.3,6.600000000000001,2.5,11.1
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,62.3,51.40000000000001,72.5,59.1,45.8,70.90000000000001,14.6,6.100000000000001,22.2,1.2,.7000000000000001,1.7
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,63.90000000000001,53.40000000000001,73.60000000000001,57.6,45.5,68.3,16.2,9.300000000000001,22.2,1.8,.7000000000000001,2.7
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,71,62.90000000000001,78.30000000000001,48.7,43.6,53.2,25.3,28.8,22.2,4.9,.7000000000000001,8.6
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,62.40000000000001,50.2,73.7,63.1,56.5,69.8,22.4,13.7,31.4,3.5,1.1,6
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,64.40000000000001,53.1,74.90000000000001,64.90000000000001,57.8,71.8,23.1,13.5,32.6,5,3.6,6.2
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,74.7,67.90000000000001,80.80000000000001,71,62.90000000000001,77.7,25.5,12.9,36.1,9.700000000000001,13,7
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,62.40000000000001,51,72.60000000000001,58.7,38.2,75.90000000000001,25.4,15.2,34,3.2,.3,5.7
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,70.7,62,78.5,70.90000000000001,55.2,84.60000000000001,31.8,24.5,38.1,11.9,7.600000000000001,15.6
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,81,75.60000000000001,85.80000000000001,84.5,73.3,94.5,38.90000000000001,34.6,42.8,21.5,15.4,26.9
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,69.2,55.8,81.30000000000001,56.90000000000001,42.90000000000001,71.7,13.4,5.4,22,2.3,.7000000000000001,4
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,70.5,58,81.7,58.7,44.8,73.40000000000001,14.8,8,22.1,2.9,.9,4.9
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,78.10000000000001,71,84.40000000000001,66.40000000000001,53.1,80.5,20.7,19.3,22.2,5.5,2,9.1
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,69.10000000000001,57.1,80.2,75,62.7,84.90000000000001,30.8,26.1,34.5,3.1,1.6,4.3
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,70.10000000000001,58.6,80.7,73.40000000000001,61.3,83.30000000000001,29.9,25.3,33.6,3.4,1.8,4.7
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,79.40000000000001,72.7,85.30000000000001,51.7,44.90000000000001,59.1,17.1,15.3,19.2,7.4,3.6,11.5
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),68.8,57.6,79,72.10000000000001,59.7,83.7,29,25.3,32.5,4.2,1.2,7.100000000000001
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),69.3,58.40000000000001,79.40000000000001,72.40000000000001,60.1,84,29,25.2,32.7,4.9,1.9,7.800000000000001
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),82.60000000000001,76.3,88.30000000000001,86.5,75.8,96,30.4,21.7,38.1,33.8,31.4,35.9
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,72.5,61.5,82.60000000000001,59.40000000000001,41.6,74.3,24,14.4,32,6.600000000000001,4,8.800000000000001
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,73.40000000000001,63,82.90000000000001,61.3,45.40000000000001,74.90000000000001,24.7,16.6,31.5,7.9,5.5,9.9
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,78.40000000000001,71.3,84.7,80.5,79.10000000000001,82.10000000000001,31.7,36.1,26.6,21.3,19.2,23.8
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,69.40000000000001,58.40000000000001,79.60000000000001,52.6,41.3,63.8,16,8.6,23.3,4.4,1.5,7.300000000000001
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,70.3,59.7,80.10000000000001,54.3,43.3,65.2,17.5,10.3,24.6,5.300000000000001,2.1,8.5
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,79.10000000000001,72.5,85,81.7,74.7,88.80000000000001,41.1,37.2,45.1,19.6,11.4,28
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,61,50,71.3,53.2,35.5,70,25.2,18.4,31.7,5.300000000000001,1.3,9
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,63.7,53.3,73.3,57.1,40.6,72.8,27.6,22,33,6.7,2,11.2
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,80.2,74.40000000000001,85.40000000000001,82,72.3,91.60000000000001,42.6,44.2,41,16,6.4,25.4
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,58.1,46.7,68.8,57.90000000000001,39.1,72.90000000000001,20.8,9.5,29.9,2.4,0,4.4
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,59.8,48.90000000000001,70,58.40000000000001,40.40000000000001,72.90000000000001,20.4,10.1,28.7,2.8,0,5
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,75.10000000000001,68.7,80.80000000000001,64.7,55.1,72.8,15.5,17.7,13.7,6.7,.2,12.3
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,58.40000000000001,45.6,70.2,54.3,25.4,79.90000000000001,12.4,5.100000000000001,18.9,3.2,.1,5.9
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,59.8,47.3,71.2,55.1,26.5,80.30000000000001,13.6,6.300000000000001,20.1,3.2,.2,5.9
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,74.90000000000001,65.90000000000001,82.90000000000001,69.90000000000001,48.7,87.2,38,30.7,44.1,4.3,1.2,6.9
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,65.5,53.1,76.90000000000001,58.90000000000001,45.90000000000001,70.3,31.8,17.4,44.5,5.9,1.2,10.1
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,66.8,55,77.7,60.90000000000001,47.90000000000001,72.3,31.8,19.2,43,7.7,2.7,12
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,76.3,68.8,83,76.3,63.40000000000001,88,31.8,32.2,31.5,20.9,13.9,27.2
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,66.8,54.1,78.60000000000001,65.5,43,80.30000000000001,34.2,10.9,49.40000000000001,5.7,0,9.4
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,67.40000000000001,54.90000000000001,79.10000000000001,65.5,43,80.30000000000001,34.2,10.9,49.40000000000001,5.7,0,9.4
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,75.3,64.5,85.2,,,,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,77.30000000000001,69.90000000000001,82.80000000000001,74.10000000000001,69.5,78.5,16.6,10.9,22.1,1.5,.9,2.1
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,78,71,83.30000000000001,75.2,70.60000000000001,79.60000000000001,17.8,12,23.3,2.4,1.2,3.6
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,83.80000000000001,79.30000000000001,87.80000000000001,89.60000000000001,87,91.60000000000001,33.2,27.9,37.4,14.5,6.2,20.9
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,76.90000000000001,70.3,83.10000000000001,82.30000000000001,77.40000000000001,86.30000000000001,18.1,14.9,20.7,2.1,1.8,2.3
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,77.40000000000001,70.90000000000001,83.5,82.5,77.7,86.5,18.3,15,20.8,2.3,1.9,2.6
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,89.30000000000001,84.90000000000001,93.5,93.90000000000001,92.2,95.2,25.3,20.2,29.3,10.7,4.7,15.4
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,80.2,74.3,85.60000000000001,82.5,78.10000000000001,86.10000000000001,13.7,12.3,14.8,2.8,.8,4.3
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,81.40000000000001,75.8,86.5,83.2,78.10000000000001,87.2,15.2,13.5,16.6,2.7,1,4
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,88.5,84.60000000000001,92.2,89.10000000000001,78,95.2,28,26.1,29,2.2,3,1.7
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,80,73.40000000000001,85.5,78.10000000000001,75.90000000000001,80.40000000000001,17.5,17.7,17.3,4.7,3.1,6.300000000000001
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,83.90000000000001,78.5,88.5,84.30000000000001,82.10000000000001,86.5,26.3,23.7,28.8,7.2,5,9.4
