id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),83.30000000000001,81.80000000000001,84.60000000000001,1.4
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),81.80000000000001,80.40000000000001,83,
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),43.2,46,40.8,
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,78.5,79.7,77.30000000000001,1.6
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,73.8,75.5,72.2,
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,43.3,47.8,39.3,
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,83.60000000000001,84.30000000000001,83,2.7
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,80.5,81.90000000000001,79.2,
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,48.1,56.8,40.1,
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,73.7,74,73.40000000000001,1.2
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,70.7,71.40000000000001,70.10000000000001,
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,46.8,50.3,43.7,
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,78.5,76.90000000000001,80.10000000000001,6.100000000000001
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,74.90000000000001,73.60000000000001,76.2,
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,38.8,40.2,37.5,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,79.40000000000001,77,81.60000000000001,7.4
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,78.2,76.2,80.10000000000001,
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,63.8,66.5,61.40000000000001,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,133.5,134.4,132.6,3.7
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,124.6,126.2,123,
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,54.90000000000001,60.40000000000001,50,
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,133.5,134.4,132.6,2.8
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,124.6,126.2,123,
