id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,69,67.90000000000001,69.8,85.10000000000001,85,85.2,33.3,2.1,55.5,33.3,2.1,55.5,32.6,10.4,52.6
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,58.6,63.7,54.6,81.90000000000001,81.80000000000001,82.10000000000001,46.7,14.6,77,46.7,14.6,77,39.6,19.4,57.7
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,59.90000000000001,64.60000000000001,56,82.40000000000001,82.2,82.5,46,13.7,77,46,13.7,77,39.1,18.8,57.3
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,72.3,72.10000000000001,72.60000000000001,86.60000000000001,86.5,86.7,40,6.800000000000001,76.90000000000001,40,6.800000000000001,76.90000000000001,34.9,13.7,53.8
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,68.60000000000001,66.90000000000001,70,82.30000000000001,83,81.7,38.90000000000001,4.4,66.60000000000001,38.90000000000001,4.4,66.60000000000001,34.7,18,52.1
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,68.7,67.10000000000001,70.10000000000001,82.5,83,81.90000000000001,38.90000000000001,4.3,66.60000000000001,38.90000000000001,4.3,66.60000000000001,34.5,17.5,52
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,72.10000000000001,72.7,71.7,84.2,84.40000000000001,84,37.3,0,67.8,37.3,0,67.8,31.1,10.7,50.90000000000001
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,74.10000000000001,65.8,80.30000000000001,83.30000000000001,83.7,82.90000000000001,40.6,1.1,65.2,40.6,1.1,65.2,33.7,14.8,52.7
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,73.90000000000001,65.60000000000001,80.2,83.40000000000001,83.90000000000001,83,40.5,1.1,65.10000000000001,40.5,1.1,65.10000000000001,33.6,14.6,52.5
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,70,60.2,78.40000000000001,86.10000000000001,86.2,86,37.2,.4,61.40000000000001,37.2,.4,61.40000000000001,31,10.1,50.1
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,57.5,57.7,57.2,82.60000000000001,82.90000000000001,82.30000000000001,34.7,4.5,70.5,34.7,4.800000000000001,70.10000000000001,32,11.7,51.5
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,58.1,58.3,57.90000000000001,82.80000000000001,83,82.5,34.6,4.4,69.7,34.6,4.7,69.40000000000001,31.8,11.4,51.40000000000001
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,68.8,69.60000000000001,68.10000000000001,84.7,84.80000000000001,84.7,33.1,3.3,61.2,33.1,3.3,61.2,30.3,8.1,50.5
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,74.3,73.3,75.10000000000001,82.60000000000001,82.5,82.7,40.3,2.9,72.7,40.3,2.9,72.7,37,15.2,56.40000000000001
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,74,73.2,74.7,82.80000000000001,82.7,82.90000000000001,40.3,3.1,72.8,40.3,3.1,72.8,36.7,14.8,56.2
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,65.3,69.5,61.40000000000001,84.80000000000001,84.7,84.90000000000001,42.2,7.9,79.2,41.90000000000001,7.300000000000001,79.2,32.1,8.5,53.1
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,66.60000000000001,66.10000000000001,67,81.10000000000001,81,81.2,44.6,.9,77.5,45,.9,78.10000000000001,39,18.9,57.40000000000001
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,66.60000000000001,66.2,66.90000000000001,81.30000000000001,81.2,81.40000000000001,44.2,.8,76.90000000000001,44.7,.8,77.7,38.8,18.5,57.2
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,66.3,69.60000000000001,63.90000000000001,85.80000000000001,85.7,85.80000000000001,32.7,0,58.90000000000001,36.2,0,65.10000000000001,32.1,10.3,51.7
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,61,61.90000000000001,60.1,81.30000000000001,81,81.5,46.40000000000001,5.100000000000001,85.5,43.90000000000001,0,85.5,39.8,21.2,56.40000000000001
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,60.7,61.6,59.90000000000001,81.60000000000001,81.40000000000001,81.90000000000001,46,4.9,84.5,43.7,0,84.5,38.7,19.5,55.7
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,56,55,56.8,83.10000000000001,82.90000000000001,83.30000000000001,39.7,.6000000000000001,66.8,39.7,.6000000000000001,66.8,34.1,12.6,53.1
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,63.40000000000001,74.60000000000001,57.5,79.30000000000001,78.80000000000001,79.7,62.1,20,91,62.1,20,90.90000000000001,42.90000000000001,27.3,56.6
