id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,phc,shc,inst_bth,drrh,dpt,full_imm
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,.2,.01,29.5,68.2,76.40000000000001,60.8
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,,,30.6,68.3,76.40000000000001,60.7
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,,,,,,
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,.1,0,15.3,79.2,43.6,34.8
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,,,20.7,80.90000000000001,44.3,35.7
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,,,,,,
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,.2,.01,30.2,66.2,58.1,47.3
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,,,31,66.8,57.2,46.5
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,,,,,,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,.2,.02,13.8,71.40000000000001,30,20
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,,,17.6,72.8,29.5,19.1
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,,,,,,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,.5,.02,42.8,77.60000000000001,59.2,45.8
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,,,42.6,74.7,57.8,44.7
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,,,,,,
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,,,,,,
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,,,,,,
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,4.100000000000001,0,46.40000000000001,42.40000000000001,89.30000000000001,81
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,,,47.40000000000001,43,89.5,81.5
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,2.5,0,40.90000000000001,28.2,88.2,69.10000000000001
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,,,41.8,29.8,88.30000000000001,69
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,,,,,,
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,2.2,0,47.3,33.7,84.7,73.5
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,,,47.5,34,84.80000000000001,73.90000000000001
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,,,,,,
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,1.9,0,62.1,51.5,92.40000000000001,83.60000000000001
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,,,66.3,56.7,93,85.7
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,,,,,,
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,2.6,0,35.5,0,60,22.5
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,,,40.6,0,67.5,18.2
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,,,,,,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,1.5,.44,40.2,42.90000000000001,50,5.600000000000001
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,,,42.90000000000001,45.90000000000001,57.6,7.100000000000001
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,,,,,,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,2.7,.17,20,87,50,8.300000000000001
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,,,30.6,83.7,38.7,15
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,,,,,,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,1.4,.5,57.7,90,50,15
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,1.4,.5,57.7,90,50,15
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,,,71.40000000000001,94.10000000000001,64.60000000000001,15.8
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,,,71.40000000000001,94.10000000000001,64.60000000000001,15.8
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,,,,,,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,,,,,,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,2,.14,52.2,0,14.3,0
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,,,59.1,21.8,31.1,7.100000000000001
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,,,,,,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,3.6,.5700000000000001,41.1,75,50,14.3
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,3.6,.5700000000000001,41.1,75,50,14.3
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,,,54.7,46,44.40000000000001,19.4
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,,,54.7,46,44.40000000000001,19.4
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,,,,,,
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,,,,,,
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,1.4,.7000000000000001,48.2,45.5,42.5,2.5
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,1.4,.7000000000000001,48.2,45.5,42.5,2.5
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,,,53.90000000000001,46.2,52,6.800000000000001
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,,,53.90000000000001,46.2,52,6.800000000000001
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,,,,,,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,,,,,,
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,3.5,1.04,13.2,22.2,26.5,6.100000000000001
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,,,13,21.8,27.2,6.100000000000001
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,.7000000000000001,.23,43.90000000000001,66.7,73,16.7
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,,,45.3,63.2,75.60000000000001,15
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,,,,,,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,1.5,.33,42.90000000000001,100,70,50
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,,,49.5,100,76.90000000000001,46.2
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,,,,,,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,1.4,.14,63.6,100,50,4.9
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,,,60.7,100,58,3.8
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,,,,,,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,.8,.33,54.5,50,37.5,20.8
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,,,54.7,50,37.5,20.8
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,7.100000000000001,0,57.40000000000001,69.2,69.2,15.4
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,,,56.6,64.3,62.2,13.3
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,2.1,.47,41.1,54.5,19.4,12.9
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,2.1,.47,41.1,54.5,19.4,12.9
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,,,48.5,50.6,31.1,16.7
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,48.5,50.6,31.1,16.7
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,,,,,,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,,,,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,.9,.18,56.1,0,67.90000000000001,21.4
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,.9,.18,56.1,0,67.90000000000001,21.4
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,,,57.90000000000001,0,73.40000000000001,18.6
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,,,57.90000000000001,0,73.40000000000001,18.6
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,,,,,,
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,,,,,,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,4.5,.99,34,50,50,20
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,4.5,.99,34,50,50,20
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,,,33.5,50,50,20
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,,,33.5,50,50,20
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,,,,,,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,,,,,,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,,,,,,
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,,,,,,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,,,,,,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,,,,,,
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,,,,,,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,,,,,,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,,,,,,
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,,,,,,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,,,,,,
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,,,,,,
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,,,,,,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,,,,,,
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,,,,,,
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,,,,,,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,,,,,,
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,,,,,,
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,,,,,,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,,,,,,
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,,,,,,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,,,,,,
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,,,,,,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,,,,,,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,,,,,,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,,,,,,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,,,,,,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,,,,,,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,,,,,,
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,,,,,,
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,,,,,,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,,,,,,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,,,,,,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,1.1,.11,24,49.3,68.90000000000001,50.8
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,,,24.4,49,69.10000000000001,50.8
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,,,,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,1,.08,14.3,28.2,23.2,16.8
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,,,14.2,28.6,23.4,16.8
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,.9,.04,31,40,46.5,28.2
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,,,30.5,39.3,46.7,28.2
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,,,,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,1.7,.2,54.90000000000001,74.5,73.3,58.7
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,,,57.5,69.8,77.5,63.40000000000001
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,,,,,,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,.7000000000000001,.18,50.8,54.5,80.60000000000001,59.1
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,,,59.40000000000001,62.90000000000001,77.80000000000001,60.5
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,,,,,,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,.9,.1,83.60000000000001,66.7,78,73.2
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,,,87.2,68.3,85.10000000000001,75
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,,,,,,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,.8,.11,61.7,69,51.90000000000001,40.8
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,,,66,70.2,61.1,47.2
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,,,,,,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,1.4,.06,13.5,26.9,53.90000000000001,36.2
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,,,13.4,26.6,54.1,36.2
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,,,,,,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,.5,.08,28.8,73.3,55.2,46
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,,,27.6,72.90000000000001,51.5,40.2
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,,,,,,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,4.9,.28,30.5,43.1,53.1,35.4
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,,,41.1,43.6,55.7,35.2
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,,,,,,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,5.9,.27,47.2,48.90000000000001,60.7,44.6
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,,,70.5,52.7,65.7,56.40000000000001
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,,,,,,
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,1.8,.23,70.40000000000001,50,71.40000000000001,60
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,,,88.5,56.7,74.2,64
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,,,,,,
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,4.9,.26,44.8,34,55.1,40.40000000000001
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,,,55,37.1,59.5,47.40000000000001
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,,,,,,
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,7.9,.3,56.7,80,67.60000000000001,58.8
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,,,73.8,67.7,74.40000000000001,63.6
3_15_285_0,2011,Urban,3,India,15,Mizoram,285,Serchhip,,,,,,
3_15_286_0,2011,Rural,3,India,15,Mizoram,286,Lunglei,3.5,.11,36.8,16.7,66.2,59.40000000000001
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,,,55.6,25.7,73.8,67.8
3_15_286_0,2011,Urban,3,India,15,Mizoram,286,Lunglei,,,,,,
3_15_287_0,2011,Rural,3,India,15,Mizoram,287,Lawngtlai,2.7,.1,28.8,32,42.1,36.8
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,,,28.8,31.7,41.5,36.8
3_15_287_0,2011,Urban,3,India,15,Mizoram,287,Lawngtlai,,,,,,
3_15_288_0,2011,Rural,3,India,15,Mizoram,288,Saiha,9.9,0,34.5,40.5,74.60000000000001,51.5
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,,,47.8,40.8,72.2,51.8
