id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,neo_mr,imr_t,imr_f,imr_m,u5mr_t,u5mr_f,u5mr_m,morb_chd_ari,morb_chd_dia,morb_chd_fev,morb_ari,morb_dia,morb_fev,morb_art,morb_ast,morb_diab,morb_hyp,morb_tub
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,,,,,,,,,,,,,,,,,,
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,,,,,,,,,,,,,,,,,,
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,,,,,,,,,,,,,,,,,,
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,,,,,,,,,,,,,,,,,,
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,,,,,,,,,,,,,,,,,,
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,,,,,,,,,,,,,,,,,,
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,,,,,,,,,,,,,,,,,,
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,,,,,,,,,,,,,,,,,,
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,,,,,,,,,,,,,,,,,,
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,,,,,,,,,,,,,,,,,,
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,,,,,,,,,,,,,,,,,,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,,,,,,,,,,,,,,,,,,
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,,,,,,,,,,,,,,,,,,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,,,,,,,,,,,,,,,,,,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,,,,,,,,,,,,,,,,,,
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,,,,,,,,,,,,,,,,,,
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,,,,,,,,,,,,,,,,,,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,,,,,,,,,,,,,,,,,,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,,,,,,,,,,,,,,,,,,
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,,,,,,,,,,,,,,,,,,
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,,,,,,,,,,,,,,,,,,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,,,,,,,,,,,,,,,,,,
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,,,,,,,,,,,,,,,,,,
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,,,,,,,,,,,,,,,,,,
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,,,,,,,,,,,,,,,,,,
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,,,,,,,,,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,,,,,,,,,,,,,,,,,,
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,,,,,,,,,,,,,,,,,,
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,,,,,,,,,,,,,,,,,,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,,,,,,,,,,,,,,,,,,
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,,,,,,,,,,,,,,,,,,
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,,,,,,,,,,,,,,,,,,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,,,,,,,,,,,,,,,,,,
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,,,,,,,,,,,,,,,,,,
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,,,,,,,,,,,,,,,,,,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,,,,,,,,,,,,,,,,,,
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,,,,,,,,,,,,,,,,,,
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,,,,,,,,,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,,,,,,,,,,,,,,,,,,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,,,,,,,,,,,,,,,,,,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,,,,,,,,,,,,,,,,,,
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,,,,,,,,,,,,,
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,,,,,,,,,,,,,
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,,,,,,,,,,,,,,,,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,,,,,,,,,,,,,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,,,,,,,,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,,,,,,,,,,,,,,,,,,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,,,,,,,,,,,,,,,,,,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,,,,,,,,,,,,,,,,,,
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,,,,,,,,,,,,,,,,,,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,,,,,,,,,,,,,,,,,,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,,,,,,,,,,,,,,,,,,
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,,,,,,,,,,,,,,,,,,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,,,,,,,,,,,,,,,,,,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,,,,,,,,,,,,,,,,,,
