id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,54.6,499,26.4,.4,2.2,9.700000000000001,22.3,4.3,3.2,1.5,3,14.9,11.9
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,45,498,24.3,1,3.3,10.2,18.4,6,5.7,2.6,3.9,8.200000000000001,16.4
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,45,498,24.3,1,3.3,10.2,18.4,6,5.7,2.6,3.9,8.200000000000001,16.4
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,22.3,628,24.9,.3,1.2,12.6,30.7,2.9,1.4,1.3,1.4,16.8,6.5
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,65.60000000000001,502,35.5,19.3,2.5,6.2,12.8,2.7,3.1,1.2,1.6,7.800000000000001,7.4
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,48,460,39,.8,1,8,18.5,2.9,3.2,1.5,.6000000000000001,14.6,9.9
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,24,481,33,2.9,2.5,15.9,15.4,2.5,2.6,1.6,3.9,10.8,8.800000000000001
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,24.8,481,33,2.9,2.5,15.9,15.4,2.5,2.6,1.6,3.9,10.8,8.800000000000001
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,5.2,587,23.2,0,1.9,9.200000000000001,32.8,4.9,4.600000000000001,1.6,1.9,10.4,9.600000000000001
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,30.6,587,23.2,0,1.9,9.200000000000001,32.8,4.9,4.600000000000001,1.6,1.9,10.4,9.600000000000001
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,30.6,587,23.2,0,1.9,9.200000000000001,32.8,4.9,4.600000000000001,1.6,1.9,10.4,9.600000000000001
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,62.2,492,28.8,.5,2.5,6.2,26.2,4.800000000000001,5.2,1.7,1.4,13.3,9.4
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,62.2,492,28.8,.5,2.5,6.2,26.2,4.800000000000001,5.2,1.7,1.4,13.3,9.4
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,11.7,492,28.8,.5,2.5,6.2,26.2,4.800000000000001,5.2,1.7,1.4,13.3,9.4
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,11.7,492,28.8,.5,2.5,6.2,26.2,4.800000000000001,5.2,1.7,1.4,13.3,9.4
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,,,,,,,,,,,,,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,,,,,,,,,,,,,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,,,,,,,,,,,,,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,,,,,,,,,,,,,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,,,,,,,,,,,,,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,,,,,,,,,,,,,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,,,,,,,,,,,,,
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,,,,,,,,,,,,,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,,,,,,,,,,,,,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,,,,,,,,,,,,,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,,,,,,,,,,,,,
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,105,330,43.2,0,1.4,1.2,28.3,5.100000000000001,1,.8,3.9,8.4,6.7
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,52.6,438,48.8,0,1,.1,23,2.6,1.2,.2,3.1,13,7
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,90.60000000000001,363,30.7,0,1.2,13.1,26.5,3.8,.6000000000000001,1,4,10.9,8.1
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,112,508,33.4,0,6,10,21.6,8.300000000000001,2.5,.4,3.4,5.600000000000001,8.9
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,154,394,27.7,0,8.6,2.6,26.8,7.7,2.5,.4,4.3,8.4,11
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,344,735,10.4,0,7,3.1,24.8,10.9,4.800000000000001,5,3,17,13.9
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,159,381,23.5,0,7.800000000000001,4.800000000000001,26.7,5.300000000000001,2.1,.7000000000000001,4.2,17.5,7.300000000000001
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,63.6,415,38.7,0,2.5,.7000000000000001,24.8,4.5,1.1,.4,3.7,13.8,9.9
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,48.5,366,37,0,2.6,.9,23.8,7.7,2.2,.8,3.6,14.1,7.600000000000001
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,39,626,29.6,.7000000000000001,.4,3.7,18.8,3.3,1.5,4.5,19.5,7.2,10.8
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,37.4,508,30.7,.4,1.1,4,3.7,5.100000000000001,2.5,5.2,23.9,14.7,8.800000000000001
