id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,333.6,434,78.90000000000001,,144.6,79.90000000000001,792.9000000000001,979.5,165,,1671.3,418.1
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,452,572.3000000000001,78.90000000000001,,146,86.30000000000001,1028.7,1242.3,165,,1589.3,502.7000000000001
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,951.6,1030.7,,,153.6,133.3,2024.8,2112.9,,,928.5,1120.9
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,202.6,447.2000000000001,120.2,173.9,172.5,88.2,670.9000000000001,1636.3,752.6,979.4000000000001,1903.8,86.10000000000001
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,302.6,649.8000000000001,131.8,173.9,188.8,96.30000000000001,1082.8,2249.1,811.4000000000001,979.4000000000001,2394.4,267.1
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,956.6,1183.2,900.6,,233.6,237.7,3777.6,3862.5,4708.5,,3736.5,3415.9
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,431.9,575,101.6,183.7,152.4,97.80000000000001,1830.5,1826.7,1506.5,1755.9,2975.5,2043.2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,482.6,614,104,204.7,164.1,104.6,2172.5,2194.1,1518.5,2119,4332.3,2210.8
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,609.8000000000001,694.9000000000001,341.7000000000001,275.3,165.7,134.5,3030.6,2957,2678.4,3338.3,4509.5,2946.6
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,198.4,314.3,198,171.4,91.10000000000001,72.5,801.7000000000001,795.4000000000001,1661.1,857.1,2024.8,509.8
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,242,392,165,188.2,116.1,76.10000000000001,888.7000000000001,932.7000000000001,1265.7,929.1,2021.9,616.5
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,366.3,570,88.90000000000001,321.4,146.1,93.5,1135.6,1248.9,414.9,1499.9,2018.3,1134.5
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,207,310,91.30000000000001,,71.40000000000001,58,418.7000000000001,430.8,552.7000000000001,,2871.2,271.6
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,214.1,321.5,91.30000000000001,60.3,164.2,59.8,444.2000000000001,462.7000000000001,552.1,1207.6,1361.7,298.2
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,413.3,652.3000000000001,92.7,60.3,192,100.2,1162.4,1375.2,419.8,1207.6,909.7000000000001,896.1
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,164.7,254.3,98.40000000000001,,53.6,49.6,481.1,498.9,718.8000000000001,,1403.5,309.1
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,248.3,366.7000000000001,109.6,84.2,124.3,76.3,1001.7,1046.7,813,965.8000000000001,2383.5,772.4000000000001
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,352.8,482.3,157.9,84.2,127.6,124.2,1651.4,1610.1,1208.8,965.8000000000001,2429.6,1601.9
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,268.5,352.6,460.6,128.5,214.3,66.7,944.6,707,2955.8,1354.4,4371.1,387.3
