id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,m_tmp_1,m_tmp_2,m_tmp_3,m_tmp_4,m_tmp_5,m_tmp_6,m_tmp_7,m_tmp_8,m_tmp_9,m_tmp_10,m_tmp_11,m_tmp_12,m_dec_tmp_1,m_dec_tmp_2,m_dec_tmp_3,m_dec_tmp_4,m_dec_tmp_5,m_dec_tmp_6,m_dec_tmp_7,m_dec_tmp_8,m_dec_tmp_9,m_dec_tmp_10,m_dec_tmp_11,m_dec_tmp_12,sd_dec_tmp_1,sd_dec_tmp_2,sd_dec_tmp_3,sd_dec_tmp_4,sd_dec_tmp_5,sd_dec_tmp_6,sd_dec_tmp_7,sd_dec_tmp_8,sd_dec_tmp_9,sd_dec_tmp_10,sd_dec_tmp_11,sd_dec_tmp_12,a_dec_tmp_1,a_dec_tmp_2,a_dec_tmp_3,a_dec_tmp_4,a_dec_tmp_5,a_dec_tmp_6,a_dec_tmp_7,a_dec_tmp_8,a_dec_tmp_9,a_dec_tmp_10,a_dec_tmp_11,a_dec_tmp_12,m_pre_1,m_pre_2,m_pre_3,m_pre_4,m_pre_5,m_pre_6,m_pre_7,m_pre_8,m_pre_9,m_pre_10,m_pre_11,m_pre_12,m_dec_pre_1,m_dec_pre_2,m_dec_pre_3,m_dec_pre_4,m_dec_pre_5,m_dec_pre_6,m_dec_pre_7,m_dec_pre_8,m_dec_pre_9,m_dec_pre_10,m_dec_pre_11,m_dec_pre_12,sd_dec_pre_1,sd_dec_pre_2,sd_dec_pre_3,sd_dec_pre_4,sd_dec_pre_5,sd_dec_pre_6,sd_dec_pre_7,sd_dec_pre_8,sd_dec_pre_9,sd_dec_pre_10,sd_dec_pre_11,sd_dec_pre_12,a_dec_pre_1,a_dec_pre_2,a_dec_pre_3,a_dec_pre_4,a_dec_pre_5,a_dec_pre_6,a_dec_pre_7,a_dec_pre_8,a_dec_pre_9,a_dec_pre_10,a_dec_pre_11,a_dec_pre_12
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,16.714037,19.769159,24.854746,28.213329,29.438063,29.945749,29.142124,29.213634,28.565235,26.858583,22.632805,18.695366,17.002335,19.787319,24.751368,28.742218,29.594078,29.91918,28.901985,29.368956,28.762737,27.355482,23.078985,18.681372,.82568759,.98054951,.70274854,.68282133,.33892953,.43555978,.48216277,.21355529,.33773941,.52728283,.54900128,.41144446,-.72318143,-1.328843,-1.3363969,-.88898891,-.6196149,-.57236475,-.43849689,-.70913416,-.57976079,-.95206141,-1.1882802,-1.101371,3.9113433,5.4749117,9.7928667,29.009254,136.3351,258.67426,360.84927,281.86795,406.30176,15.735555,2.2185707,0,8.1007156,11.15923,19.606007,28.76194,100.83929,190.32838,378.76361,272.30936,289.8808,72.105385,10.696766,1.579612,10.750265,10.345247,7.9424949,13.899455,40.401569,56.11945,65.516342,49.704399,81.266602,42.819969,16.031593,1.7532983,3.2316473,.52662414,-6.4128876,2.396986,-8.0396576,32.256229,-.86640233,.14659725,-52.304867,15.472378,-.88429034,3.240299
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,16.830259,19.929846,25.059984,28.483517,29.767323,30.194132,29.277203,29.268297,28.711349,26.97319,22.781216,18.675171,17.089014,19.936884,24.942862,29.050837,29.936489,30.172029,29.015196,29.43334,28.911932,27.487873,23.195379,18.735168,.82709295,.97899067,.69820845,.69423461,.33768746,.46032348,.49176165,.21713793,.33237305,.5244419,.55828232,.41467032,-.73550868,-1.3509305,-1.3308334,-.90269881,-.58153111,-.54315174,-.40571433,-.69518924,-.59300131,-.93279314,-1.2025089,-1.0960453,3.5756063,5.2298083,9.0061216,25.863846,121.15401,241.94902,342.73355,266.80762,387.35016,16.916447,1.9387311,0,8.7535496,11.323409,18.672499,23.816851,88.474609,172.18018,355.59213,264.05157,275.41339,69.474045,10.467487,1.4147005,11.819877,10.58082,7.694087,11.989053,36.783035,53.304955,60.197281,47.902649,78.108948,42.043533,15.838336,1.5738468,3.7249296,.59931695,-6.0533023,2.65499,-7.1246681,28.696405,-2.0745754,-.29028061,-47.914204,17.865532,-.99661791,2.8204486
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,16.930107,19.778276,25.025587,28.536018,30.048708,30.334513,29.480322,29.548065,29.012688,27.066879,23.008173,18.630108,17.156168,19.872978,24.821812,29.094641,30.133047,30.382013,29.222916,29.675112,29.209513,27.744381,23.468817,18.847204,.81885338,.95913631,.71843368,.71559685,.33895397,.47389656,.56335801,.19968723,.36895797,.54616052,.56099755,.43925375,-.85155922,-1.4505987,-1.3736676,-.95949209,-.54568732,-.51320028,-.40689191,-.76718831,-.657049,-1.0024438,-1.3230042,-1.1956778,3.247524,3.2132187,7.8211699,27.00708,127.5704,236.7415,375.3674,262.29309,397.89148,20.445004,.7418232,0,8.6083517,10.909027,18.621563,22.103708,89.329987,155.15862,375.04156,275.19101,269.89166,62.033272,8.977829,1.5936168,11.489517,10.919448,8.0467825,11.863438,40.585369,51.547981,64.639664,53.868351,81.10009,38.455944,14.446227,1.7335793,3.9193671,.15065721,-6.3622775,3.1487365,-9.4041796,27.399128,-4.9299755,.10398348,-43.225346,22.962866,-.56388205,2.757158
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,16.727833,19.893333,25.42485,29.056068,30.76774,30.830114,29.848738,29.743488,29.32778,27.137794,23.03508,18.341055,17.064674,20.022127,25.046301,29.575567,30.825993,31.066732,29.625458,29.891945,29.533287,27.821108,23.502213,18.729509,.85585719,.94783974,.79228967,.74722993,.36378026,.62246621,.67043352,.18706404,.40742156,.52168369,.55491298,.49768683,-.81444818,-1.4869244,-1.309586,-.96148407,-.47613254,-.46952981,-.38477504,-.78928703,-.73563766,-1.0675129,-1.407583,-1.2488191,2.9603112,2.3084307,5.4951701,25.350534,103.19863,255.97359,363.75885,263.24445,410.38943,31.108141,.10311188,0,8.1227846,11.399547,17.035341,17.023081,76.102631,141.87608,356.86453,282.34628,259.88876,56.429771,6.8707623,1.9487339,10.045754,13.13526,8.1526127,9.6051588,38.927925,59.680908,60.161839,52.157116,83.886261,33.253059,11.31141,2.1208372,4.3942895,.30735025,-5.8891444,3.1555197,-9.6921377,22.332985,15.78808,5.6063237,-32.033714,25.216768,.76260978,2.5642579
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,16.481951,20.022881,25.773569,29.569168,31.585976,31.220718,30.138453,29.854567,29.496328,27.185638,23.07432,17.985619,16.920834,20.146563,25.195705,30.038506,31.554653,31.724308,29.960627,29.990492,29.717873,27.826389,23.546301,18.682688,.95869571,.96128643,.91598451,.83582163,.47049686,.87605727,.88653266,.20861426,.47356895,.49650034,.53857076,.59278518,-.75955462,-1.4924369,-1.2144079,-.96743804,-.40640625,-.31453797,-.44896516,-.83248442,-.81234264,-1.1612408,-1.5319419,-1.3483727,3.3138309,2.7724562,3.5931237,20.916595,89.756409,338.10373,393.12424,294.59464,440.82605,23.292015,0,0,8.6069441,13.147942,14.792447,16.588518,63.41246,156.99373,357.15836,294.85019,255.7059,45.313808,4.6818089,2.1643367,10.115308,16.023613,8.0306654,10.48769,33.366779,89.323647,69.261993,57.708836,88.296722,26.76375,7.5973511,2.2799804,6.0310702,-.49913192,-5.3804317,2.6911728,-9.6618099,18.075628,35.775471,24.991268,-10.407028,23.792484,1.5278988,3.255321
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,16.412752,20.160172,25.787247,29.740257,31.821917,31.423059,30.187248,29.834238,29.5,27.294411,23.107161,17.91275,16.894594,20.243565,25.22016,30.214273,31.797575,31.942898,30.01232,29.97632,29.751068,27.866642,23.557816,18.642212,.96030664,.9572317,.92861056,.84084928,.49773687,.92778617,.8698085,.2188289,.46142042,.48903507,.5415495,.58314705,-.69586539,-1.4906954,-1.1575166,-.93031603,-.37851366,-.31728938,-.42186657,-.80130792,-.80504525,-1.1350448,-1.5151453,-1.312117,3.0183334,2.7944152,2.9062905,18.344612,69.845573,302.30731,351.79623,279.84595,407.69577,25.694908,0,0,8.3637753,12.839905,12.706226,12.711851,52.228809,138.23495,324.97513,280.36057,236.74915,42.775517,4.6852899,1.6952056,9.564476,15.939336,7.0806327,7.7987342,28.634649,79.982582,58.456715,52.019249,82.414627,24.096664,7.4617176,1.8497649,6.0588126,-.1765357,-4.5187759,2.2604167,-8.0770092,15.223396,41.103027,23.46884,-6.6283336,22.149176,1.8314658,2.2706101
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,16.404024,20.232998,25.80138,29.772619,31.926359,31.58894,30.215847,29.804825,29.480093,27.357733,23.027977,17.904058,16.936226,20.289755,25.354393,30.342398,31.89533,32.009048,29.977533,29.982809,29.732229,27.780346,23.413967,18.496433,.93109626,.96606874,.886639,.80765432,.44920665,.91721672,.76770842,.21962534,.40730467,.47977316,.56835419,.50250578,-.64787596,-1.4922433,-1.137758,-.88039023,-.36408624,-.41437933,-.36661193,-.75576001,-.73791635,-1.0461725,-1.417641,-1.2159603,2.6840615,3.2172503,3.3595724,18.116062,60.494396,252.35588,314.82449,250.94849,376.81573,39.077534,.019874005,0,8.4828014,14.308474,14.195877,10.137535,50.000832,121.20182,310.42615,263.49292,227.39635,50.10944,6.4589024,1.8985425,9.9188299,18.649607,7.8353744,6.1144276,30.132078,64.882607,48.505417,46.4482,78.535919,29.139095,10.203134,2.3493659,5.6123376,1.1745831,-4.7612634,1.8047618,-7.4931569,15.081097,41.694679,12.734756,-11.160366,24.274878,2.7315366,2.0828826
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,16.640938,20.27774,25.857534,29.616123,31.553875,31.176762,30.018126,29.660168,29.359591,27.398472,23.00005,18.181974,17.06756,20.27327,25.495588,30.219284,31.5709,31.465204,29.773018,29.839947,29.573975,27.820118,23.409571,18.639435,.87533498,.97364289,.82546538,.77025729,.37978673,.76127338,.66946042,.21077901,.38013798,.4781312,.56700546,.45839795,-.64711052,-1.4433765,-1.1783864,-.86360741,-.40564087,-.45385531,-.33418581,-.726928,-.67434198,-.98898101,-1.3406639,-1.1672989,2.6420403,2.938689,4.9448948,17.403128,69.933594,233.74564,303.23404,249.50528,371.46115,36.730591,.20060357,0,8.2398262,12.452249,16.154087,10.489341,55.435696,123.52318,304.75174,258.57886,238.67683,58.794922,7.0976439,1.7438873,10.2581,14.938796,8.1665516,5.9678326,30.40517,57.955185,45.896461,42.308418,75.912292,33.554626,10.995092,2.1280611,5.043118,1.0731149,-5.1590734,2.2614157,-6.2940593,16.58247,28.765594,8.1126623,-22.490805,24.658297,1.6100489,2.2770438
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,16.828943,20.156771,25.571831,29.147833,30.793673,30.63961,29.645838,29.478508,29.144615,27.337778,23.004948,18.528332,17.183353,20.20013,25.304886,29.766268,30.889284,30.771278,29.413586,29.647869,29.334724,27.826117,23.438404,18.851789,.83227289,.98011768,.74043798,.72817796,.34243405,.57069552,.58483702,.21946673,.35859281,.50262552,.56594646,.43672928,-.7230925,-1.4204257,-1.2471626,-.88391608,-.4821378,-.48331064,-.3603062,-.70285922,-.65645975,-.94456297,-1.2840106,-1.1500161,2.9120407,3.698849,6.4207067,21.630144,90.914207,227.84108,317.38797,251.07481,368.63327,26.92296,.79119188,0,8.7192116,11.123045,16.585585,15.630311,67.888092,136.96429,321.97342,257.6683,249.53304,62.145351,7.8986783,1.5720866,11.561976,11.69031,7.5434513,8.3807144,32.299492,53.348175,50.628899,43.533573,74.046173,36.49308,12.234677,1.8071311,4.6810255,.59247893,-5.296062,2.7790306,-6.3227649,20.558661,11.20305,3.5459569,-32.019428,23.07506,.20248346,2.5202115
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,16.783331,20.291483,25.5492,29.126982,30.675236,30.572056,29.413839,29.236059,28.85721,27.20936,22.871429,18.432541,17.133888,20.234863,25.36022,29.763567,30.816473,30.65428,29.179478,29.419027,29.049643,27.577597,23.235685,18.685823,.83672583,.99839026,.72142446,.72210783,.33315501,.57926118,.53372657,.22682865,.32970032,.49323621,.57236862,.43382305,-.67999393,-1.3819004,-1.2105144,-.84269875,-.47134805,-.4816795,-.35804471,-.6426248,-.60148722,-.8862589,-1.2258222,-1.0793654,2.8280675,4.7635899,7.1130157,21.294455,84.592079,231.12796,296.59818,248.40358,364.85999,24.507898,1.3437403,0,9.2790451,10.807234,16.812126,15.988121,64.482262,144.1257,306.97229,248.45769,254.53496,64.058624,8.2355862,1.5172083,12.581488,11.019298,7.5599637,8.4514589,29.205231,54.753269,50.448734,40.68364,73.0998,38.486591,12.276009,1.8249639,4.7771821,1.0136672,-5.0895586,2.8656626,-5.1768336,20.096735,11.056593,2.9182673,-33.594177,20.535057,-.11163153,2.6735718
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,16.860777,20.15946,25.292702,28.730202,30.065977,30.305063,29.250927,29.213432,28.71596,26.995478,22.78697,18.581909,17.119612,20.096132,25.178526,29.345583,30.256138,30.31575,29.011095,29.397787,28.905476,27.45388,23.167166,18.683933,.82572585,.99933374,.69385898,.69955468,.33066598,.49322999,.48386255,.23549335,.32320124,.51659125,.56594324,.42442805,-.70425701,-1.3409406,-1.2830732,-.86346751,-.53872448,-.52397883,-.37905532,-.65369326,-.58058912,-.8780064,-1.1716619,-1.0590947,3.111779,5.5969963,8.306179,23.840372,104.39344,235.06882,314.98206,258.9769,374.20053,17.248186,1.8344297,0,9.1123648,10.831612,17.187256,20.99469,77.545563,164.84329,328.91074,255.39107,268.73969,67.466454,9.2688742,1.5376167,12.453233,10.14706,7.2038431,10.787405,32.106026,53.42202,57.389854,44.72842,76.127312,41.642063,13.799173,1.7588494,3.9227765,.99643475,-5.3273139,2.9088068,-5.8058162,25.117008,.55015743,.018196771,-43.736,17.649477,-.92736751,3.0832882
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,16.535025,20.158152,25.132694,28.469967,29.766541,30.052467,29.039553,28.977976,28.47682,26.840685,22.579088,18.384829,16.884195,19.979431,25.077999,29.089455,29.951571,30.032946,28.804058,29.187273,28.634863,27.11058,22.914188,18.392708,.83511436,1.0425855,.7094835,.68391204,.31921402,.50091892,.44186035,.25552514,.29852337,.50173277,.55817795,.4403697,-.59393024,-1.2674886,-1.2251096,-.76806331,-.55194294,-.53373134,-.39438927,-.60620201,-.52217537,-.81164587,-1.0910498,-.97435677,3.0369558,6.7405782,8.6620255,27.410448,108.51741,248.31818,301.34549,274.01346,375.36063,15.330073,2.65502,0,8.1162987,9.670126,16.192995,26.316868,86.13887,184.16451,327.50458,255.58034,277.64291,72.751938,9.1524458,1.5407519,10.922575,8.8990583,6.6203938,12.861168,31.700407,57.864506,60.626686,41.531639,76.241959,44.006161,12.702418,1.7837187,3.0637021,1.5273962,-4.6583509,3.3960724,-5.1665993,24.487246,7.2002211,1.0040219,-44.101074,12.691391,-.93105352,3.3019235
