id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,.1,51.3,0,0,0,0,0,0,0,0
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,.2,81.5,0,0,0,0,0,0,0,0
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,.3,32.4,0,0,0,0,0,.4,.4,0
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,.5,43.1,0,0,0,0,0,8.9,8.9,0
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,.2,77.5,0,0,0,0,0,16.2,16.2,0
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,1.2,35.6,0,0,0,0,0,0,0,0
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,.1,90.5,0,0,0,0,0,0,0,0
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,.7000000000000001,88.30000000000001,0,0,0,0,0,3.3,3.3,0
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,38.3,2.8,0,0,0,0,0,41.90000000000001,15.4,34.4
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,48,2.7,0,0,0,0,0,7,.7000000000000001,6.800000000000001
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,42,6.7,0,0,0,0,0,16.9,.7000000000000001,16.9
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,21.7,32.2,0,0,0,0,0,0,0,0
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,.2,62.6,0,0,0,0,0,0,0,0
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,.5,80.40000000000001,0,0,0,0,0,0,0,0
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,0,81.90000000000001,0,0,0,0,0,18.8,18.8,0
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,.1,94.2,0,0,0,0,0,0,0,0
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,.2,94.40000000000001,0,0,0,0,0,0,0,0
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,.2,93.5,0,0,0,0,0,5.7,5.7,0
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,0,90.5,0,0,0,0,0,3.1,3.1,0
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,0,86.2,0,0,0,0,0,.1,.1,0
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,.1,60.90000000000001,0,0,0,0,0,8.5,8.5,0
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,0,87.7,0,0,0,0,0,0,0,0
3_16_289_0,2011,Total,3,India,16,Tripura,289,West Tripura,8.9,5.2,0,0,0,0,0,6.5,6.5,0
3_16_290_0,2011,Total,3,India,16,Tripura,290,South Tripura,5.300000000000001,5.100000000000001,0,0,0,0,0,9.800000000000001,9.800000000000001,0
3_16_291_0,2011,Total,3,India,16,Tripura,291,Dhalai,1.5,24.1,0,0,0,0,0,8.9,8.9,0
3_16_292_0,2011,Total,3,India,16,Tripura,292,North Tripura,4.2,21.5,0,0,0,0,0,.6000000000000001,.6000000000000001,0
3_17_293_0,2011,Total,3,India,17,Meghalaya,293,West Garo Hills,5.7,3.3,0,0,0,0,0,.3,.3,0
3_17_294_0,2011,Total,3,India,17,Meghalaya,294,East Garo Hills,.2,11.6,0,0,0,0,0,0,0,0
3_17_295_0,2011,Total,3,India,17,Meghalaya,295,South Garo Hills,1,43.40000000000001,0,0,0,0,0,1.4,1.4,0
3_17_296_0,2011,Total,3,India,17,Meghalaya,296,West Khasi Hills,1.4,37.2,0,0,0,0,0,0,0,0
3_17_297_0,2011,Total,3,India,17,Meghalaya,297,Ribhoi,1.6,22.2,0,0,0,0,0,.5,.5,0
3_17_298_0,2011,Total,3,India,17,Meghalaya,298,East Khasi Hills,3,36.6,0,0,0,0,0,0,0,0
3_17_299_0,2011,Total,3,India,17,Meghalaya,299,Jaintia Hills,3.4,49.2,0,0,0,0,0,0,0,0
3_18_300_0,2011,Total,3,India,18,Assam,300,Kokrajhar,14,15.7,0,0,0,0,0,0,0,0
3_18_301_0,2011,Total,3,India,18,Assam,301,Dhubri,68.60000000000001,.1,0,0,0,0,0,0,0,0
3_18_302_0,2011,Total,3,India,18,Assam,302,Goalpara,37.4,.1,0,0,0,0,0,0,0,0
3_18_303_0,2011,Total,3,India,18,Assam,303,Barpeta,72.40000000000001,.1,0,0,0,0,0,0,0,0
3_18_304_0,2011,Total,3,India,18,Assam,304,Morigaon,63.3,2.1,0,0,0,0,0,3.9,3.9,0
3_18_305_0,2011,Total,3,India,18,Assam,305,Nagaon,61.3,7,1,1,0,0,640,4.9,4.600000000000001,2.5
3_18_306_0,2011,Total,3,India,18,Assam,306,Sonitpur,18.8,7.4,0,0,0,0,0,8.300000000000001,8.300000000000001,0
3_18_307_0,2011,Total,3,India,18,Assam,307,Lakhimpur,31.3,4.800000000000001,0,0,0,0,0,7,7,0
3_18_308_0,2011,Total,3,India,18,Assam,308,Dhemaji,45.5,5.100000000000001,0,0,0,0,0,1.7,1.7,0
3_18_309_0,2011,Total,3,India,18,Assam,309,Tinsukia,8.6,20.7,1,1,0,0,696,2,2,0
3_18_310_0,2011,Total,3,India,18,Assam,310,Dibrugarh,23.7,5,0,0,0,0,0,11.4,11.4,0
3_18_311_0,2011,Total,3,India,18,Assam,311,Sivasagar,55.8,4.800000000000001,0,0,0,0,0,0,0,0
3_18_312_0,2011,Total,3,India,18,Assam,312,Jorhat,36.7,5.9,0,0,0,0,0,0,0,0
