id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,63.8,43.2,7.4,21.1,43.5
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,33.5,,,85,
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,35.9,,,78.80000000000001,
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,50.7,38,10.2,40,58.3
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,32.7,,,84.80000000000001,
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,34.6,,,80.30000000000001,
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,51.6,35.7,11,38.6,57.6
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),33.2,,,87.40000000000001,
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),34.4,,,85.5,
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),61.90000000000001,63.5,5.300000000000001,40.5,45.1
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,35.9,,,88.2,
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,38.40000000000001,,,81.30000000000001,
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,52.3,54.2,14.8,42.1,39.5
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,35.6,,,89.40000000000001,
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,37.2,,,85.30000000000001,
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,53.5,42.90000000000001,7.7,43.8,72.8
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,29.4,,,87.90000000000001,
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,33.2,,,79.80000000000001,
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,59.3,42.2,10.1,24,44.2
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,27.3,,,84.5,
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,29.9,,,79.7,
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,53.90000000000001,,0,35.1,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,27.8,,,85.10000000000001,
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,29,,,82.40000000000001,
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,42.7,,0,51.2,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,29.7,,,87.5,
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,32.7,,,81.5,
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,53.90000000000001,30.5,2.2,37.9,82.90000000000001
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,30.3,,,90.60000000000001,
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,31.1,,,89.60000000000001,
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,42.2,,0,76,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,50.90000000000001,,,56.3,
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,53.8,,,51,
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,77.90000000000001,93,7.5,6.600000000000001,0
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,40.5,,,43.90000000000001,
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,42,,,42.5,
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,78,68.10000000000001,35.5,11.6,13
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,48.8,,,36,
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,54.3,,,31,
