id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,37.3,,89.10000000000001,10.3,.2,.2,.1,88.90000000000001,.4,.2,.2,.1
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,49.40000000000001,31,90.60000000000001,9.200000000000001,0,0,.1,90.5,.4,0,0,0
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,53.8,,93.7,5.2,.6000000000000001,.2,.2,92.90000000000001,1.8,.6000000000000001,.2,.2
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,57.8,,94.60000000000001,3.5,1.2,.3,.3,93.5,1.5,1.2,.3,.3
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,68.7,41.3,95.30000000000001,2.3,1.6,.4,.4,93.90000000000001,1.3,1.6,.4,.4
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,48.8,,93.80000000000001,5.2,.5,.3,.2,92.40000000000001,.3,.5,.3,.1
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,51,,94.90000000000001,3.8,.5,.6000000000000001,.2,93.5,.3,.5,.6000000000000001,.1
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,64.2,55.6,96.10000000000001,2.2,.5,1,.2,94.80000000000001,.4,.5,1,.2
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,39.2,,84.90000000000001,14.4,.4,.2,.1,83.10000000000001,.6000000000000001,.4,.1,.1
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,41.1,,90,8,.9,.6000000000000001,.5,89,.7000000000000001,.9,.5,.5
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,50.90000000000001,,93.7,3.3,1.4,.8,.8,93.30000000000001,.8,1.3,.8,.8
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,46.5,,89.30000000000001,9.600000000000001,.6000000000000001,.2,.2,88.40000000000001,.5,.6000000000000001,.2,.2
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,47.90000000000001,,92.2,6.7,.8,.2,.1,91.60000000000001,.4,.8,.2,.1
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,55,38,95.90000000000001,2.9,.9,.1,.1,95.7,.2,.9,.1,.1
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,51.90000000000001,,91.40000000000001,6.800000000000001,1.3,.4,.1,90.60000000000001,.6000000000000001,1.3,.4,.1
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,62.5,,95.90000000000001,3.4,.6000000000000001,.2,.1,95.60000000000001,.4,.6000000000000001,.2,.1
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,76.40000000000001,61,97.30000000000001,2.2,.3,.1,.1,97.2,.4,.3,.1,.1
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,61.40000000000001,,90.5,8.4,.6000000000000001,.2,.3,89.2,.5,.5,.2,.3
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,62.3,,92.60000000000001,5.9,1,.2,.2,91.60000000000001,.5,1,.2,.2
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,67.3,50.5,96,2,1.8,.2,.1,95.30000000000001,.4,1.8,.2,.1
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,55.8,,93.30000000000001,5.300000000000001,1,.2,.2,92.60000000000001,1,.9,.2,.2
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,56.7,,94.5,4,1.1,.3,.2,93.90000000000001,.8,1.1,.3,.1
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,65.5,50.8,97,1.1,1.5,.4,.1,96.90000000000001,.3,1.5,.4,.1
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),43.3,,91.60000000000001,5.4,2.1,.6000000000000001,.3,90,1.2,2,.6000000000000001,.2
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),44,,92,5.2,2,.6000000000000001,.3,90.5,1.3,1.9,.6000000000000001,.2
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),61.6,43.8,95.30000000000001,3,1.2,.4,.1,94.90000000000001,1.6,1.2,.4,.1
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,58.1,,93.7,4.4,1.4,.2,.3,93.40000000000001,.5,1.4,.2,.2
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,59.3,,94.2,3.9,1.5,.2,.3,93.80000000000001,.5,1.5,.2,.2
