id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,6.4,,18.4,,83.30000000000001,89.40000000000001,78.80000000000001,2.715
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,13.8,6.100000000000001,7.5,17,64.90000000000001,77.80000000000001,84.2,3.237
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,.6000000000000001,,22.4,,100,96.7,69.5,1.74
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,1,,21.5,,99.80000000000001,96.30000000000001,72.8,1.934
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,3.8,1.9,15.7,31.3,98.90000000000001,94.60000000000001,84.5,2.614
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,.5,,20,,100,100,69.10000000000001,2.059
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,.8,,19.7,,99.5,99.2,71,2.217
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,2.9,1.5,16.7,27.2,93,89.30000000000001,92.5,3.701
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),.6000000000000001,,23.8,,100,100,79.2,2.002
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),.8,,23.4,,98.40000000000001,98.5,79.60000000000001,2.137
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),4.2,1.1,14,29.7,45,51.3,92.80000000000001,5.291
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,.7000000000000001,,19.9,,99.5,100,65.10000000000001,1.826
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,1,,19.2,,98.30000000000001,100,67.7,1.965
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,3,2.5,15.1,16.3,84.2,100,62.90000000000001,.722
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,.4,,23.6,,100,100,58.40000000000001,1.178
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,.6000000000000001,,22.8,,99.7,100,59.2,1.207
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,2.6,.8,14.8,25,93.80000000000001,100,70.7,1.747
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,.3,,32,,99.5,100,69.8,1.241
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,1.1,,29.2,,92.5,94.40000000000001,73.5,1.607
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,6.600000000000001,2.8,9.700000000000001,23.6,46.8,57.6,40.8,.59
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,.2,,39.40000000000001,,94.80000000000001,100,42.1,.543
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,.4,,37.6,,95,99.40000000000001,45.3,.72
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,2,,20.3,,96.80000000000001,92.10000000000001,75.90000000000001,1.881
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,.3,,34.4,,100,100,69.5,1.701
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,.4,,33.3,,99.40000000000001,99.40000000000001,70.90000000000001,1.826
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,2.3,,20.7,,86.5,86.5,49.8,.5640000000000001
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,.4,,31.5,,100,100,68.40000000000001,1.275
