id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,89.5,92.60000000000001,89.2,75.90000000000001,7.100000000000001,68.8
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,89.10000000000001,92.10000000000001,88.2,67.2,6.2,61
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,88.7,92.80000000000001,89.30000000000001,83.60000000000001,6.7,76.80000000000001
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,88.60000000000001,92.80000000000001,89.30000000000001,82.5,6.7,75.7
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,87.40000000000001,93.90000000000001,88.5,64.2,6.4,57.8
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,88,94.40000000000001,90.90000000000001,76.2,7.4,68.8
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,88,94.10000000000001,90.30000000000001,72.2,7.300000000000001,65
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,88.10000000000001,92.10000000000001,87.5,57.8,6.800000000000001,51
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,90.80000000000001,94.90000000000001,90.30000000000001,73.8,8.1,65.8
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,90.7,94.80000000000001,90.2,73.40000000000001,8,65.40000000000001
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,87.5,90.30000000000001,89.30000000000001,62.8,7.5,55.3
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,87.30000000000001,93.2,91.10000000000001,72,7.7,64.3
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,87.60000000000001,92.7,90.2,66.7,7.4,59.3
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,88.40000000000001,91.10000000000001,87.5,54.2,6.800000000000001,47.40000000000001
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,90.30000000000001,92.60000000000001,90.60000000000001,77.80000000000001,7.7,70.10000000000001
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,90.2,92.10000000000001,90.80000000000001,76.10000000000001,7.600000000000001,68.5
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,89.5,89.10000000000001,91.80000000000001,66.40000000000001,6.9,59.5
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,93.60000000000001,94.90000000000001,92.30000000000001,80.10000000000001,8.200000000000001,71.90000000000001
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,93,94.2,91.60000000000001,78.30000000000001,8,70.3
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,90,90.30000000000001,87,69.90000000000001,6.7,63.2
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,92.40000000000001,94,89.7,75.2,8.700000000000001,66.5
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,92.2,93.90000000000001,90,73.3,8.4,64.90000000000001
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,91.30000000000001,93.5,92,63.7,6.7,56.90000000000001
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,90.40000000000001,92.80000000000001,88.80000000000001,74.40000000000001,8.200000000000001,66.2
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,89.7,91.5,88.60000000000001,63.8,7.5,56.3
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,88.7,89.2,88,51.5,6.7,44.8
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,91,93.2,88.2,71.10000000000001,8.4,62.7
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,90.7,93.2,88.10000000000001,69.3,8.300000000000001,61.1
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,89.2,92.80000000000001,87.10000000000001,59.3,7.300000000000001,52
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,92.5,95.30000000000001,91.10000000000001,72.90000000000001,9,63.8
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,92.2,95.10000000000001,90.80000000000001,71.5,8.9,62.6
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,89.30000000000001,93,87.5,59.7,7.600000000000001,52.1
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),92.10000000000001,95,91.10000000000001,77.10000000000001,8.6,68.5
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),92,94.90000000000001,90.90000000000001,76.40000000000001,8.5,67.90000000000001
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),88.90000000000001,92.10000000000001,83.30000000000001,62,6.800000000000001,55.3
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,92.10000000000001,93.90000000000001,88.7,72.7,8.1,64.5
