id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_wtr_slm,hh_snt2_t,hh_snt2_slm,hh_snt_t,hh_snt_slm
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,72.90000000000001,,60.1,,49.1,
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,72.90000000000001,,60.1,,49.1,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,84.40000000000001,84.2,90,96,72,61.40000000000001
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,84.40000000000001,84.2,90,96,72,61.40000000000001
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,83.60000000000001,,33.1,,25.8,
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,85.5,,43.1,,36.9,
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,92.5,,79.90000000000001,,77.90000000000001,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,61.7,,63.8,,26.5,
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,64.8,,67.60000000000001,,33.6,
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,84.10000000000001,,90.80000000000001,,77.30000000000001,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,45.90000000000001,,72.7,,29.6,
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,49,,76.7,,38.1,
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,61.1,,91.90000000000001,,71,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,76,,59.8,,46.6,
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,80.2,,67.60000000000001,,56.1,
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,96.80000000000001,,98,,93.40000000000001,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,31.4,,12.4,,10.1,
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,33.5,,14.7,,12.3,
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,92.30000000000001,,80.60000000000001,,73.40000000000001,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,75.90000000000001,,58.40000000000001,,36.4,
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,82.5,,65.7,,44.3,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,97.60000000000001,,82.10000000000001,,62,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,72,,45.1,,29.6,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,72,,45.1,,29.6,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,76.10000000000001,,53.7,,39.8,
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,76.10000000000001,,53.7,,39.8,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,91.60000000000001,,86.7,,79,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,91.60000000000001,,86.7,,79,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,70.90000000000001,,47.7,,25.1,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,70.90000000000001,,47.7,,25.1,
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,76.10000000000001,,57.5,,34.3,
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,76.10000000000001,,57.5,,34.3,
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,93,93.2,89.2,79.60000000000001,63.8,39.40000000000001
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,93,93.2,89.2,79.60000000000001,63.8,39.40000000000001
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,69.8,,26.6,,21.7,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,69.8,,26.6,,21.7,
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,70.60000000000001,,27.7,,22.7,
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,70.60000000000001,,27.7,,22.7,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,98.30000000000001,,64.2,,57.5,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,98.30000000000001,,64.2,,57.5,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,43.3,,59.7,,27.7,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,44.3,,64.3,,34.4,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,50.7,64.5,94,96.60000000000001,77.2,92.40000000000001
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,56.1,,95.40000000000001,,82.30000000000001,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,51.1,,96.30000000000001,,84.80000000000001,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,39,30.1,98.40000000000001,99.90000000000001,90.80000000000001,92.30000000000001
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,54.3,,70.8,,43.7,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,53,,74.60000000000001,,47.7,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,46,36.3,93.90000000000001,92.90000000000001,68.40000000000001,71.90000000000001
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,19.6,,59,,40.8,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,21.1,,66,,49.5,
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,27.8,19.1,96.40000000000001,98.7,87.2,92.90000000000001
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,25.9,,90.30000000000001,,67.2,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,43.3,,93.40000000000001,,79.80000000000001,
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,58.7,85.7,96.2,96,91.10000000000001,89.40000000000001
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,73.40000000000001,,74.7,,59.1,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,71.2,,77.2,,62.7,
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,57.1,66.10000000000001,93.5,97.60000000000001,86.10000000000001,84.90000000000001
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,61.6,,48.90000000000001,,35.1,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,59.8,,55.8,,41.5,
