id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_man_t,lp_inf_man_1,lp_inf_man_2,lp_inf_man_3,lp_inf_man_4,lp_inf_man_5,lp_inf_man_6,lp_inf_man_7,lp_inf_man_8,lp_inf_man_9,lp_inf_man_10,lp_inf_man_11,lp_inf_man_12,lp_inf_man_13,kl_inf_man_t,kl_inf_man_1,kl_inf_man_2,kl_inf_man_3,kl_inf_man_4,kl_inf_man_5,kl_inf_man_6,kl_inf_man_7,kl_inf_man_8,kl_inf_man_9,kl_inf_man_10,kl_inf_man_11,kl_inf_man_12,kl_inf_man_13
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,127.3,144.2,99.5,66.3,420,,,97.80000000000001,357.6,,,,740.8000000000001,321.6,910.5,2149.6,1960.9,1344.5,5463.8,,,295.6,2041.7,,,,1760.2,1535
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,355.3,154.1,103.2,,420,,,,,,,,740.8000000000001,1069.2,1948.2,1768.7,2131.5,,5463.8,,,,,,,,1760.2,1524.3
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,118,150.5,138.1,69,,,,,381.4,,,,,115.6,923,2338.7,1106.4,248,,,,,1671.3,,,,,315.3
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,144.8,214.7,134.8,72.10000000000001,,,,,382.8,,,,,118.1,1029.1,2188.8,1207.6,315.1,,,,,3762.7,,,,,329.5
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,385.2000000000001,536,127.1,230.9,,,,,383.6,,,,,482.1,1937.2,1547.3,1444.4,3714.3,,,,,5024.6,,,,,2421.2
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,495.3,194,166.5,147.8,,,,197,3179.4,,,,,494,1879.5,2797.7,1083,6244,,,,604.9,1646.4,,,,,1180
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,491.3,193.4,163.9,160.3,,,,196.4,2903,,,,446.9,639.4000000000001,1845.7,2738.1,1068.6,5126.1,,,,617,1619.2,,,,945.8000000000001,1407.2
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,430.5,175.3,73.5,206.4,,,,129.1,653.8000000000001,,,,446.9,851.5,1337.4,999,576.4,1724.5,,,,1971.3,1398.5,,,,945.8000000000001,1738.7
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,179.2,211.1,116.7,138.3,,,,52.8,,,,,539.2000000000001,382.1,1328.3,1345.7,1244.4,605.4,,,,1671.6,,,,,2246.2,2294.5
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,187.3,221.4,120.2,155.4,242.7,,,54.2,347.3,,,,539.2000000000001,383.9,1352.9,1378,1290.2,638.8000000000001,1452.7,,,1659.6,1644,,,,2246.2,2286.7
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,358,389.4,200.4,615.6,242.7,,,111.3,347.3,,,,,551.3000000000001,1872.7,1906.7,2333.9,1539,1452.7,,,1145.1,1644,,,,,1539.4
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,142.5,131.2,88.5,769.8000000000001,,,,83.90000000000001,254.7,,,,,,2736.1,3531.1,1217.6,2039.7,,,,1752.9,951,,,,,
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,173.8,139.1,91.40000000000001,485.5,154.3,,,83.90000000000001,304.9,,,,,358.9,2580.9,3410.7,1720.2,1312.4,2614.1,,,1752.9,1101.7,,,,,860.3000000000001
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,334,266.1,101.1,449.7000000000001,154.3,,,,481.7000000000001,,,,,358.9,1786.9,1452.3,3441.3,1220.9,2614.1,,,,1632.5,,,,,860.3000000000001
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,136.1,146.7,113.1,131.7,,,,136,635.7000000000001,,587.1,,,230.3,1131.9,1545.3,1065.6,426.8,,,,430.2000000000001,2014.1,,2406.2,,,878.5
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,140.5,152.3,112,127.8,,,,146.4,701.4000000000001,,587.1,,,301.2,1183.8,1598.7,1148.1,429.3,,,,572.9,2347.2,,2406.2,,,1122
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,184.3,247.6,101.2,77.30000000000001,,,,173.7,801.4000000000001,,,,,444.6,1711.4,2512.1,1962.7,461.7000000000001,,,,950.8000000000001,2853.5,,,,,1615
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,181.6,171,137.3,167.4,,,,139.7,217.2,,,,,259,952.2000000000001,1289.7,670.1,696.2000000000001,,,,1132.9,610,,,,,886.2000000000001
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,187.3,172.2,134.2,194.8,287.7,,,138.8,220.8,,721.4000000000001,,,284.9,968.7000000000001,1297.7,769.9000000000001,844.3000000000001,1635.9,,,1127.2,614.7000000000001,,1174.2,,,919.3000000000001
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,258.1,238.3,123.4,247.8,287.7,,,53.6,537.5,,721.4000000000001,,,1146.4,1175.5,1766.3,1112.5,1130.6,1635.9,,,541,1030.1,,1174.2,,,2017.1
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,93.60000000000001,144.8,143.1,50.7,,,,194.8,166.1,,407.1,,,596.5,845.8000000000001,1593.5,913.3000000000001,457.6,,,,2809.2,664.2000000000001,,392.8,,,2007.1
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,100.5,147.7,139.7,53,203.6,,,194.8,176.7,,407.1,,,562.5,873.6,1608.3,996,462.4,2946.2,,,2809.2,1219.7,,392.8,,,1661.5
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,244.6,180.2,124.1,934.2000000000001,203.6,,,,181.6,,,,,486,1457,1773.1,1375.5,2228.4,2946.2,,,,1469.4,,,,,885.6
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,143.3,148,82.5,95,209.3,,,,,,,,,312.6,1517.8,1960.5,649.2000000000001,108.4,1732,,,,,,,,,1074
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,199.6,204.2,96.10000000000001,97.7,350.1,,,,957.5,,,,,298.8,1566.5,1919,1393.7,153.6,2472.6,,,,2883.5,,,,,972.5
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,667.4000000000001,1229.4,125,222.3,374.6,,,,957.5,,,,,257.8,1971.6,1163.4,2984.1,2270,2601.3,,,,2883.5,,,,,668.7000000000001
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,110.8,107.7,74.7,69.3,150,,,122.8,263.5,,,,,194.2,2027.7,2807.5,1331.1,1121.3,3985.4,,,1881.1,802.9000000000001,,,,,799.4000000000001
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,132.8,117.9,81.5,70.90000000000001,83.7,,,118.7,418,,,,,204.1,2061,2809.9,1469.6,1118.2,1637.4,,,2346,1853.5,,,,,888
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,201.7,175.6,104.3,73.8,68.90000000000001,,,107.9,643.2000000000001,,,,,226.9,2165.2,2823.9,1934.1,1112.7,1113.7,,,3556.9,3385,,,,,1094.6
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,67.10000000000001,138.1,60.2,52.1,,,500,68.3,44.40000000000001,,,636.7000000000001,,168.2,698.6,1010.1,675.7000000000001,773.8000000000001,,,7392.3,256.3,572.8000000000001,,,9657.4,,636.1
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,68.7,133.6,61.90000000000001,52.1,,,500,66.40000000000001,44.40000000000001,,,636.7000000000001,,164.2,741.1,1217.4,746.5,773.8000000000001,,,7392.3,262.8,572.8000000000001,,,9657.4,,653.6
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,84.30000000000001,122.9,63.5,,,,,29.7,,,,,,57.2,1140.7,1712.5,816.1,,,,,385.7000000000001,,,,,,1122.8
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,59.8,114.5,79.40000000000001,43.3,,,,,,,,,,1379.2,385.4,1297.9,619.7000000000001,205.5,,,,,,,,,,1107.1
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,62.90000000000001,116.1,63.90000000000001,43.40000000000001,,,,,383.2000000000001,,,,,1067.4,436.1,1337.9,682.8000000000001,206.7,,,,,2530.2,,,,,1255.6
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,100.5,130.6,40.8,62.5,,,,,383.2000000000001,,,,,663.5,1062.5,1705.3,776.8000000000001,405.3,,,,,2530.2,,,,,1448.1
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,125.4,180.7,55.6,62,,,,35.3,302.1,,,,,400,722.9000000000001,1113.6,570.3000000000001,106.6,,,,423,1222.8,,,,,917.8000000000001
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,231.3,232.5,66.60000000000001,63.5,,,,30.5,454.3,,600,,,1262.7,868.1,1057.9,879.2000000000001,125.7,,,,365.9,1298.1,,2399.8,,,1719
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,426,422.6,73.7,83,,,,21.4,456.5,,600,,,1303,1135.3,853.6,1080.4,380.9,,,,258.2,1299.2,,2399.8,,,1756.3
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,90.40000000000001,94.30000000000001,50.3,91.60000000000001,,,,,184.3,,,,,1890.9,398.7000000000001,1374.7,542.8000000000001,300.6,,,,,1371.3,,,,,1982
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,100,150.5,52.1,94.30000000000001,133.9,,,,466,,,,,90,552,1463,647.7000000000001,342,2067.7,,,,2737.7,,,,,1248.7
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,148.5,211.1,54.40000000000001,152.7,133.9,,,,480.8,,,,,77.30000000000001,1322.3,1558.2,778.8000000000001,1264.6,2067.7,,,,2809.3,,,,,1243.5
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,92.7,190.1,44.1,118.6,,,,39.5,,,,,,129.8,803.3000000000001,1258.9,555.1,960.2000000000001,,,,510.9,,,,,,1753.4
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,161.9,214.3,57.40000000000001,115,,,,39.5,1045.8,,,,,1170.2,931.5,1331.2,748.8000000000001,946.4000000000001,,,,510.9,2639.2,,,,,1926.9
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,414.8,360.4,80,85.40000000000001,,,,,1045.8,,,,,1331.4,1399.8,1766.4,1079,831,,,,,2639.2,,,,,1953.8
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,72.5,55.1,70.5,,,,,42.1,670.8000000000001,,,,,97.5,908.5,983.6,1166.3,,,,,286.7,4063.5,,,,,831.2000000000001
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,120.6,99.7,84,19,,,,42.1,560.8000000000001,,,,,121.5,1113,1108.7,1252.9,324.6,,,,286.7,2643.9,,,,,1050.2
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,218,357.6,91.2,19,,,,,534.6,,,,,157.5,1527.4,1830.6,1299,324.6,,,,,2306.1,,,,,1379.2
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,153.1,185.3,59.2,518.9,,,,91.80000000000001,116.7,,,,,249,1029.3,2079.8,702.3000000000001,1821.5,,,,610.5,634,,,,,779
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,285.8,524.8000000000001,116.6,323.7000000000001,1252.6,,263.1,123.6,433.1,,340.2000000000001,,709.8000000000001,234.6,3051.2,6100.1,2152.8,1578.4,10304.7,,1909.8,851.6,2757.5,,2868.1,,5530.8,1869.2
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,361.2000000000001,764.4000000000001,142.5,301,1252.6,,263.1,158.9,466.3,,340.2000000000001,,709.8000000000001,222.3,4199.900000000001,8936.9,2805.2,1550.2,10304.7,,1909.8,1119.3,2980.3,,2868.1,,5530.8,2804.9
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,130.8,135.4,70.10000000000001,157.2,,,,66.7,508.9,,,,916,198.6,1412.5,2323.6,913.7000000000001,730.3000000000001,,,,465.7000000000001,2464.1,,,,937.4000000000001,1287.2
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,155.2,199.8,72.7,154,87.7,,175,62.40000000000001,371.1,,257.1,,916,204.4,1555.4,2492.5,1535,753.5,1244.2,,2892.6,421.6,940.1,,707.1,,937.4000000000001,1506.9
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,207.1,417,74.8,70.7,87.7,,175,49.40000000000001,359.7000000000001,,257.1,,,213.7,1857,3062.4,2026.2,1146.3,1244.2,,2892.6,288.1,814.1,,707.1,,,1850.6
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,59.1,112.8,37.9,100.7,,,,139.3,150,,,,,71.40000000000001,541.4,487.8,693.5,700.1,,,,2914,857.1,,,,,240.6
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,81.30000000000001,111.6,41.7,39.8,69.60000000000001,,,128.7,456.9,,,64.3,,91.80000000000001,745,1171.9,731.8000000000001,868.5,1542.7,,,2641.9,1270.4,,,910.6,,432.6
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,153.5,110.6,117.5,27.2,69.60000000000001,,,42.90000000000001,544.7000000000001,,,64.3,,182.6,1405.4,1735.3,1500.9,903.5,1542.7,,,430.7000000000001,1388.6,,,910.6,,1287.2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),75.8,104.5,48.40000000000001,47.5,,,,22.5,49.1,,,,,158.1,1714.2,1845.8,1604.4,705.7000000000001,,,,359,800.1,,,,,4985.400000000001
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),82.7,113.4,49.90000000000001,48.40000000000001,,,,22.5,99.5,,,96.40000000000001,,166.4,1748.6,1873,1598,764.6,,,,359,972.8000000000001,,,696.4000000000001,,4853.900000000001
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),239.9,333,95.60000000000001,117.8,,,,,379.1,,,96.40000000000001,,226.8,2539,2548.9,1405.1,5511,,,,,1932.1,,,696.4000000000001,,3895.8
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,106.1,149.4,95.10000000000001,,,,,55.5,25.7,,,,,98.2,1205.1,2437.7,535.6,,,,,409.7000000000001,674.9000000000001,,,,,716.9000000000001
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,153.9,206.4,94.10000000000001,,,,,55.5,112.8,,,,,190.4,1224.9,2185.5,611.2000000000001,,,,,409.7000000000001,964.7000000000001,,,,,765.4000000000001
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,392,369.5,89.2,,,,,,492.8,,,,,852.4000000000001,1323.8,1462.8,1006.7,,,,,,2228.4,,,,,1113.3
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,296.8,313.1,560.3000000000001,135,,,,114.4,259.1,,,,,386.6,1246.1,2793.6,763.9000000000001,996.3000000000001,,,,422,855,,,,,1072.5
