id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,est_sh_6,est_sh_7,est_sh_8,est_sh_9,est_sh_11,own_fen,own_men,size
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,49.8,14.4,3.9,0,31.8,2,98,1
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,52.2,15.3,3.1,.3,29.2,3,97,1
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,59.3,17.8,.5,1.2,21.2,6,94,1
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,44,27.6,,,28.4,1,99,1
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,51.8,23.9,.8,.1,23.4,1,99,1
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,68.90000000000001,15.7,2.6,.3,12.5,2,98,2
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,55.5,10,5.100000000000001,.8,28.7,6,94,1
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,53.8,9.4,4,6.4,26.4,8,92,2
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,51.5,8.700000000000001,2.4,14.2,23.2,11,89,2
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,61.8,9.9,1.1,2.3,24.8,5,95,2
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,54.2,11.5,2.1,7.800000000000001,24.4,6,94,2
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,51.3,12.1,2.4,9.9,24.3,7,93,2
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,63.2,20.7,.9,1.6,13.6,1,99,1
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,69.2,13.8,.6000000000000001,1.8,14.5,1,99,2
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,79.90000000000001,1.7,.1,2.3,16,2,98,2
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,59.1,5.9,.8,1.5,32.7,10,90,1
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,61.5,6.5,1.1,1.7,29.3,8,92,1
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,67.2,7.7,1.8,2.3,21.1,5,95,2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),55.7,10.2,,4.3,29.7,1,99,2
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),56,10.1,0,5,28.8,1,99,2
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),59.8,8.9,.3,13.6,17.5,1,99,2
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,46.5,12.1,,2.5,38.90000000000001,3,97,2
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,52,9.700000000000001,1.2,3.9,33.3,3,97,2
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,64.40000000000001,4.2,4,7,20.4,3,97,2
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,62.7,9.5,,.8,26.9,1,99,1
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,66.60000000000001,7.7,,1,24.7,1,99,1
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,82.30000000000001,.6000000000000001,,1.7,15.3,2,98,2
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,63.40000000000001,12.7,,,23.9,4,96,1
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,63.7,10.9,,1.8,23.6,4,96,1
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,65.2,1.9,,10.5,22.3,3,97,2
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,71.40000000000001,7.4,,,21.2,1,99,1
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,71.10000000000001,6.2,,.6000000000000001,22.1,1,99,1
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,70.10000000000001,2.9,,2.3,24.7,1,99,2
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,67.2,12.3,,.8,19.7,1,99,1
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,65.2,13.1,,1.4,20.3,1,99,2
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,46.8,20.7,,7.300000000000001,25.3,1,99,2
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,63.5,,,.2,36.3,12,88,2
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,63.7,.2,,2.6,33.5,10,90,2
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,64.10000000000001,.8,,10.2,24.8,1,99,2
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,67.3,1,,.6000000000000001,31,1,99,2
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,67.3,1,,.6000000000000001,31,1,99,2
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,45.8,5.9,13.5,34.8,,14,86,3
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,45.8,5.9,13.5,34.8,,14,86,3
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,,,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,55.1,14.5,,20.8,9.600000000000001,19,81,2
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,57.8,12.6,,20.1,9.4,17,83,2
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,72.3,2.8,,16.4,8.5,6,94,2
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,48.2,31.1,,14.5,6.2,21,79,1
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,54.1,21.1,,17.6,7.2,20,80,1
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,65,2.7,,23.4,8.800000000000001,18,82,2
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,57.8,7.7,,28.8,5.7,24,76,2
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,68.10000000000001,4.4,,20,7.5,26,74,2
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,77.5,1.4,,12,9.1,28,72,2
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,83.30000000000001,16.7,,,,33,67,1
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,90.90000000000001,4.600000000000001,,1,3.5,8,92,2
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,92.90000000000001,1.3,,1.3,4.5,2,98,2
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,97.10000000000001,,,,2.9,47,53,2
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,91.80000000000001,6.4,,,1.8,38,62,2
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,83,17,,,,25,75,1
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,98.60000000000001,.5,,,.9,29,71,2
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,90.7,1.7,,,7.600000000000001,25,75,2
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,80,3.3,,,16.7,20,80,2
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,95.30000000000001,.5,,.3,3.8,45,55,2
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,95.30000000000001,.5,,.3,3.8,45,55,2
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,89.30000000000001,4,,.2,6.600000000000001,35,65,2
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,89.30000000000001,4,,.2,6.600000000000001,35,65,2
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,81,8.6,,,10.3,22,78,2
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,81,8.6,,,10.3,22,78,2
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,93.40000000000001,1.9,,,4.7,35,65,2
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,84.5,5.800000000000001,,,9.700000000000001,35,65,3
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,75,10,,,15,36,64,3
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,84.7,4.600000000000001,,2.5,8.200000000000001,19,81,2
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,84.7,4.600000000000001,,2.5,8.200000000000001,19,81,2
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,91.90000000000001,2.8,,.5,4.9,11,89,2
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,91.90000000000001,2.8,,.5,4.9,11,89,2
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,93.5,2.4,,,4.100000000000001,9,91,2
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,93.5,2.4,,,4.100000000000001,9,91,2
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,90.5,1.1,,,8.5,9,91,1
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,90.5,1.1,,,8.5,9,91,1
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,83.2,4,1.6,,11.2,13,87,2
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,83.2,4,1.6,,11.2,13,87,2
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,71.90000000000001,8.6,4,,15.5,21,79,2
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,71.90000000000001,8.6,4,,15.5,21,79,2
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,99.60000000000001,,,,.4,12,88,1
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,99.60000000000001,,,,.4,12,88,1
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,76.40000000000001,6.100000000000001,,1.2,16.4,11,89,2
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,75.40000000000001,7.4,,1.1,16.1,10,90,2
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,63.6,22.7,,,13.6,0,100,2
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,98.90000000000001,,,,1.1,27,73,2
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,98.10000000000001,1.1,,,.7000000000000001,29,71,2
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,96.80000000000001,3.2,,,,32,68,1
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,98.5,.5,,.5,.5,0,100,1
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,96,.7000000000000001,,.3,3,6,94,2
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,89.90000000000001,1.1,,,9,18,82,3
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,95,.5,,1.5,3,24,76,2
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,95,.5,,1.5,3,24,76,2
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,100,,,,,100,0,1
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,100,,,,,100,0,1
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,94.60000000000001,.8,,,4.600000000000001,51,49,2
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,94.60000000000001,.8,,,4.600000000000001,51,49,2
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,91.10000000000001,1.1,,.5,7.300000000000001,30,70,2
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,91.10000000000001,1.1,,.5,7.300000000000001,30,70,2
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,87.60000000000001,1.5,,1,10,8,92,2
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,87.60000000000001,1.5,,1,10,8,92,2
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,88.60000000000001,1.4,,1.3,8.700000000000001,13,87,2
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,88.60000000000001,1.4,,1.3,8.700000000000001,13,87,2
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,88,2.2,,1,8.9,12,88,2
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,88,2.2,,1,8.9,12,88,2
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,86,4.7,,,9.300000000000001,9,91,2
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,86,4.7,,,9.300000000000001,9,91,2
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,97,,,1,2,9,91,1
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,97,,,1,2,9,91,1
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,97,,,1,2,9,91,1
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,97,,,1,2,9,91,1
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,,,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,59.2,21.5,2.8,1.7,14.8,16,84,1
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,61,19.1,3.5,2.1,14.4,16,84,1
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,66.7,11.1,5.600000000000001,3.7,13,17,83,2
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,69.7,15.9,4.7,.6000000000000001,9.1,17,83,1
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,67.60000000000001,16.4,4.7,1.4,9.9,20,80,1
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,61.5,17.9,4.5,3.8,12.2,27,73,2
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,57.7,20,6.100000000000001,,16.2,30,70,2
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,56.6,22.3,4.9,1.7,14.4,28,72,2
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,52.2,31.9,,8.700000000000001,7.2,21,79,1
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,68.8,9.800000000000001,11.9,1.5,8,12,88,2
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,70.40000000000001,10.5,7.300000000000001,4.5,7.2,20,80,2
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,72.60000000000001,11.6,.9,8.700000000000001,6.100000000000001,31,69,2
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,64,18.5,6.4,4,7,11,89,2
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,69.10000000000001,19.5,3.3,1.3,6.7,16,84,2
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,71.7,20,1.8,,6.5,19,81,2
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,66.7,18.8,6.100000000000001,,8.4,16,84,1
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,64.7,18.1,7.300000000000001,.9,9,17,83,1
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,58.90000000000001,16.1,10.7,3.6,10.7,20,80,2
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,67.8,17.1,2.8,1.8,10.4,27,73,1
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,66.5,19.3,2.1,1.3,10.8,23,77,1
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,63,25.3,,,11.7,11,89,1
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,40.6,29,7.100000000000001,,23.3,20,80,1
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,40.6,29,7.100000000000001,,23.3,20,80,1
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,,,,,,,,
