id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cls_good_pri,elec_sch_pri,grl_tlt_pri,wtr_sch_pri,ptr_pri,ptr30_pri
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),39.3,.4,55,1.6,45.8,1.3
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,65.2,5.2,47.5,93.2,55.7,75.3
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,65.3,6,47.3,98.90000000000001,57.3,80.30000000000001
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,66.2,.7000000000000001,44.3,5.600000000000001,83.80000000000001,5
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,59.6,3.9,21.9,91.80000000000001,58.3,84.7
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,59.2,4.100000000000001,22.8,95.40000000000001,58.3,88.10000000000001
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,47.5,.2,45.7,3.6,60.1,3.4
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,50,2.2,67.7,91.40000000000001,67.5,81.5
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,50.40000000000001,3,68.8,97.30000000000001,66.60000000000001,85.80000000000001
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,57.8,.8,85.80000000000001,5.9,51.6,4.2
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,59.5,1.1,20.5,81.5,78.90000000000001,92.40000000000001
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,59.6,1.3,20.9,84.40000000000001,78.30000000000001,96
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,63.5,.2,31,2.8,61.90000000000001,3.5
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,47.8,4.9,19.2,88.5,74.2,88.90000000000001
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,48.8,5.7,18.6,92.60000000000001,73.7,92.80000000000001
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,70.90000000000001,.8,6.7,4.100000000000001,61.6,3.9
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,56.8,2.4,60.8,88,58.40000000000001,83.60000000000001
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,57.2,2.9,61.8,92,58.3,87.40000000000001
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,66.90000000000001,.5,82.80000000000001,4.100000000000001,56.3,3.8
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,56.8,2.4,60.8,88,58.40000000000001,83.60000000000001
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,57.2,2.9,61.8,92,58.3,87.40000000000001
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,66.90000000000001,.5,82.80000000000001,4.100000000000001,56.3,3.8
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,62.2,69.8,93.5,100,8.4,.8
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,62.2,69.8,93.5,100,8.4,.8
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,49.6,33.9,55.2,90.2,10.6,.9
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,50.6,37.7,56.1,94.30000000000001,10.7,1.3
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,71.8,3.8,76.90000000000001,4.100000000000001,12.3,.3
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,61.7,66.8,84.80000000000001,94.5,11,1.9
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,61.7,67.3,84.80000000000001,95.10000000000001,11.1,1.9
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,62.5,.5,100,.5,13.8,0
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,51.40000000000001,49.6,90.40000000000001,89.5,12.2,4
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,54.5,59.2,89.60000000000001,99.2,13,5.600000000000001
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,82.10000000000001,9.700000000000001,81.30000000000001,9.700000000000001,20.1,1.6
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,41.1,15.5,39.5,72,9.5,1.6
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,40.8,19.2,41.2,77.2,9.5,1.6
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,36.8,3.6,70,5.2,9.700000000000001,0
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,64,34.2,65.90000000000001,93.60000000000001,17.5,12.3
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,66,39.6,67.40000000000001,99.5,17.1,12.3
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,98,5.300000000000001,90.90000000000001,5.9,10.5,0
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,55,9.200000000000001,29.3,67.40000000000001,20.2,14.2
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,71.3,14.2,31.4,73.2,20.3,14.9
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,87.5,5,66.7,5.7,22.2,.8
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,24.5,17.9,22.4,74.8,28.7,28.9
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,24.5,17.9,22.4,74.8,28.7,28.9
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,30.2,29.4,29.6,92.90000000000001,31.3,36.7
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,30.2,29.4,29.6,92.90000000000001,31.3,36.7
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,53.6,11.5,62,18.1,42.7,7.9
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,53.6,11.5,62,18.1,42.7,7.9
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,57.1,4.7,5,82,26.2,19.4
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,58,7.100000000000001,6.4,86.30000000000001,26.3,21
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,76.90000000000001,2.4,38.90000000000001,4.3,27.9,1.7
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,39.6,15.1,28,58.90000000000001,18,13.1
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,39.6,15.1,28,58.90000000000001,18,13.1
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,41.7,19.7,31,64.2,18,13.5
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,41.7,19.7,31,64.2,18,13.5
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,64.2,4.600000000000001,80,5.300000000000001,18.6,.5
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,64.2,4.600000000000001,80,5.300000000000001,18.6,.5
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,42,18.4,29.2,83.90000000000001,20.1,16.1
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,42,18.4,29.2,83.90000000000001,20.1,16.1
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,45,24.7,31.1,90.60000000000001,19.6,16.5
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,45,24.7,31.1,90.60000000000001,19.6,16.5
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,61.3,6.4,50,6.7,14.6,.4
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,61.3,6.4,50,6.7,14.6,.4
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,43.8,15,16.8,96.40000000000001,22.8,25.7
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,44.6,18,19.2,100,22.5,26.3
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,67.3,3,83.30000000000001,3.6,16.4,.6000000000000001
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,59.3,25.8,30,96.30000000000001,21.8,16.6
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,59.7,28.7,30.6,100,22.2,18.6
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,69.8,2.9,46.2,3.7,31.9,2
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,53.2,17.4,66.5,69.10000000000001,17.6,9.300000000000001
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,54.7,28,70.60000000000001,80.90000000000001,17.2,9.300000000000001
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,64.60000000000001,10.6,100,11.9,14.6,0
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,33.3,11.5,15.4,96.30000000000001,14.9,7.300000000000001
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,35.1,14.2,17.6,99.80000000000001,15,8.1
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,83.40000000000001,2.7,78.60000000000001,3.4,16.9,.7000000000000001
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,56,4.600000000000001,99,99.7,22.6,22.3
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,56,4.600000000000001,98.7,100,22.6,22.3
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,0,0,.3,11,0
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,33.2,25.6,51.3,100,11.5,2.6
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,33.2,25.6,51.3,100,11.5,2.6
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,40,14,86.60000000000001,43.90000000000001,19.6,12.7
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,40,14,86.60000000000001,43.90000000000001,19.6,12.7
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,43.2,19.1,87.30000000000001,51,20.1,15.3
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,43.2,19.1,87.30000000000001,51,20.1,15.3
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,71.10000000000001,5.100000000000001,93.30000000000001,7,25,2.5
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,71.10000000000001,5.100000000000001,93.30000000000001,7,25,2.5
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,45.90000000000001,20.4,39.90000000000001,48.6,22.4,18.2
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,45.90000000000001,20.4,39.90000000000001,48.6,22.4,18.2
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,48.5,27.8,41.90000000000001,57.5,22,20.1
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,48.5,27.8,41.90000000000001,57.5,22,20.1
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,69.7,7.300000000000001,59.40000000000001,8.9,18.7,1.9
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,69.7,7.300000000000001,59.40000000000001,8.9,18.7,1.9
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,53.8,17.1,10.5,97.10000000000001,14.5,4.800000000000001
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,53.8,17.1,10.5,97.10000000000001,14.5,4.800000000000001
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,53.8,17.1,10.5,97.10000000000001,14.5,4.800000000000001
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,53.8,17.1,10.5,97.10000000000001,14.5,4.800000000000001
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,34.6,21.8,99.2,85.2,22.5,18
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,35.5,31,98.90000000000001,95.40000000000001,23.4,22.5
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,42.40000000000001,9.200000000000001,96.80000000000001,10.2,30.7,4.600000000000001
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,40.7,20.4,93.10000000000001,68.10000000000001,13,6.600000000000001
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,43.2,34.5,94.7,90.10000000000001,15.6,14.1
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,51.3,14.1,100,22,23.6,7.600000000000001
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,43,21,75.7,84.80000000000001,18.3,9.700000000000001
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,50.6,26.2,76.2,94.5,19.6,12.8
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,76.40000000000001,5.2,80.60000000000001,9.700000000000001,30.3,3.1
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,33.5,13.8,94.5,85.2,21.5,16.9
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,37.3,22.2,93.7,98.40000000000001,22,20.6
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,62.40000000000001,8.5,88,13.2,25.5,3.7
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,63,30,97.7,65.8,17.5,10.1
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,67.2,55.90000000000001,97.10000000000001,94.40000000000001,20.2,16.8
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,76.80000000000001,26,95.60000000000001,28.6,26.3,6.7
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,42.6,34.3,93.80000000000001,76.60000000000001,23.4,17.2
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,42.6,38.90000000000001,93.7,81.2,23.9,19.7
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,42.5,4.600000000000001,92.30000000000001,4.600000000000001,32.6,2.5
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,7.100000000000001,9,96.60000000000001,58.8,16.8,7.7
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,7.5,15.5,97,65.7,17.4,10.3
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,11.4,6.4,100,6.9,22,2.6
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,13.8,11.9,97.2,59.6,25.7,30.3
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,13.8,11.9,97.2,59.6,25.7,30.3
