id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,169,118,50.7,0,130,91.30000000000001,39.2,0,10,10,0,7.72,7.72,0
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,24.2,11.7,12.5,0,361,175,186,0,2,2,0,29.92,29.92,0
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,128,103,24.4,0,212,172,40.6,0,0,0,0,0,0,0
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,153,129,24.4,0,239,201,38,0,1,1,0,1.56,1.56,0
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,25.9,25.9,0,0,616,616,0,0,1,1,0,23.82,23.82,0
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,415,357,56.1,1.8,185,159,24.9,.8,6,6,0,2.67,2.67,0
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,490,417,71.10000000000001,2,211,180,30.6,.8,9,9,0,3.88,3.88,0
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,74.60000000000001,59.40000000000001,15,.2,1077,858,216,2.8,3,3,0,43.32,43.32,0
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,535,503,23.9,8.200000000000001,177,167,7.9,2.7,10,10,0,3.32,3.32,0
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,1080,779,138,164,326,235,41.6,49.6,21,21,0,6.350000000000001,6.350000000000001,0
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,545,276,114,156,1854,937,387,530,11,11,0,37.4,37.4,0
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,444,425,18.8,0,189,181,8,0,6,6,0,2.55,2.55,0
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,518,488,29.7,0,213,201,12.2,0,9,9,0,3.7,3.7,0
