distt_id55,spatialId,state,district
708,3_24_469_0,Gujarat,Banas kantha
716,3_24_488_0,Gujarat,Bharuch
704,3_24_481_0,Gujarat,Bhavnagar
711,3_24_473_0,Gujarat,Gandhinagar
701,3_24_477_0,Gujarat,Jamnagar
706,3_24_479_0,Gujarat,Junagadh
707,3_24_468_0,Gujarat,Kachchh
713,3_24_483_0,Gujarat,Kheda
710,3_24_471_0,Gujarat,Mahesana
714,3_24_484_0,Gujarat,Panch Mahals
702,3_24_476_0,Gujarat,Rajkot
709,3_24_472_0,Gujarat,Sabar Kantha
717,3_24_492_0,Gujarat,Surat
703,3_24_475_0,Gujarat,Surendranagar
719,3_24_489_0,Gujarat,The Dangs
715,3_24_486_0,Gujarat,Vadodara
718,3_24_491_0,Gujarat,Valsad
801,3_6_70_0,Haryana,Ambala
813,3_6_81_0,Haryana,Bhiwani
809,3_6_88_0,Haryana,Faridabad
810,3_6_86_0,Haryana,Gurgaon
815,3_6_80_0,Haryana,Hisar
814,3_6_77_0,Haryana,Jind
804,3_6_73_0,Haryana,Kaithal
805,3_6_74_0,Haryana,Karnal
803,3_6_72_0,Haryana,Kurukshetra
812,3_6_84_0,Haryana,Mahendragarh
806,3_6_75_0,Haryana,Panipat
811,3_6_85_0,Haryana,Rewari
808,3_6_82_0,Haryana,Rohtak
816,3_6_79_0,Haryana,Sirsa
807,3_6_76_0,Haryana,Sonipat
802,3_6_71_0,Haryana,Yamunanagar
905,3_2_30_0,Himachal Pradesh,Bilaspur
901,3_2_23_0,Himachal Pradesh,Chamba
903,3_2_28_0,Himachal Pradesh,Hamirpur
902,3_2_24_0,Himachal Pradesh,Kangra
912,3_2_34_0,Himachal Pradesh,Kinnaur
907,3_2_26_0,Himachal Pradesh,Kullu
908,3_2_25_0,Himachal Pradesh,Lahul & Spiti
906,3_2_27_0,Himachal Pradesh,Mandi
909,3_2_33_0,Himachal Pradesh,Shimla
911,3_2_32_0,Himachal Pradesh,Sirmaur
910,3_2_31_0,Himachal Pradesh,Solan
904,3_2_29_0,Himachal Pradesh,Una
1001,3_1_14_0,Jammu  & Kashmir,Anantnag
1004,3_1_2_0,Jammu  & Kashmir,Badgam
1005,3_1_8_0,Jammu  & Kashmir,Baramula
1009,3_1_16_0,Jammu  & Kashmir,Doda
1012,3_1_21_0,Jammu  & Kashmir,Jammu
1007,3_1_4_0,Jammu  & Kashmir,Kargil
1011,3_1_7_0,Jammu  & Kashmir,Kathua
1006,3_1_1_0,Jammu  & Kashmir,Kupwara
1008,3_1_3_0,Jammu  & Kashmir,Leh (Ladakh)
1002,3_1_12_0,Jammu  & Kashmir,Pulwama
1014,3_1_5_0,Jammu  & Kashmir,Punch
1013,3_1_6_0,Jammu  & Kashmir,Rajouri
1003,3_1_10_0,Jammu  & Kashmir,Srinagar
1010,3_1_19_0,Jammu  & Kashmir,Udhampur
1102,3_29_583_0,Karnataka,Bangalore (Rural)
1101,3_29_572_0,Karnataka,Bangalore (Urban)
1103,3_29_555_0,Karnataka,Belgaum
1104,3_29_565_0,Karnataka,Bellary
1105,3_29_558_0,Karnataka,Bidar
1106,3_29_557_0,Karnataka,Bijapur
1107,3_29_570_0,Karnataka,Chikmagalur
1108,3_29_566_0,Karnataka,Chitradurga
1109,3_29_575_0,Karnataka,Dakshin Kannad
1110,3_29_562_0,Karnataka,Dharwad
1111,3_29_579_0,Karnataka,Gulbarga
1112,3_29_574_0,Karnataka,Hassan
1113,3_29_576_0,Karnataka,Kodagu
1114,3_29_581_0,Karnataka,Kolar
1115,3_29_573_0,Karnataka,Mandya
1116,3_29_577_0,Karnataka,Mysore
1117,3_29_559_0,Karnataka,Raichur
1118,3_29_568_0,Karnataka,Shimoga
1119,3_29_571_0,Karnataka,Tumkur
1120,3_29_563_0,Karnataka,Uttar Kannad
1211,3_32_598_0,Kerala,Alappuzha
1208,3_32_595_0,Kerala,Ernakulam
1209,3_32_596_0,Kerala,Idukki
1202,3_32_589_0,Kerala,Kannur
1201,3_32_588_0,Kerala,Kasargod
1213,3_32_600_0,Kerala,Kollam
1210,3_32_597_0,Kerala,Kottayam
1204,3_32_591_0,Kerala,Kozhikode
1205,3_32_592_0,Kerala,Malapuram
1206,3_32_593_0,Kerala,Palakkad
1212,3_32_599_0,Kerala,Pathanamthitta
1214,3_32_601_0,Kerala,Thiruvanantha- puram
1207,3_32_594_0,Kerala,Thrissur
1203,3_32_590_0,Kerala,Wayanad
3201,3_31_587_0,Lakshadweep,Lakshadweep
1338,3_23_457_0,Madhya Pradesh,Balaghat
1345,3_22_414_0,Madhya Pradesh,Bastar
1331,3_23_447_0,Madhya Pradesh,Betul
1302,3_23_420_0,Madhya Pradesh,Bhind
1328,3_23_444_0,Madhya Pradesh,Bhopal
1340,3_22_406_0,Madhya Pradesh,Bilaspur
1308,3_23_425_0,Madhya Pradesh,Chhatarpur
1336,3_23_455_0,Madhya Pradesh,Chhindwara
1311,3_23_428_0,Madhya Pradesh,Damoh
1304,3_23_422_0,Madhya Pradesh,Datia
1320,3_23_437_0,Madhya Pradesh,Dewas
1322,3_23_438_0,Madhya Pradesh,Dhar
1343,3_22_409_0,Madhya Pradesh,Durg
1325,3_23_466_0,Madhya Pradesh,East Nimar
1306,3_23_458_0,Madhya Pradesh,Guna
1303,3_23_421_0,Madhya Pradesh,Gwalior
1332,3_23_449_0,Madhya Pradesh,Hoshangabad
