finalId,distt_id55
3_32_599_0,1212
3_32_601_0,1214
3_32_594_0,1207
3_32_590_0,1203
3_31_587_0,3201
3_23_457_0,1338
3_23_441_0,1324
3_23_447_0,1331
3_23_420_0,1302
3_23_444_0,1328
3_23_425_0,1308
3_23_455_0,1336
3_23_428_0,1311
3_23_422_0,1304
3_23_437_0,1320
3_23_438_0,1322
3_23_453_0,1335
3_23_458_0,1306
3_23_421_0,1303
3_23_448_0,1332
3_23_449_0,1332
3_23_439_0,1323
3_23_451_0,1333
3_23_464_0,1321
3_23_450_0,1333
3_23_466_0,1325
3_23_440_0,1324
3_23_454_0,1335
3_23_433_0,1316
3_23_419_0,1301
3_23_452_0,1334
3_23_432_0,1316
3_23_426_0,1309
3_23_446_0,1330
3_23_442_0,1326
3_23_434_0,1317
3_23_430_0,1313
3_23_427_0,1310
3_23_429_0,1312
3_23_445_0,1329
3_23_456_0,1337
3_23_460_0,1314
3_23_436_0,1319
3_23_418_0,1301
3_23_423_0,1305
3_23_462_0,1315
3_23_424_0,1307
3_23_435_0,1318
3_23_431_0,1314
3_23_443_0,1327
3_27_522_0,1409
3_27_501_0,1423
3_27_503_0,1424
3_27_515_0,1415
3_27_506_0,1428
3_27_523_0,1418
3_27_500_0,1422
3_27_509_0,1429
3_27_498_0,1407
3_27_508_0,1430
3_27_507_0,1428
3_27_512_0,1417
3_27_499_0,1408
3_27_514_0,1416
3_27_530_0,1414
3_27_524_0,1421
3_27_519_0,1401
3_27_518_0,NA
3_27_505_0,1427
3_27_511_0,1419
3_27_497_0,1407
3_27_516_0,1406
3_27_525_0,1420
3_27_513_0,1417
3_27_521_0,1410
3_27_520_0,1403
3_27_528_0,1404
3_27_531_0,1412
3_27_527_0,1411
3_27_529_0,1405
3_27_526_0,1413
3_27_517_0,1402
3_27_504_0,1426
3_27_502_0,1423
3_27_510_0,1425
3_14_275_0,1506
3_14_280_0,1504
3_14_274_0,1503
3_14_278_0,1507
3_14_277_0,1507
3_14_272_0,1501
3_14_273_0,1502
3_14_276_0,1505
3_14_279_0,1508
3_17_294_0,1604
3_17_298_0,1602
3_17_299_0,1601
3_17_297_0,1606
3_17_295_0,1605
3_17_293_0,1605
3_17_296_0,1603
3_15_283_0,1701
3_15_284_0,1701
3_15_282_0,1701
3_15_287_0,1703
3_15_286_0,1702
3_15_281_0,1701
3_15_288_0,1703
3_15_285_0,1701
3_13_265_0,1801
3_13_270_0,1801
3_13_262_0,1805
3_13_261_0,1807
3_13_266_0,1802
3_13_267_0,1806
3_13_264_0,1804
3_13_263_0,1803
3_7_95_0,3101
3_7_93_0,3101
3_7_94_0,3101
3_7_91_0,3101
3_7_92_0,3101
3_7_90_0,3101
3_7_98_0,3101
3_7_97_0,3101
3_7_96_0,3101
3_21_384_0,1930
3_21_393_0,1909
3_21_377_0,1905
3_21_370_0,1928
3_21_391_0,1921
3_21_378_0,1914
3_21_381_0,1906
3_21_373_0,1927
3_21_383_0,1907
3_21_389_0,1920
3_21_388_0,1912
3_21_380_0,1915
3_21_382_0,1916
3_21_371_0,1926
3_21_395_0,1910
3_21_390_0,1908
3_21_379_0,1917
3_21_375_0,1903
3_21_386_0,1919
3_21_398_0,1911
3_21_399_0,1923
3_21_376_0,1904
3_21_397_0,1924
3_21_385_0,1918
3_21_394_0,1922
3_21_387_0,1913
3_21_396_0,1925
3_21_372_0,1901
3_21_392_0,1929
3_21_374_0,1902
3_34_637_0,3302
3_34_636_0,3303
3_34_635_0,3301
3_34_634_0,3304
3_3_49_0,2002
3_3_46_0,2011
3_3_45_0,2012
3_3_40_0,2013
3_3_43_0,2003
3_3_35_0,2001
3_3_38_0,2007
3_3_37_0,2005
3_3_36_0,2006
3_3_41_0,2004
3_3_47_0,2014
3_3_42_0,NA
3_3_44_0,NA
3_3_48_0,2009
3_3_53_0,2010
3_3_39_0,NA
3_8_119_0,2111
3_8_104_0,2105
3_8_125_0,2124
3_8_128_0,2129
3_8_115_0,2117
3_8_105_0,2106
3_8_122_0,2120
3_8_101_0,2102
3_8_121_0,2125
3_8_102_0,2103
3_8_109_0,2128
3_8_106_0,2107
3_8_124_0,2123
3_8_99_0,2101
3_8_100_0,2101
3_8_110_0,2109
3_8_114_0,2113
3_8_116_0,2118
3_8_129_0,2127
3_8_103_0,2104
3_8_113_0,2114
3_8_107_0,2108
3_8_127_0,2126
3_8_112_0,2115
3_8_118_0,2116
3_8_123_0,2130
3_8_108_0,2108
3_8_111_0,2110
3_8_117_0,2119
3_8_120_0,2112
3_11_244_0,2202
3_11_241_0,2201
3_11_243_0,2203
3_11_242_0,2204
3_33_616_0,2312
3_33_603_0,2301
3_33_632_0,2310
3_33_617_0,NA
3_33_630_0,2304
3_33_612_0,2311
3_33_604_0,NA
3_33_629_0,2321
3_33_613_0,2312
3_33_623_0,2316
3_33_618_0,2323
3_33_609_0,2307
3_33_615_0,2312
3_33_621_0,2314
3_33_626_0,2317
3_33_608_0,2307
3_33_622_0,NA
3_33_620_0,2313
3_33_611_0,2309
3_33_624_0,2316
3_33_602_0,NA
3_33_619_0,2313
3_33_627_0,NA
3_33_614_0,2312
3_33_628_0,2320
3_33_606_0,2305
3_33_605_0,2303
3_33_607_0,2322
3_33_625_0,2318
3_16_291_0,2402
3_16_292_0,2402
3_16_290_0,2403
3_16_289_0,2401
3_9_146_0,2520
3_9_143_0,2518
3_9_175_0,2545
3_9_178_0,NA
3_9_162_0,2564
3_9_191_0,2557
3_9_139_0,2571
3_9_180_0,2546
3_9_193_0,2559
3_9_182_0,2566
3_9_170_0,2542
3_9_176_0,2548
3_9_150_0,2525
3_9_185_0,2553
3_9_134_0,2509
3_9_149_0,2524
3_9_142_0,2517
3_9_196_0,2572
3_9_171_0,2569
3_9_190_0,2555
3_9_201_0,2522
3_9_161_0,2535
3_9_177_0,2549
3_9_159_0,2534
3_9_172_0,2543
3_9_147_0,2521
3_9_141_0,2516
3_9_140_0,2516
3_9_195_0,2560
3_9_183_0,2547
3_9_188_0,2554
3_9_168_0,2541
3_9_155_0,2530
3_9_165_0,2538
3_9_194_0,2558
3_9_166_0,2539
3_9_137_0,2567
3_9_160_0,2570
3_9_163_0,2536
3_9_164_0,2537
3_9_174_0,2545
3_9_153_0,2528
3_9_189_0,NA
3_9_167_0,2540
3_9_157_0,2532
3_9_144_0,2565
3_9_169_0,NA
3_9_187_0,2552
3_9_148_0,2523
3_9_145_0,2519
3_9_192_0,2556
3_9_138_0,2515
3_9_199_0,2562
3_9_135_0,2510
3_9_133_0,2514
3_9_151_0,2526
3_9_173_0,2544
3_9_158_0,2533
3_9_136_0,2511
3_9_132_0,2512
3_9_186_0,2553
3_9_198_0,NA
3_9_152_0,2527
3_9_181_0,NA
3_9_184_0,2551
3_9_154_0,2529
3_9_200_0,2563
3_9_179_0,2550
3_9_156_0,2531
3_9_197_0,2561
3_5_64_0,2507
3_5_63_0,2507
3_5_57_0,2502
3_5_65_0,2568
3_5_60_0,2504
3_5_61_0,2505
3_5_68_0,2513
3_5_66_0,2508
3_5_62_0,2506
3_5_58_0,2502
3_5_59_0,2503
3_5_67_0,NA
3_5_56_0,2501
3_19_339_0,2614
3_19_335_0,2616
3_19_334_0,2617
3_19_331_0,NA
3_19_327_0,2603
3_19_341_0,2611
3_19_338_0,2612
3_19_328_0,2602
3_19_329_0,2601
3_19_342_0,2610
3_19_332_0,2605
3_19_333_0,2606
3_19_336_0,2607
3_19_337_0,2608
3_19_344_0,2613
3_19_340_0,2615
3_19_343_0,2609
3_19_330_0,NA
