1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
132,GUJ,Plains Southern,Vadodara,7,3,15,"Vadodara, Savli,Dabhoi, Karjan,Padra,Sinor,Vaghodia, Sankheda"
133,GUJ,Plains Southern,Bharuch,7,3,16,"Hansot, Vagra,Amod, Jambusar,Bharuch, Jhagadia"
134,GUJ,Plains Southern,Surat,7,3,17,"Chorasi, Kamrej, Olpad"
135,GUJ,Plains Southern,Valsad,7,3,18,"Navsari, Gandevi"
136,GUJ,Saurashtra,Jamnagar,7,5,1,
137,GUJ,Saurashtra,Rajkot,7,5,2,
138,GUJ,Saurashtra,Bhavnagar,7,5,4,
139,GUJ,Saurashtra,Amreli,7,5,5,
140,GUJ,Saurashtra,Junagadh,7,5,6,
141,HAR,Eastern,Ambala,8,1,1,
142,HAR,Eastern,Yamuna Nagar,8,1,2,
143,HAR,Eastern,Kurukshetra,8,1,3,
144,HAR,Eastern,Kaithal,8,1,4,
145,HAR,Eastern,Karnal,8,1,5,
146,HAR,Eastern,Panipat,8,1,6,
147,HAR,Eastern,Sonipat,8,1,7,
148,HAR,Eastern,Rohtak,8,1,8,
149,HAR,Eastern,Faridabad,8,1,9,
150,HAR,Eastern,Gurgaon,8,1,10,
151,HAR,Western,Rewari,8,2,11,
152,HAR,Western,Mahendragarh,8,2,12,
153,HAR,Western,Bhilwani,8,2,13,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
155,HAR,Western,Hisar,8,2,15,
156,HAR,Western,Sirsa,8,2,16,
157,HPR,HPR,Chamba,9,1,1,
158,HPR,HPR,Kangra,9,1,2,
159,HPR,HPR,Hamirpur,9,1,3,
160,HPR,HPR,Una,9,1,4,
161,HPR,HPR,Bilaspur,9,1,5,
162,HPR,HPR,Mandi,9,1,6,
163,HPR,HPR,Kullu,9,1,7,
164,HPR,HPR,Lahul & Spiti,9,1,8,
165,HPR,HPR,Shimla,9,1,9,
166,HPR,HPR,Solan,9,1,10,
167,HPR,HPR,Sirampur,9,1,11,
168,HPR,HPR,Kinnaur,9,1,12,
169,KAR,Coastal & Ghats,Dakshin Kannad,11,1,9,
170,KAR,Coastal & Ghats,Uttar Kannad,11,1,20,
171,KAR,Inland Eastern,Chikmagalur,11,2,7,
172,KAR,Inland Eastern,Hassan,11,2,12,
173,KAR,Inland Eastern,Kodagu,11,2,13,
174,KAR,Inland Eastern,Shimoga,11,2,18,
175,KAR,Inland Northern,Belgaum,11,4,3,
