finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_6_83_0,Haryana,Jhajjar,Haryana,JHAJJAR,NA,NA
3_6_77_0,Haryana,Jind,Haryana,JIND,NA,814
3_6_73_0,Haryana,Kaithal,Haryana,KAITHAL,NA,NA
3_6_74_0,Haryana,Karnal,Haryana,KARNAL,NA,805
3_6_72_0,Haryana,Kurukshetra,Haryana,KURUKSHETRA,NA,803
3_6_84_0,Haryana,Mahendragarh,Haryana,MAHENDRAGARH,NA,NA
3_6_69_0,Haryana,Panchkula,Haryana,PANCHKULA,NA,NA
3_6_75_0,Haryana,Panipat,Haryana,PANIPAT,NA,806
3_6_85_0,Haryana,Rewari,Haryana,REWARI,NA,811
3_6_82_0,Haryana,Rohtak,Haryana,ROHTAK,NA,808
3_6_79_0,Haryana,Sirsa,Haryana,SIRSA,NA,816
3_6_76_0,Haryana,Sonipat,Haryana,SONIPAT,NA,NA
3_6_71_0,Haryana,Yamunanagar,Haryana,YAMUNANAGAR,NA,NA
3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,BILASPUR,NA,905
3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,BILASPUR,NA,1305
3_2_23_0,Himachal Pradesh,Chamba,Himachal Pradesh,CHAMBA,NA,901
3_2_28_0,Himachal Pradesh,Hamirpur,Himachal Pradesh,HAMIRPUR,NA,903
3_2_24_0,Himachal Pradesh,Kangra,Himachal Pradesh,KANGRA,NA,902
3_2_34_0,Himachal Pradesh,Kinnaur,Himachal Pradesh,KINNAUR,NA,NA
3_2_26_0,Himachal Pradesh,Kullu,Himachal Pradesh,KULLU,NA,NA
3_2_25_0,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,LAHUL & SPITI,NA,NA
3_2_27_0,Himachal Pradesh,Mandi,Himachal Pradesh,MANDI,NA,906
3_2_33_0,Himachal Pradesh,Shimla,Himachal Pradesh,SHIMLA,NA,NA
3_2_32_0,Himachal Pradesh,Sirmaur,Himachal Pradesh,SIRMAUR,NA,NA
3_2_31_0,Himachal Pradesh,Solan,Himachal Pradesh,SOLAN,NA,910
3_2_29_0,Himachal Pradesh,Una,Himachal Pradesh,UNA,NA,904
3_12_260_1,India/China  1,Anjaw,NA,NA,NA,NA
3_12_247_1,India/China  1,East Kameng,Arunachal Pradesh,EAST KAMENG,NA,303
3_12_251_1,India/China  1,East Siang,NA,NA,NA,NA
3_12_255_1,India/China  1,Kurung Kumey,NA,NA,2000-04-01: Kurung Kumey district split from Lower Subansiri.,NA
3_12_259_1,India/China  1,Lohit,NA,NA,NA,NA
3_12_248_1,India/China  1,Papum Pare,NA,NA,NA,NA
3_12_245_1,India/China  1,Tawang,Arunachal Pradesh,TAWANG,NA,301
3_12_252_1,India/China  1,Upper Siang,Arunachal Pradesh,UPPER SIANG,NA,NA
3_12_249_1,India/China  1,Upper Subansiri,Arunachal Pradesh,UPPER SUBANSIRI,NA,NA
3_12_246_1,India/China  1,West Kameng,Arunachal Pradesh,WEST KAMENG,NA,NA
3_12_250_1,India/China  1,West Siang,NA,NA,NA,NA
3_1_3_1,India/China  2,Leh(Ladakh),NA,NA,NA,NA
