spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_10_228_0,Bihar,Sheikhpura,Bihar,Sheikhpura,Bihar,Sheikhpura,3_10_228_0,NA
3_10_205_0,Bihar,Sheohar,Bihar,Sheohar,Bihar,Sheohar,3_10_205_0,NA
3_10_206_0,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sitamarhi,3_10_206_0,NA
3_10_218_0,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan,3_10_218_0,NA
3_10_208_0,Bihar,Supaul,Bihar,Supaul,Bihar,Supaul,3_10_208_0,NA
3_10_220_0,Bihar,Vaishali,Bihar,Vaishali,Bihar,Vaishali,3_10_220_0,NA
3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,3_4_55_0,NA
3_22_414_0,Chhattisgarh,Bastar,Chhatisgarh,Bastar,Chhattisgarh,Bastar,3_22_414_0,Narayanpur district split from Bastar.
3_22_417_0,Chhattisgarh,Bijapur,NA,NA,Chhattisgarh,Bijapur,3_22_416_0,Dantewada district split into Bijapur and Dakshin Bastar Dantewada
3_22_406_0,Chhattisgarh,Bilaspur,Chhatisgarh,Bilaspur,Chhattisgarh,Bilaspur,3_22_406_0,NA
3_22_416_0,Chhattisgarh,Dakshin Bastar Dantewada,Chhatisgarh,Dantewara,Chhattisgarh,Dantewada,3_22_416_0,Dantewada district split into Bijapur and Dakshin Bastar Dantewada
3_22_412_0,Chhattisgarh,Dhamtari,Chhatisgarh,Dhamtari,Chhattisgarh,Dhamtari,3_22_412_0,NA
3_22_409_0,Chhattisgarh,Durg,Chhatisgarh,Durg,Chhattisgarh,Durg,3_22_409_0,NA
3_22_405_0,Chhattisgarh,Janjgir - Champa,Chhatisgarh,Janjgir-Champa,Chhattisgarh,Janjgir-Champa,3_22_405_0,NA
3_22_402_0,Chhattisgarh,Jashpur,Chhatisgarh,Jashpur,Chhattisgarh,Jashpur,3_22_402_0,NA
3_22_407_0,Chhattisgarh,Kabeerdham,Chhatisgarh,Kawardha,Chhattisgarh,Kawardha,3_22_407_0,NA
3_22_404_0,Chhattisgarh,Korba,Chhatisgarh,Korba,Chhattisgarh,Korba,3_22_404_0,NA
3_22_400_0,Chhattisgarh,Koriya,Chhatisgarh,Koria,Chhattisgarh,Koriya,3_22_400_0,NA
3_22_411_0,Chhattisgarh,Mahasamund,Chhatisgarh,Mahasamund,Chhattisgarh,Mahasamund,3_22_411_0,NA
3_22_415_0,Chhattisgarh,Narayanpur,NA,NA,Chhattisgarh,Narayanpur,3_22_414_0,Narayanpur district split from Bastar.
3_22_403_0,Chhattisgarh,Raigarh,Chhatisgarh,Raigarh,Chhattisgarh,Raigarh,3_22_403_0,NA
3_22_410_0,Chhattisgarh,Raipur,Chhatisgarh,Raipur,Chhattisgarh,Raipur,3_22_410_0,NA
3_22_408_0,Chhattisgarh,Rajnandgaon,Chhatisgarh,Rajnandgaon,Chhattisgarh,Rajnandgaon,3_22_408_0,NA
3_22_401_0,Chhattisgarh,Surguja,Chhatisgarh,Surguja,Chhattisgarh,Surguja,3_22_401_0,NA
3_22_413_0,Chhattisgarh,Uttar Bastar Kanker,Chhatisgarh,Kanker,Chhattisgarh,Kanker,3_22_413_0,NA
3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,D & N Haveli,D & N  Haveli,3_26_496_0,NA
3_25_495_0,Daman & Diu,Daman,Daman & Diu,Daman,Daman & Diu,Daman,3_25_495_0,NA
3_25_494_0,Daman & Diu,Diu,Daman & Diu,Diu,Daman & Diu,Diu,3_25_494_0,NA
3_30_585_0,Goa,North Goa,Goa,North Goa,Goa,North Goa,3_30_585_0,NA
3_30_586_0,Goa,South Goa,Goa,South Goa,Goa,South Goa,3_30_586_0,NA
3_24_474_0,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmedabad,3_24_474_0,NA
3_24_480_0,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,3_24_480_0,NA
3_24_482_0,Gujarat,Anand,Gujarat,Anand,Gujarat,Anand,3_24_482_0,NA
3_24_469_0,Gujarat,Banas Kantha,Gujarat,Banas kantha,Gujarat,Bans Kantha,3_24_469_0,NA
3_24_488_0,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,3_24_488_0,NA
3_24_481_0,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,3_24_481_0,NA
3_24_485_0,Gujarat,Dohad,Gujarat,Dohad,Gujarat,Dohad,3_24_485_0,NA
3_24_473_0,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,3_24_473_0,NA
3_24_477_0,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,3_24_477_0,NA
3_24_479_0,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,3_24_479_0,NA
3_24_468_0,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,3_24_468_0,NA
3_24_483_0,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,3_24_483_0,NA
3_24_471_0,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,3_24_471_0,NA
3_24_487_0,Gujarat,Narmada,Gujarat,Narmada,Gujarat,Narmada,3_24_487_0,NA
3_24_490_0,Gujarat,Navsari,Gujarat,Navsari,Gujarat,Navsari,3_24_490_0,NA
3_24_484_0,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,3_24_484_0,NA
3_24_470_0,Gujarat,Patan,Gujarat,Patan,Gujarat,Patan,3_24_470_0,NA
3_24_478_0,Gujarat,Porbandar,Gujarat,Porbandar,Gujarat,Porbandar,3_24_478_0,NA
3_24_476_0,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,3_24_476_0,NA
3_24_472_0,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,3_24_472_0,NA
3_24_492_0,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,3_24_492_0,Tapi district split from Surat
3_24_475_0,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,3_24_475_0,NA
3_24_493_0,Gujarat,Tapi,NA,NA,NA,NA,3_24_492_0,Tapi district split from Surat
3_24_489_0,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs,3_24_489_0,NA
3_24_486_0,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,3_24_486_0,NA
3_24_491_0,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,3_24_491_0,NA
3_6_70_0,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,3_6_70_0,NA
3_6_81_0,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,3_6_81_0,NA
