spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_9_192_0,Uttar Pradesh,Mau,Uttar Pradesh,Mau,3_9_192_0,Hamirpur split 1995,NA
3_9_138_0,Uttar Pradesh,Meerut,Uttar Pradesh,Meerut,3_9_138_0,,NA
3_9_199_0,Uttar Pradesh,Mirzapur,Uttar Pradesh,Mirzapur,3_9_199_0,,NA
3_9_135_0,Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad,3_9_135_0,,NA
3_9_133_0,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,3_9_133_0,,NA
3_9_151_0,Uttar Pradesh,Pilibhit,Uttar Pradesh,Pilibhit,3_9_151_0,,NA
3_9_173_0,Uttar Pradesh,Pratapgarh,Uttar Pradesh,Pratapgarh,3_9_173_0,,NA
3_9_158_0,Uttar Pradesh,Rae Bareli,Uttar Pradesh,Rae Bareli,3_9_158_0,,NA
3_9_136_0,Uttar Pradesh,Rampur,Uttar Pradesh,Rampur,3_9_136_0,,NA
3_9_186_0,Uttar Pradesh,Sant Kabir Nagar,Uttar Pradesh,S. Kabir Nagar,NA,Basti split 1997,NA
3_9_198_0,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,S. R. Nagar Bhadohi,NA,Varanasi split 1994,NA
3_9_132_0,Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur,3_9_132_0,,NA
3_9_152_0,Uttar Pradesh,Shahjahanpur,Uttar Pradesh,Shahjahanpur,3_9_152_0,,NA
3_9_181_0,Uttar Pradesh,Shrawasti,Uttar Pradesh,Shrawasti,3_9_181_0,Gonda + Bahraich,NA
3_9_184_0,Uttar Pradesh,Siddharthnagar,Uttar Pradesh,Siddharthnagar,3_9_184_0,Basti split 1988,NA
3_9_154_0,Uttar Pradesh,Sitapur,Uttar Pradesh,Sitapur,3_9_154_0,,NA
3_9_200_0,Uttar Pradesh,Sonbhadra,Uttar Pradesh,Sonbhadra,3_9_200_0,Mirzapur split 1989,NA
3_9_179_0,Uttar Pradesh,Sultanpur,Uttar Pradesh,Sultanpur,3_9_179_0,,NA
3_9_156_0,Uttar Pradesh,Unnao,Uttar Pradesh,Unnao,3_9_156_0,,NA
3_9_197_0,Uttar Pradesh,Varanasi,Uttar Pradesh,Varanasi,3_9_197_0,,NA
3_5_64_0,Uttarakhand,Almora,Uttarakhand,Almora,3_5_64_0,,NA
3_5_63_0,Uttarakhand,Bageshwar,Uttarakhand,Bageshwar,3_5_63_0,Almora split ,NA
3_5_57_0,Uttarakhand,Chamoli,Uttarakhand,Chamoli,3_5_57_0,,NA
3_5_65_0,Uttarakhand,Champawat,Uttarakhand,Champawat,3_5_65_0,Pithoragarh split 1997,NA
NA,NA,NA,Uttarakhand,Dehradun (H),NA,,NA
3_5_60_0,Uttarakhand,Dehradun,Uttarakhand,Dehradun (P),NA,,NA
3_5_61_0,Uttarakhand,Garhwal,Uttarakhand,Garhwal,3_5_61_0,,NA
3_5_68_0,Uttarakhand,Hardwar,Uttarakhand,Hardwar,3_5_68_0,Saharanpur split 1988,NA
NA,NA,NA,Uttarakhand,Nainital (H),NA,,NA
3_5_66_0,Uttarakhand,Nainital,Uttarakhand,Nainital (P),NA,,NA
3_5_62_0,Uttarakhand,Pithoragarh,Uttarakhand,Pithoragarh,3_5_62_0,,NA
3_5_58_0,Uttarakhand,Rudraprayag,Uttarakhand,Rudraprayag,3_5_58_0,Chamoli + Tehri + Pauri 1997,NA
3_5_59_0,Uttarakhand,Tehri Garhwal,Uttarakhand,Tehri Garhwal,3_5_59_0,,NA
3_5_67_0,Uttarakhand,Udham Singh Nagar,Uttarakhand,U. Singh Nagar,NA,Nainital split 1995,NA
3_5_56_0,Uttarakhand,Uttarkashi,Uttarakhand,Uttarkashi,3_5_56_0,,NA
3_19_339_0,West Bengal,Bankura,West Bengal,Bankura,3_19_339_0,,NA
3_19_335_0,West Bengal,Barddhaman,West Bengal,Barddhaman,3_19_335_0,,NA
3_19_334_0,West Bengal,Birbhum,West Bengal,Birbhum,3_19_334_0,,NA
3_19_331_0,West Bengal,Dakshin Dinajpur,West Bengal,Dakshin Dinajpur,3_19_331_0,,NA
3_19_327_0,West Bengal,Darjiling,West Bengal,Darjiling,3_19_327_0,,NA
3_19_341_0,West Bengal,Haora,West Bengal,Howrah,NA,,NA
3_19_338_0,West Bengal,Hugli,West Bengal,Hugli,3_19_338_0,,NA
3_19_328_0,West Bengal,Jalpaiguri,West Bengal,Jalpaiguri,3_19_328_0,,NA
3_19_329_0,West Bengal,Koch Bihar,West Bengal,Koch Bihar,3_19_329_0,,NA
3_19_342_0,West Bengal,Kolkata,West Bengal,Kolkata,3_19_342_0,,NA
3_19_332_0,West Bengal,Maldah,West Bengal,Maldah,3_19_332_0,,NA
3_19_333_0,West Bengal,Murshidabad,West Bengal,Murshidabad,3_19_333_0,,NA
3_19_336_0,West Bengal,Nadia,West Bengal,Nadia,3_19_336_0,,NA
3_19_337_0,West Bengal,North Twenty Four Parganas,West Bengal,North 24-Parganas,3_19_337_0,,NA
3_19_344_0,West Bengal,Paschim Medinipur,West Bengal,Paschim Midnapur,NA,,NA
3_19_345_0,West Bengal,Purba Medinipur,West Bengal,Purba Midnapur,NA,,NA
3_19_340_0,West Bengal,Puruliya,West Bengal,Puruliya,3_19_340_0,,NA
3_19_343_0,West Bengal,South Twenty Four Parganas,West Bengal,South 24-Parganas,3_19_343_0,,NA
3_19_330_0,West Bengal,Uttar Dinajpur,West Bengal,Uttar Dinajpur,3_19_330_0,,NA
