spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_10_226_0,Bihar,Munger,Bihar,Munger,3_10_226_0,same as Munger,"Jamui, Lakhisarai, and Sheikhpura districts split from Munger"
3_10_216_0,Bihar,Muzaffarpur,Bihar,Muzaffarpur,3_10_216_0,,NA
3_10_229_0,Bihar,Nalanda,Bihar,Nalanda,3_10_229_0,,NA
3_10_237_0,Bihar,Nawada,Bihar,Nawada,3_10_237_0,,NA
3_10_230_0,Bihar,Patna,Bihar,Patna,3_10_230_0,,NA
3_10_211_0,Bihar,Purnia,Bihar,Purnia,3_10_211_0,,NA
3_10_234_0,Bihar,Rohtas,Bihar,Rohtas,3_10_234_0,,NA
3_10_214_0,Bihar,Saharsa,Bihar,Saharsa,3_10_214_0,,Supaul district split from Saharsa
3_10_221_0,Bihar,Samastipur,Bihar,Samastipur,3_10_221_0,,NA
3_10_219_0,Bihar,Saran,Bihar,Saran,3_10_219_0,,NA
3_10_228_0,Bihar,Sheikhpura,Bihar,Sheikhpura,3_10_226_0,Munger split 1994,"Jamui, Lakhisarai, and Sheikhpura districts split from Munger"
3_10_205_0,Bihar,Sheohar,Bihar,Sheohar,3_10_205_0,Sitamarhi split 1994,NA
3_10_206_0,Bihar,Sitamarhi,Bihar,Sitamarhi,3_10_206_0,,NA
3_10_218_0,Bihar,Siwan,Bihar,Siwan,3_10_218_0,,NA
3_10_208_0,Bihar,Supaul,Bihar,Supaul,3_10_214_0,Saharsa split 1991,Supaul district split from Saharsa
3_10_220_0,Bihar,Vaishali,Bihar,Vaishali,3_10_220_0,,NA
3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,3_4_55_0,,NA
3_22_414_0,Chhattisgarh,Bastar,Chhattisgarh,Bastar,3_22_414_0,,NA
3_22_417_0,Chhattisgarh,Bijapur,Chhattisgarh,Bijapur,3_22_417_0,Dantewada split 2007,NA
3_22_406_0,Chhattisgarh,Bilaspur,Chhattisgarh,Bilaspur,3_22_406_0,,NA
3_22_416_0,Chhattisgarh,Dakshin Bastar Dantewada,Chhattisgarh,Dantewada,NA,Bastar split 1999,NA
3_22_412_0,Chhattisgarh,Dhamtari,Chhattisgarh,Dhamtari,3_22_412_0,Raipur split 1998,NA
3_22_409_0,Chhattisgarh,Durg,Chhattisgarh,Durg,3_22_409_0,,NA
3_22_405_0,Chhattisgarh,Janjgir - Champa,Chhattisgarh,Janjgir-Champa,NA,Bilaspur split 1998,NA
3_22_402_0,Chhattisgarh,Jashpur,Chhattisgarh,Jashpur,3_22_402_0,Raigarh split 1998,NA
3_22_413_0,Chhattisgarh,Uttar Bastar Kanker,Chhattisgarh,Kanker,NA,Bastar split 1999,NA
3_22_407_0,Chhattisgarh,Kabeerdham,Chhattisgarh,Kawardha,NA,Rajnandgaon + Bilaspur 1998,NA
3_22_404_0,Chhattisgarh,Korba,Chhattisgarh,Korba,3_22_404_0,Bilaspur split 1998,NA
3_22_400_0,Chhattisgarh,Koriya,Chhattisgarh,Koriya,3_22_400_0,Surguja split 1998,NA
3_22_411_0,Chhattisgarh,Mahasamund,Chhattisgarh,Mahasamund,3_22_411_0,Raipur split 1998,NA
3_22_415_0,Chhattisgarh,Narayanpur,Chhattisgarh,Narayanpur,3_22_415_0,Bastar split 2007,NA
3_22_403_0,Chhattisgarh,Raigarh,Chhattisgarh,Raigarh,3_22_403_0,,NA
3_22_410_0,Chhattisgarh,Raipur,Chhattisgarh,Raipur,3_22_410_0,,NA
3_22_408_0,Chhattisgarh,Rajnandgaon,Chhattisgarh,Rajnandgaon,3_22_408_0,,NA
3_22_401_0,Chhattisgarh,Surguja,Chhattisgarh,Surguja,3_22_401_0,,NA
3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,D & N Haveli,D & N  Haveli,NA,,NA
3_25_495_0,Daman & Diu,Daman,Daman & Diu,Daman,3_25_495_0,,NA
3_25_494_0,Daman & Diu,Diu,Daman & Diu,Diu,3_25_494_0,,NA
3_7_95_0,NCT Of Delhi,Central,Delhi,Central,NA,,NA
3_7_93_0,NCT Of Delhi,East,Delhi,East,NA,,NA
3_7_94_0,NCT Of Delhi,New Delhi,Delhi,New Delhi,NA,,NA
3_7_91_0,NCT Of Delhi,North,Delhi,North,NA,,NA
3_7_92_0,NCT Of Delhi,North East,Delhi,North East,NA,,NA
3_7_90_0,NCT Of Delhi,North West,Delhi,North West,3_7_90_0,,NA
3_7_98_0,NCT Of Delhi,South,Delhi,South,NA,,NA
3_7_97_0,NCT Of Delhi,South West,Delhi,South West,NA,,NA
3_7_96_0,NCT Of Delhi,West,Delhi,West,NA,,NA
3_30_585_0,Goa,North Goa,Goa,North Goa,3_30_585_0,,NA
3_30_586_0,Goa,South Goa,Goa,South Goa,3_30_586_0,,NA
3_24_474_0,Gujarat,Ahmadabad,Gujarat,Ahmedabad,NA,,NA
3_24_480_0,Gujarat,Amreli,Gujarat,Amreli,3_24_480_0,,NA
3_24_482_0,Gujarat,Anand,Gujarat,Anand,3_24_482_0,Kheda split 1997,NA
