id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area,pop,dens
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,2184,244,112
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,2195,261,119
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,11,16.6,1503
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,1596,197,123
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,1607,228,142
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,11.1,31.2,2819
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,1533,129,84.40000000000001
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,1537,152,99.2
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,4.600000000000001,23.1,4985
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,1564,124,79
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,1570,161,103
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,6.7,37.6,5585
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,850,193,227
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,876,308,351
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,25.1,115,4563
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,1855,135,72.90000000000001
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,1861,148,79.60000000000001
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,5.2,12.9,2464
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,2228,154,69.3
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,2234,184,82.40000000000001
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,6.2,29.8,4796
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,565,121,214
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,565,121,214
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,0,0,
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,1107,103,92.80000000000001
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,1107,103,92.80000000000001
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,0,0,
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,1381,143,103
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,1400,220,157
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,19.4,77,3964
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,1645,89.80000000000001,54.6
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,1645,89.80000000000001,54.6
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,0,0,
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,3534,157,44.3
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,3534,157,44.3
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,0,0,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,4111,111,27.1
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,4111,111,27.1
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,0,0,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,4789,215,44.8
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,4789,215,44.8
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,0,0,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,337,134,397
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,416,208,501
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,79.10000000000001,74.7,945
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,526,233,443
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,638,364,571
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,112,131,1169
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,379,165,435
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,501,407,811
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,122,242,1979
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,546,287,525
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,580,394,679
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,34.2,107,3132
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,4484,141,31.4
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,4484,141,31.4
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,0,0,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,3252,103,31.8
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,3262,118,36.3
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,10,15,1498
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,2915,51.40000000000001,17.6
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,2963,62.1,21
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,47.3,10.7,225
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,1512,29.5,19.5
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,1586,66,41.6
