id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,elev,rough,irr_all,ac_irr,irr_gw,irr_sw,lcrt
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,346,191,,,,,
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,260,234,,,,,
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,933,455,,,,,
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,614,264,,,,,
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,1113,555,,,,,
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,932,332,,,,,
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,79.2,52.5,,,,,
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,31.3,6.4,,,,,
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,49.90000000000001,34,,,,,
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,42,4.5,,,,,
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,67.40000000000001,42.5,,,,,
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,93.7,69.90000000000001,,,,,
3_18_306_0,2001,Total,3,India,18,Assam,306,Sonitpur,91.2,33.2,,,,,
3_18_307_0,2001,Total,3,India,18,Assam,307,Lakhimpur,97.30000000000001,26.2,,,,,
3_18_308_0,2001,Total,3,India,18,Assam,308,Dhemaji,122,75.10000000000001,,,,,
3_18_309_0,2001,Total,3,India,18,Assam,309,Tinsukia,144,33.9,,,,,
3_18_310_0,2001,Total,3,India,18,Assam,310,Dibrugarh,113,22.6,,,,,
3_18_311_0,2001,Total,3,India,18,Assam,311,Sivasagar,105,20.2,,,,,
3_18_312_0,2001,Total,3,India,18,Assam,312,Jorhat,98.5,27.8,,,,,
3_18_313_0,2001,Total,3,India,18,Assam,313,Golaghat,105,26.6,,,,,
3_18_314_0,2001,Total,3,India,18,Assam,314,Karbi Anglong,393,255,,,,,
3_18_315_0,2001,Total,3,India,18,Assam,315,Dima Hasao,544,348,,,,,
3_18_316_0,2001,Total,3,India,18,Assam,316,Cachar,138,209,,,,,
3_18_317_0,2001,Total,3,India,18,Assam,317,Karimganj,44.5,32.6,,,,,
3_18_318_0,2001,Total,3,India,18,Assam,318,Hailakandi,72.3,71.8,,,,,
3_18_319_0,2001,Total,3,India,18,Assam,319,Bongaigaon,55.7,41.7,,,,,
3_18_320_0,2001,Total,3,India,18,Assam,320,Chirang,112,62.3,,,,,
3_18_321_0,2001,Total,3,India,18,Assam,321,Kamrup,110,144,,,,,
3_18_322_0,2001,Total,3,India,18,Assam,322,Kamrup Metropolitan,134,105,,,,,
3_18_323_0,2001,Total,3,India,18,Assam,323,Nalbari,49.2,5.4,,,,,
3_18_324_0,2001,Total,3,India,18,Assam,324,Baksa,78.40000000000001,34.1,,,,,
3_18_325_0,2001,Total,3,India,18,Assam,325,Darrang,60.3,9.4,,,,,
3_18_326_0,2001,Total,3,India,18,Assam,326,Udalguri,121,57.90000000000001,,,,,
3_19_327_0,2001,Total,3,India,19,West Bengal,327,Darjiling,918,771,,,,,
3_19_328_0,2001,Total,3,India,19,West Bengal,328,Jalpaiguri,126,118,,,,,
3_19_329_0,2001,Total,3,India,19,West Bengal,329,Koch Bihar,47.2,10.8,,,,,
3_19_330_0,2001,Total,3,India,19,West Bengal,330,Uttar Dinajpur,46.1,15.9,,,,,
3_19_331_0,2001,Total,3,India,19,West Bengal,331,Dakshin Dinajpur,28.9,2.8,,,,,
3_19_332_0,2001,Total,3,India,19,West Bengal,332,Maldah,28.1,4.600000000000001,,,,,
3_19_333_0,2001,Total,3,India,19,West Bengal,333,Murshidabad,21.6,5,,,,,
3_19_334_0,2001,Total,3,India,19,West Bengal,334,Birbhum,52.90000000000001,23.2,,,,,
3_19_335_0,2001,Total,3,India,19,West Bengal,335,Barddhaman,44.6,36.1,,,,,
3_19_336_0,2001,Total,3,India,19,West Bengal,336,Nadia,13.3,3.3,,,,,
3_19_337_0,2001,Total,3,India,19,West Bengal,337,North Twenty Four Parganas,5.9,3.7,,,,,
3_19_338_0,2001,Total,3,India,19,West Bengal,338,Hugli,13.2,5.5,,,,,
3_19_339_0,2001,Total,3,India,19,West Bengal,339,Bankura,95.30000000000001,39.90000000000001,,,,,
3_19_340_0,2001,Total,3,India,19,West Bengal,340,Puruliya,227,73.7,,,,,
3_19_341_0,2001,Total,3,India,19,West Bengal,341,Haora,6.300000000000001,2.6,,,,,
3_19_342_0,2001,Total,3,India,19,West Bengal,342,Kolkata,7.2,2.8,,,,,
3_19_343_0,2001,Total,3,India,19,West Bengal,343,South Twenty Four Parganas,3.4,1.9,,,,,
3_19_344_0,2001,Total,3,India,19,West Bengal,344,Paschim Medinipur,47.8,40.7,,,,,
3_19_345_0,2001,Total,3,India,19,West Bengal,345,Purba Medinipur,5.100000000000001,1.9,,,,,
3_1_1_0,2001,Total,3,India,1,Jammu and Kashmir,1,Kupwara,2456,607,,,,,
3_1_10_0,2001,Total,3,India,1,Jammu and Kashmir,10,Srinagar,2097,685,,,,,
3_1_11_0,2001,Total,3,India,1,Jammu and Kashmir,11,Ganderbal,2949,823,,,,,
3_1_12_0,2001,Total,3,India,1,Jammu and Kashmir,12,Pulwama,1996,566,,,,,
3_1_13_0,2001,Total,3,India,1,Jammu and Kashmir,13,Shupiyan,2227,516,,,,,
3_1_14_0,2001,Total,3,India,1,Jammu and Kashmir,14,Anantnag,2809,884,,,,,
3_1_15_0,2001,Total,3,India,1,Jammu and Kashmir,15,Kulgam,2828,860,,,,,
3_1_16_0,2001,Total,3,India,1,Jammu and Kashmir,16,Doda,2405,721,,,,,
3_1_17_0,2001,Total,3,India,1,Jammu and Kashmir,17,Ramban,2131,706,,,,,
3_1_18_0,2001,Total,3,India,1,Jammu and Kashmir,18,Kishtwar,3720,940,,,,,
3_1_19_0,2001,Total,3,India,1,Jammu and Kashmir,19,Udhampur,1512,781,,,,,
3_1_2_0,2001,Total,3,India,1,Jammu and Kashmir,2,Badgam,2385,836,,,,,
3_1_20_0,2001,Total,3,India,1,Jammu and Kashmir,20,Reasi,1650,921,,,,,
3_1_21_0,2001,Total,3,India,1,Jammu and Kashmir,21,Jammu,395,135,,,,,
3_1_22_0,2001,Total,3,India,1,Jammu and Kashmir,22,Samba,392,86.30000000000001,,,,,
3_1_3_0,2001,Total,3,India,1,Jammu and Kashmir,3,Leh(Ladakh),4915,664,,,,,
3_1_3_1,2001,Total,3,India,1,India/China  2,3,Leh(Ladakh),4915,664,,,,,
3_1_4_0,2001,Total,3,India,1,Jammu and Kashmir,4,Kargil,4588,627,,,,,
3_1_5_0,2001,Total,3,India,1,Jammu and Kashmir,5,Punch,2094,905,,,,,
3_1_6_0,2001,Total,3,India,1,Jammu and Kashmir,6,Rajouri,1153,609,,,,,
3_1_7_0,2001,Total,3,India,1,Jammu and Kashmir,7,Kathua,1013,771,,,,,
3_1_8_0,2001,Total,3,India,1,Jammu and Kashmir,8,Baramula,2191,667,,,,,
3_1_9_0,2001,Total,3,India,1,Jammu and Kashmir,9,Bandipore,3086,851,,,,,
3_20_346_0,2001,Total,3,India,20,Jharkhand,346,Garhwa,318,121,,,,,
3_20_347_0,2001,Total,3,India,20,Jharkhand,347,Chatra,406,116,,,,,
3_20_348_0,2001,Total,3,India,20,Jharkhand,348,Kodarma,332,70.5,,,,,
3_20_349_0,2001,Total,3,India,20,Jharkhand,349,Giridih,318,64.90000000000001,,,,,
3_20_350_0,2001,Total,3,India,20,Jharkhand,350,Deoghar,236,32.1,,,,,
3_20_351_0,2001,Total,3,India,20,Jharkhand,351,Godda,137,79.60000000000001,,,,,
3_20_352_0,2001,Total,3,India,20,Jharkhand,352,Sahibganj,89.7,69.60000000000001,,,,,
3_20_353_0,2001,Total,3,India,20,Jharkhand,353,Pakur,94.90000000000001,71,,,,,
3_20_354_0,2001,Total,3,India,20,Jharkhand,354,Dhanbad,210,57,,,,,
3_20_355_0,2001,Total,3,India,20,Jharkhand,355,Bokaro,298,107,,,,,
3_20_356_0,2001,Total,3,India,20,Jharkhand,356,Lohardaga,712,113,,,,,
3_20_357_0,2001,Total,3,India,20,Jharkhand,357,Purbi Singhbhum,177,92.2,,,,,
3_20_358_0,2001,Total,3,India,20,Jharkhand,358,Palamu,266,67.60000000000001,,,,,
3_20_359_0,2001,Total,3,India,20,Jharkhand,359,Latehar,519,164,,,,,
3_20_360_0,2001,Total,3,India,20,Jharkhand,360,Hazaribagh,467,95.7,,,,,
3_20_361_0,2001,Total,3,India,20,Jharkhand,361,Ramgarh,387,72.7,,,,,
3_20_362_0,2001,Total,3,India,20,Jharkhand,362,Dumka,169,48.90000000000001,,,,,
3_20_363_0,2001,Total,3,India,20,Jharkhand,363,Jamtara,175,40.7,,,,,
3_20_364_0,2001,Total,3,India,20,Jharkhand,364,Ranchi,528,166,,,,,
3_20_365_0,2001,Total,3,India,20,Jharkhand,365,Khunti,527,98.7,,,,,
3_20_366_0,2001,Total,3,India,20,Jharkhand,366,Gumla,675,126,,,,,
3_20_367_0,2001,Total,3,India,20,Jharkhand,367,Simdega,417,88.60000000000001,,,,,
3_20_368_0,2001,Total,3,India,20,Jharkhand,368,Pashchimi Singhbhum,381,107,,,,,
3_20_369_0,2001,Total,3,India,20,Jharkhand,369,Saraikela-Kharsawan,240,107,,,,,
3_21_370_0,2001,Total,3,India,21,Odisha,370,Bargarh,228,87,,,,,
3_21_371_0,2001,Total,3,India,21,Odisha,371,Jharsuguda,222,27.9,,,,,
3_21_372_0,2001,Total,3,India,21,Odisha,372,Sambalpur,252,88.7,,,,,
3_21_373_0,2001,Total,3,India,21,Odisha,373,Debagarh,261,131,,,,,
3_21_374_0,2001,Total,3,India,21,Odisha,374,Sundargarh,319,133,,,,,
3_21_375_0,2001,Total,3,India,21,Odisha,375,Kendujhar,378,195,,,,,
3_21_376_0,2001,Total,3,India,21,Odisha,376,Mayurbhanj,309,260,,,,,
3_21_377_0,2001,Total,3,India,21,Odisha,377,Baleshwar,32.7,66.10000000000001,,,,,
3_21_378_0,2001,Total,3,India,21,Odisha,378,Bhadrak,9.600000000000001,9,,,,,
3_21_379_0,2001,Total,3,India,21,Odisha,379,Kendrapara,4.2,2.2,,,,,
3_21_380_0,2001,Total,3,India,21,Odisha,380,Jagatsinghapur,7.100000000000001,4.3,,,,,
3_21_381_0,2001,Total,3,India,21,Odisha,381,Cuttack,63.6,78.80000000000001,,,,,
3_21_382_0,2001,Total,3,India,21,Odisha,382,Jajapur,49.7,76.7,,,,,
3_21_383_0,2001,Total,3,India,21,Odisha,383,Dhenkanal,113,77.5,,,,,
3_21_384_0,2001,Total,3,India,21,Odisha,384,Anugul,212,131,,,,,
3_21_385_0,2001,Total,3,India,21,Odisha,385,Nayagarh,179,127,,,,,
3_21_386_0,2001,Total,3,India,21,Odisha,386,Khordha,58.7,77.7,,,,,
3_21_387_0,2001,Total,3,India,21,Odisha,387,Puri,6.4,3.9,,,,,
3_21_388_0,2001,Total,3,India,21,Odisha,388,Ganjam,148,159,,,,,
3_21_389_0,2001,Total,3,India,21,Odisha,389,Gajapati,511,253,,,,,
3_21_390_0,2001,Total,3,India,21,Odisha,390,Kandhamal,628,177,,,,,
3_21_391_0,2001,Total,3,India,21,Odisha,391,Baudh,212,129,,,,,
3_21_392_0,2001,Total,3,India,21,Odisha,392,Subarnapur,141,28.2,,,,,
3_21_393_0,2001,Total,3,India,21,Odisha,393,Balangir,238,65,,,,,
3_21_394_0,2001,Total,3,India,21,Odisha,394,Nuapada,374,145,,,,,
