id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,87.2,66.60000000000001,93.10000000000001
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,58.90000000000001,44.8,69
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,60.8,47.5,70.3
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,78.30000000000001,71.3,84.2
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,31.3,20.8,41.8
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,40.6,28.6,52.40000000000001
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,67.40000000000001,52.7,79.90000000000001
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,59,49,68.3
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,59,49,68.3
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,69.3,60.40000000000001,77.30000000000001
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,69.3,60.40000000000001,77.30000000000001
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,78.90000000000001,71.3,85.40000000000001
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,78.90000000000001,71.3,85.40000000000001
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,41.5,32.5,50.5
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,50.3,40.7,59.5
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,72.5,63,80.5
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,53.90000000000001,46.7,60.7
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,53.90000000000001,46.7,60.7
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,59.5,51.6,66.60000000000001
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,59.5,51.6,66.60000000000001
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,80.90000000000001,73,86.7
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,80.90000000000001,73,86.7
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,55.7,47.5,63.5
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,55.7,47.5,63.5
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,60.7,52.40000000000001,68.40000000000001
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,60.7,52.40000000000001,68.40000000000001
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,75.10000000000001,67.2,81.90000000000001
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,75.10000000000001,67.2,81.90000000000001
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,49.8,38.8,58.7
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,49.8,38.8,58.7
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,47.6,35.4,58.7
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,51.3,39.2,62.1
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,83.2,75.40000000000001,89
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,34.2,21.2,46.2
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,41.7,28.8,53.40000000000001
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,81.40000000000001,73.10000000000001,87.90000000000001
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,54.7,45.7,63.5
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,59.8,51,68.2
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,77.10000000000001,69.8,83.60000000000001
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,25.7,17.4,34.1
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,25.7,17.4,34.1
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,53,43.3,59.40000000000001
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,53,43.3,59.40000000000001
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,,,
