id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_snt2_t
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,88.80000000000001,35.4
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,65.60000000000001,13.1
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,67.2,20.5
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,72.3,43.2
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,67,36.6
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,67,36.6
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,74.2,45.1
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,74.2,45.1
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,80.10000000000001,52.1
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,80.10000000000001,52.1
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,75.3,15.3
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,80,24.4
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,92.40000000000001,48.2
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,77.40000000000001,29
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,77.40000000000001,29
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,80.80000000000001,37
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,80.80000000000001,37
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,92.2,63.40000000000001
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,92.2,63.40000000000001
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,69.90000000000001,24.8
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,69.90000000000001,24.8
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,72.10000000000001,35.5
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,72.10000000000001,35.5
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,77.5,61.1
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,77.5,61.1
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,77.40000000000001,21.9
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,77.40000000000001,21.9
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,52.7,38
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,56.7,42.2
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,88.80000000000001,75.60000000000001
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,55.7,26.9
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,57.7,33.6
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,66.90000000000001,65.10000000000001
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,65.90000000000001,17.5
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,69.7,23.5
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,94.5,62
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,65.90000000000001,17.5
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,69.7,23.5
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,94.5,62
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,69.5,33.2
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,74,41
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,94.60000000000001,76.80000000000001
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,69.5,33.2
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,69.5,33.2
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,74,41
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,74,41
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,94.60000000000001,76.80000000000001
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,94.60000000000001,76.80000000000001
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,67.60000000000001,35
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,67.60000000000001,35
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,71.7,44
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,71.7,44
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,86.30000000000001,75.7
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,86.30000000000001,75.7
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,67.60000000000001,35
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,67.60000000000001,35
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,71.7,44
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,71.7,44
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,86.30000000000001,75.7
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,86.30000000000001,75.7
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,49.3,70.40000000000001
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,49.7,69.5
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,53.5,61.7
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,50.90000000000001,86.40000000000001
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,47.2,83.40000000000001
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,29.4,68.90000000000001
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,40.8,38.2
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,39.40000000000001,40.3
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,32.6,58
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,18.4,39.5
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,20.4,45.3
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,28,68.2
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,21.6,71.60000000000001
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,27.4,67
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,35.7,60.2
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,67.40000000000001,49.7
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,68.3,51
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,78.7,65.3
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,44.8,36.5
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,46,38.7
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,57.7,60.5
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,44.8,36.5
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,46,38.7
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,57.7,60.5
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,44.8,36.5
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,46,38.7
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,57.7,60.5
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,30.2,55.5
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,33.7,55.3
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,39.2,57.40000000000001
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,38.90000000000001,39.40000000000001
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,39.90000000000001,43.6
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,42.7,54.5
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,29.9,53.3
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,29.9,53.3
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,16.9,45.90000000000001
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,16.9,45.90000000000001
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,
