id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_7_t,emp_7_t,wkp_7_f,emp_7_f,wkp_7_m,emp_7_m
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,85.40000000000001,67.60000000000001,83.10000000000001,58.40000000000001,87.2,74.2
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,85.5,67.10000000000001,83.10000000000001,57.5,87.2,74
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,86.7,52.5,84.5,24.6,88.10000000000001,69.10000000000001
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,83.60000000000001,51.7,83.30000000000001,40.6,83.90000000000001,62
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,83.60000000000001,51.7,83.30000000000001,40.3,84,62.1
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,87.10000000000001,47.6,84.80000000000001,22.3,88.90000000000001,66.40000000000001
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,84.10000000000001,63.5,83.80000000000001,56.7,84.40000000000001,69.90000000000001
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,84.30000000000001,62.90000000000001,83.90000000000001,55.5,84.60000000000001,69.60000000000001
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,89.7,42.8,89.2,19.1,90,62.6
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,86.5,57.40000000000001,85.5,45.3,87.2,67.40000000000001
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,87.2,54.5,86.30000000000001,40.8,87.90000000000001,66
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,89.80000000000001,44.6,89.30000000000001,24.8,90.30000000000001,61.1
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,81.30000000000001,65.40000000000001,81.40000000000001,61,81.10000000000001,69.60000000000001
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,83.30000000000001,67,81.40000000000001,56.5,84.7,75
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,90.60000000000001,72.5,81.40000000000001,23.3,93.60000000000001,86.40000000000001
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,82.80000000000001,57,80.30000000000001,39.1,84.7,69.7
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,83.2,55.40000000000001,80.80000000000001,37.2,84.90000000000001,68.5
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,86.5,39.6,85.7,20.7,87.2,55.40000000000001
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,79.10000000000001,62.5,79.10000000000001,61.8,79.2,63.3
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,78.90000000000001,57.5,78.40000000000001,53.7,79.40000000000001,61.2
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,78.30000000000001,43.2,76.40000000000001,28.6,80,55.7
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,81.10000000000001,44.40000000000001,80.7,35.3,81.5,52.7
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,81.10000000000001,44.40000000000001,80.7,35.3,81.5,52.7
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,82.7,43.7,82,30.4,83.40000000000001,55.5
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,82.7,43.7,82,30.4,83.40000000000001,55.5
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,84.30000000000001,43.1,83.30000000000001,25.8,85.2,58
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,84.30000000000001,43.1,83.30000000000001,25.8,85.2,58
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,80.30000000000001,55.1,80.40000000000001,54,80.2,56.1
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,80.30000000000001,50.40000000000001,80.10000000000001,45.40000000000001,80.60000000000001,55.2
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,80.30000000000001,38.8,79.10000000000001,21.8,81.40000000000001,53.2
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,82.5,51.5,82.5,47.6,82.40000000000001,55.3
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,82.5,51.5,82.5,47.6,82.40000000000001,55.3
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,82.90000000000001,50,82.5,42.5,83.2,56.8
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,82.90000000000001,50,82.5,42.5,83.2,56.8
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,84.5,44.40000000000001,82.5,20.4,86,62
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,84.5,44.40000000000001,82.5,20.4,86,62
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,81.2,50.5,81.2,45.1,81.2,55.6
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,81.2,50.5,81.2,45.1,81.2,55.6
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,81.90000000000001,46.8,81.7,38,82.2,55.1
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,81.90000000000001,46.8,81.7,38,82.2,55.1
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,84.2,36.4,83.10000000000001,16.5,85.10000000000001,53.7
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,84.2,36.4,83.10000000000001,16.5,85.10000000000001,53.7
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,80.80000000000001,63.40000000000001,79,56,82.40000000000001,69.5
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,80.80000000000001,63.40000000000001,79,56,82.40000000000001,69.5
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,79.10000000000001,62.1,78.7,57.40000000000001,79.5,66.40000000000001
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,79.7,60.1,79.10000000000001,53.6,80.2,65.90000000000001
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,84.80000000000001,42.7,83.40000000000001,17.3,85.90000000000001,61.90000000000001
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,79.10000000000001,64.8,79,64.40000000000001,79.10000000000001,65.3
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,79.80000000000001,61.3,79.40000000000001,57,80.10000000000001,65.2
