id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,39.2,.25,106,132
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,41.6,.22,104,133
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,36.2,.27,101,131
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,38.8,.35,104,123
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,47.40000000000001,.29,103,119
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,57.1,.22,103,130
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,54.5,.21,108,107
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,43.2,.28,112,101
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,47.5,.18,109,101
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,53.1,.2,110,96.80000000000001
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,40.6,.29,125,130
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,24.2,.41,119,124
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,16.3,.44,119,116
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,10.4,.42,125,117
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,10,.4,125,105
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,17.9,.36,122,105
3_18_306_0,2001,Total,3,India,18,Assam,306,Sonitpur,38.5,.25,125,107
3_18_307_0,2001,Total,3,India,18,Assam,307,Lakhimpur,37.8,.2,127,80.80000000000001
3_18_308_0,2001,Total,3,India,18,Assam,308,Dhemaji,38.40000000000001,.16,127,75.2
3_18_309_0,2001,Total,3,India,18,Assam,309,Tinsukia,40.6,.19,135,72.5
3_18_310_0,2001,Total,3,India,18,Assam,310,Dibrugarh,19.2,.24,131,81.7
3_18_311_0,2001,Total,3,India,18,Assam,311,Sivasagar,15.9,.28,127,85.40000000000001
3_18_312_0,2001,Total,3,India,18,Assam,312,Jorhat,9.700000000000001,.3,125,85.30000000000001
3_18_313_0,2001,Total,3,India,18,Assam,313,Golaghat,20.1,.3,123,93
3_18_314_0,2001,Total,3,India,18,Assam,314,Karbi Anglong,47.5,.25,118,99
3_18_315_0,2001,Total,3,India,18,Assam,315,Dima Hasao,54.7,.21,109,95.80000000000001
3_18_316_0,2001,Total,3,India,18,Assam,316,Cachar,26,.24,103,111
3_18_317_0,2001,Total,3,India,18,Assam,317,Karimganj,14.2,.33,100,114
3_18_318_0,2001,Total,3,India,18,Assam,318,Hailakandi,17.9,.29,100,119
3_18_319_0,2001,Total,3,India,18,Assam,319,Bongaigaon,22.5,.35,124,119
3_18_320_0,2001,Total,3,India,18,Assam,320,Chirang,43.7,.27,124,137
3_18_321_0,2001,Total,3,India,18,Assam,321,Kamrup,11.3,.42,120,112
3_18_322_0,2001,Total,3,India,18,Assam,322,Kamrup Metropolitan,17.6,.37,125,114
3_18_323_0,2001,Total,3,India,18,Assam,323,Nalbari,7.9,.39,125,109
3_18_324_0,2001,Total,3,India,18,Assam,324,Baksa,39.40000000000001,.28,125,115
3_18_325_0,2001,Total,3,India,18,Assam,325,Darrang,10.3,.36,125,107
