id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ntl_pc,ntl_a
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,28.3,3.6
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,0,0
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,0,0
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,0,0
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,0,0
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,,
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,.58,.07
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,.7000000000000001,.08
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,21.4,2.9
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,3.5,.38
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,3.6,.42
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,5.9,6.2
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,.73,.07
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,.8200000000000001,.08
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,34.2,2.9
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,9.5,.44
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,9.800000000000001,.46
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,294,3.5
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,19.6,3.5
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,16.1,4.2
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,8.6,25
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,2.5,.12
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,2.7,.13
