id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,45.1,63.6,14.4,6.300000000000001,13.3,.1,.7000000000000001
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,5.100000000000001,96.80000000000001,.4,.4,.6000000000000001,.1,.4
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,10.1,90.7,3.1,1.6,2.6,.1,.5
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,38.7,56.5,18.1,8.800000000000001,13.9,.1,.8
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,3.8,94.2,1.4,.8,1.2,.1,.2
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,10.4,87,4.600000000000001,2,3.9,.1,.2
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,53.7,39.7,25.9,10,21.8,.2,.5
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,14.1,93,2.5,.6000000000000001,2.3,.1,.2
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,42.8,63.3,7.300000000000001,4.600000000000001,23.1,.1,.4
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,84.90000000000001,19.7,14.5,10.4,53.8,.2,.7000000000000001
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,3.3,97.40000000000001,.7000000000000001,.4,.6000000000000001,.1,.1
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,10,90.90000000000001,2.9,1.5,3.8,.1,.2
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,54.8,47.2,17.7,8.700000000000001,25.4,.2,.4
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,6.600000000000001,96.60000000000001,.4,.4,1.9,.1,.2
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,11.5,92.30000000000001,.7000000000000001,1.3,4.9,.1,.2
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,60,49.90000000000001,4.5,9.800000000000001,34.6,.1,.4
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),9,96.90000000000001,1.1,.6000000000000001,.8,.1,.1
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),11.3,95.10000000000001,1.3,1.2,1.9,.1,.1
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),76.60000000000001,45.3,4.4,16.7,33.2,0,0
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,9.4,96.60000000000001,1.1,.5,1,.1,.1
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,13.9,91.60000000000001,3.2,1.2,3.1,.1,.2
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,68,40.6,17.8,11.3,29.2,.1,.3
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,4.100000000000001,95.2,2.2,.3,.5,.1,.2
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,7.800000000000001,91.10000000000001,4.5,.8,1.8,.1,.2
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,50.3,43.5,31.5,6.7,16.8,.3,.3
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,1.7,95,2.1,.3,.3,.1,.1
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,10,86,6.4,1,4.4,.2,.1
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,68.3,22.7,36.5,5.7,33.1,.3,.6000000000000001
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,3,94.7,2.2,.5,.4,.1,.1
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,6.7,90.2,4.600000000000001,1.4,1.7,.1,.1
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,55.8,29.9,35.9,12.9,19.3,.1,.6000000000000001
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,4.100000000000001,94.60000000000001,2.5,.4,.5,.1,.1
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,7,91.40000000000001,4.4,.8,1.4,.1,.1
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,45.1,48.2,29.8,6.100000000000001,13.1,.1,.2
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,1.5,95.2,1.5,.4,.5,.1,.1
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,4.600000000000001,91.90000000000001,3.2,.9,1.8,.1,.1
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,46.3,47.5,25.3,7,18.5,.2,.3
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,1.5,95.2,1.5,.4,.5,.1,.1
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,4.600000000000001,91.90000000000001,3.2,.9,1.8,.1,.1
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,46.3,47.5,25.3,7,18.5,.2,.3
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,63.3,80.10000000000001,.1,12.9,6.2,.1,.1
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,64.8,76.80000000000001,.1,14.2,7.600000000000001,.1,.1
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,99.7,1.8,0,43.6,38.90000000000001,0,0
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,74.5,87.2,0,5.2,7.100000000000001,.1,.1
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,74.7,86.2,0,5.5,7.600000000000001,.1,.1
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,88.7,25.7,0,27.6,40.40000000000001,0,0
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,70.2,75.90000000000001,0,9.600000000000001,11.9,1.9,.2
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,71.10000000000001,73.60000000000001,0,10.1,13.7,1.8,.2
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,99.40000000000001,4,0,25.8,69.7,0,0
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,81.10000000000001,63.5,.1,18.3,17.5,.1,.1
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,85,49,.1,21.3,29,0,.1
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,97.10000000000001,3.2,.1,30.8,65,0,0
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,63.90000000000001,79.2,0,3.6,16.6,0,.1
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,69,68,0,5.4,25.9,0,0
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,96.90000000000001,6.800000000000001,0,15.4,76.5,0,0
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,73.8,72.2,.7000000000000001,3.4,22.9,.2,0
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,76.5,64.90000000000001,.6000000000000001,5.100000000000001,28.6,.2,0
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,95.80000000000001,13.3,0,16.8,69.2,.1,0
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,12.7,98.40000000000001,0,.1,1.5,0,0
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,29.9,89.90000000000001,0,1.5,8.4,0,0
