id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,.47,,.49,,1.2,.31,.34,.32,1.1,,2.1,,1.1,.75,5.800000000000001,1
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,.55,,.29,,1.1,.47,1.7,.43,1.3,,1.2,,.96,1.1,29.2,1.4
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,.55,,.29,,1.1,.47,1.7,.43,1.3,,1.2,,.96,1.1,29.2,1.4
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,1.4,,.46,,1.3,.67,2.5,.44,2.4,,1.9,,1.2,1.6,41.40000000000001,1.4
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,1.4,,.46,,1.3,.67,2.5,.44,2.4,,1.9,,1.2,1.6,41.40000000000001,1.4
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,.36,,.35,,.61,.34,,,.9,,1.4,,.5600000000000001,.8100000000000001,,
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,1,,.38,,.72,.53,.6900000000000001,.32,1.6,,1.6,,.65,1.3,11.6,1
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,.51,,.28,,1.6,.33,.53,.38,1,,1.2,,1.5,.79,8.800000000000001,1.2
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,.42,,.29,,3.3,.3,.6,.39,1,,1.2,,3,.71,10,1.3
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,.42,,.29,,3.3,.3,.6,.39,1,,1.2,,3,.71,10,1.3
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,3.8,,.35,,1.1,.54,1.2,.62,2.3,,1.4,,1,1.3,20,2
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,3.8,,.35,,1.1,.54,1.2,.62,2.3,,1.4,,1,1.3,20,2
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3.8,,.35,,1.1,.54,1.2,.62,2.3,,1.4,,1,1.3,20,2
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,1.9,,.24,,1.2,.51,.42,.47,1.7,,1,,1,1.2,7,1.5
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,1.9,,.24,,1.2,.51,.42,.47,1.7,,1,,1,1.2,7,1.5
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,,,,,,,,,,,,,,,,
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,,,,,,,,,,,
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,.59,.64,.37,.15,.74,.59,2.1,.55,1.5,.78,1.5,.58,.92,1.4,34.7,1.8
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,.59,.9500000000000001,.31,.23,.8,.6,2,.55,1.5,1.2,1.3,.84,.98,1.5,33.1,1.8
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,.5700000000000001,.99,.39,.23,.8100000000000001,.52,1.9,.59,1.5,1.2,1.6,.8100000000000001,1.1,1.3,32.6,1.9
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,.6,.52,.22,.23,.8100000000000001,.63,2.3,.64,1.6,.63,.9,.87,1,1.5,39,2.1
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,.72,.85,.36,.24,.98,.74,5.5,.7000000000000001,2.1,1,1.5,.85,1.2,1.8,92.7,2.3
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,.66,.9400000000000001,.36,.23,.79,.6900000000000001,,.51,1.7,1.1,1.5,.8300000000000001,.99,1.7,,1.6
