id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,77.60000000000001
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,40.5
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,40.5
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,48.40000000000001
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,48.40000000000001
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,67.10000000000001
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,67.10000000000001
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,46
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,46
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,23
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,27.6
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,63.90000000000001
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,21.2
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,28.7
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,63.7
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,21.8
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,27.2
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,61.8
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,21.8
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,27.2
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,61.8
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,25.4
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,34
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,73.10000000000001
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,25.4
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,25.4
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,34
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,34
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,73.10000000000001
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,73.10000000000001
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,19.3
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,19.3
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,27.6
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,27.6
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,57.3
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,57.3
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,19.3
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,19.3
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,27.6
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,27.6
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,57.3
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,57.3
