id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,92.10000000000001,96.2,82.40000000000001,7.100000000000001,75.3
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,88.30000000000001,93.80000000000001,74.10000000000001,6.300000000000001,67.8
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,92.40000000000001,97.2,81.90000000000001,7.4,74.5
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,91.80000000000001,97,81.40000000000001,7.2,74.10000000000001
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,88.30000000000001,96,78.5,6.5,72
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,91.7,96.2,76.7,7.600000000000001,69.10000000000001
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,91.40000000000001,95.7,76,7.4,68.60000000000001
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,89.60000000000001,92.7,71.90000000000001,6.300000000000001,65.60000000000001
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,89.30000000000001,95.60000000000001,76.90000000000001,7.4,69.5
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,87.30000000000001,93.90000000000001,68.5,6.7,61.8
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,84.40000000000001,90.80000000000001,58,5.9,52.1
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,91.10000000000001,97.30000000000001,78.2,8.1,70.10000000000001
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,90.2,96.90000000000001,76.7,7.9,68.8
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,84.30000000000001,93.80000000000001,68.3,6.9,61.3
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,90.2,96,79,8.4,70.60000000000001
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,89.90000000000001,96.30000000000001,78.2,8.300000000000001,70
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,87.10000000000001,98.60000000000001,71,7.300000000000001,63.8
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),90.5,96.5,81.7,8.200000000000001,73.5
