id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,und_15_t,und_15_f,und_15_m
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,4.5,8.800000000000001,2.1
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,4.5,9,2.1
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,4.2,13.1,1.2
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,2.2,2.4,2.1
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,2.2,2.3,2.1
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,.4,2,0
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,2.2,3,1.7
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,2.2,3.1,1.7
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,1.9,7.300000000000001,.5
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,2,2.2,1.9
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,2,2.2,1.8
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,.7000000000000001,1.3,.5
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,3.3,4.4,2.6
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,3,4.3,2.2
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,1.7,4,.8
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,3.2,4.3,2.3
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,2.5,4.2,1.5
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,.5,3.3,.2
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,6.300000000000001,10.6,4.5
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,5.9,9.9,4.100000000000001
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,.7000000000000001,1.5,.4
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,2.2,1.5,3
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,3.1,2.7,3.4
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,6.300000000000001,9.700000000000001,4.7
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,4.2,5.600000000000001,3.3
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,4.2,5.600000000000001,3.3
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,3.8,5.4,2.8
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,3.8,5.4,2.8
