id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,6.300000000000001,2.6,24.9
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,6.300000000000001,2.6,25.1
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,6.300000000000001,2.7,28.6
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,6.300000000000001,2.6,24.9
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,6.300000000000001,2.6,25.1
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,6.300000000000001,2.7,28.6
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,4.9,2.7,31.3
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,4.9,2.7,31.5
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,3.9,3,36.5
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,5.2,2.7,30.7
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,5.2,2.7,30.7
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,4.800000000000001,2.6,25.7
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,5.100000000000001,2.6,27.7
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,5.100000000000001,2.6,27.7
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,4.9,2.5,25.4
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,5,2.6,27.5
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,4.9,2.6,27.5
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,4.600000000000001,2.6,27.4
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,4.3,3,36.2
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,4.3,2.8,33.2
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,3.8,2,16.8
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,4.7,3.2,39.40000000000001
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,4.600000000000001,3.1,37.8
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,4.4,2.5,26.3
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,4.9,4.5,63.6
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,4.9,4.100000000000001,56.5
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,4.800000000000001,2.9,34.7
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,5.100000000000001,3.5,44.90000000000001
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,5.100000000000001,3.5,44.90000000000001
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,4.800000000000001,2.9,32.5
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,4.800000000000001,2.9,32.5
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,4.5,2.4,22.2
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,4.5,2.4,22.2
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,5.2,4.600000000000001,65
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,5.100000000000001,4,53.40000000000001
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,5,2.4,23.2
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,5.9,4.2,57
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,5.9,4.2,57
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,5.600000000000001,3.8,49.6
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,5.600000000000001,3.8,49.6
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,4.600000000000001,2.4,25.3
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,4.600000000000001,2.4,25.3
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,5.5,3.7,48.8
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,5.5,3.7,48.8
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,5.300000000000001,3.3,41.7
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,5.300000000000001,3.3,41.7
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,4.7,2.4,24.7
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,4.7,2.4,24.7
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,4.800000000000001,3.7,46.90000000000001
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,4.800000000000001,3.7,46.90000000000001
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,5.300000000000001,2.8,34.4
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,5.100000000000001,2.8,33.4
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,4.2,2.4,25.7
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,5.5,3.1,37.9
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,5.300000000000001,3,35.3
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,4.100000000000001,2.3,23.2
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,5.2,4.7,64.90000000000001
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,5.2,4.4,60.2
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,4.7,2.6,30.2
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,5.2,4.7,64.90000000000001
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,5.2,4.4,60.2
