state_CONSISTENT,districtname,plant1994,plant_size1994,plant2000,plant_size2000,plant2005,plant_size2005,plant2007,plant_size2007,plant2009,plant_size2009,empt1994,empt2000,empt2005,empt2007,empt2009,output1994,output2000,output2005,output2007,output2009
ANDHRA PRADESH,Kurnool,403,1610198.125,251.2318992614746,8820035,374.0853981971741,2443912,543.2589864730835,1197953.625,495.1859908103943,2362969.5,10829.999999338566,25132.35770225525,8523.824175834656,8759.33657503128,9873.119691371918,648909837.7871094,2215874054.8359375,914231834.2441406,650799073.765625,1170109396.6074219
ANDHRA PRADESH,Mahbubnagar,139,4521484.5,562.8813076019287,4196119.5,172.0342984199524,8039794.5,173.11320161819458,7462184.5,246.563796043396,11135612,9559.000003281748,26016.150975704193,14555.826958179474,13843.09982585907,19812.4317278862,628486367.1816406,2361917369.1953125,1383120369.7890625,1291802656,2745638858.0234375
ANDHRA PRADESH,Medak,585.9999998807907,5456237.5,528.4672102928162,3169082,525.6438972949982,11348338,532.3477998971939,12530523,622.050295829773,20245858,54268.99999986382,24849.36532688141,58613.81585478783,60152.884506344795,78815.27099275589,3197355175.0078125,1674755978.515625,5965184560.1796875,6670596316.796875,12593941864.671875
ANDHRA PRADESH,Nalgonda,236,6018602.5,249.08040046691895,4356567,195.78419733047485,12256367,346.62890243530273,21525638,370.7233943939209,9673783,18213,19434.88879776001,19687.280769348145,40359.256731987,32859.22571706772,1420390176.1953125,1085135499.2304688,2399602904.671875,7461408097.2109375,3586297614.59375
ANDHRA PRADESH,Nellore,198.00000023841858,1821364.75,165.3690037727356,1718163.875,259.84609937667847,3317856.25,250.56160163879395,4801992,228.320396900177,6048468,7880.999996384798,20463.213915348053,10183.12869310379,15459.341005325317,20311.62268972397,360630222.30859375,284131054.6484375,862132010.12890625,1203194802.109375,1380988631.953125
ANDHRA PRADESH,Nizamabad,4215,203587.53125,207.67480325698853,4720181.5,301.82409620285034,3135767.75,227.88800191879272,5211861.5,262.4917960166931,4985429,247025,9064.794167041779,221435.50560426712,211282.55580043793,223385.6559305191,858121445.1171875,980262734.21875,946450252.484375,1187720680.9609375,1308634196.75
ANDHRA PRADESH,Prakasam,169,4330816.5,256.717303276062,5324940,142.93449783325195,2974401.25,382.96119499206543,3280960.75,484.53839349746704,1742066.375,10683.000003186102,17951.311896324158,7250.623076915741,11173.630187869072,13815.966769218445,731907964.8183594,1367004263.9453125,425144555.66796875,1256480631.390625,844098049.2128906
ANDHRA PRADESH,Rangareddi,1064.999998986721,3374100.25,365.3765068054199,4837587,1714.853194475174,5536820.5,1680.7612965106964,8164765.5,1582.2391991615295,8769799,66587.99996324707,29546.09519958496,106361.20411098003,133502.90717709064,120291.415807724,3593416675.164032,1767540712.5820312,9494834324.916016,13723021802.794922,13875919431.914062
ANDHRA PRADESH,Srikakulam,122.00000047683716,2421843.25,73.3241024017334,3567979.5,290.3801007270813,4177273.25,354.370201587677,3981511.5,398.42619371414185,3161146.5,6693.999999674434,5615.697657585144,14818.309216976166,17201.359831809998,18552.197729110718,295464881.30566406,261618889.796875,1212997051.3476562,1410928997.4785156,1259483554.2890625
ANDHRA PRADESH,Visakhapatnam,191.00000047683716,8590149,139.43750476837158,2769353.5,328.40379893779755,11363262,334.73899924755096,10085646,386.7519006729126,14215614,25417.000010965792,35594.31132507324,31603.739176273346,36225.255256056786,44438.251333236694,1640718396.5585938,386151728,3731738384.515625,3376059030.8203125,5497915851.941406
ANDHRA PRADESH,Vizianagaram,207.00000035762787,2172364.5,198.8889045715332,4403875,130.90210020542145,7549951,177.20290100574493,9920540,163.12799787521362,14425866,12296.000001686196,246904.95650291443,32420.806644916534,32333.630415558815,32703.335747241974,449679438.0292969,875881832.71875,988304442.921875,1757948492.109375,2353262588.1953125
