misAll2010State,misAll2010District,spatialId
PUNJAB,Jalandhar,3_3_37_0
PUNJAB,Kapurthala,3_3_36_0
PUNJAB,Ludhiana,3_3_41_0
PUNJAB,Sangrur,3_3_53_0
RAJASTHAN,Ajmer,3_8_119_0
RAJASTHAN,Alwar,3_8_104_0
RAJASTHAN,Banswara,3_8_125_0
RAJASTHAN,Barmer,3_8_115_0
RAJASTHAN,Bharatpur,3_8_105_0
RAJASTHAN,Bhilwara,3_8_122_0
RAJASTHAN,Bikaner,3_8_101_0
RAJASTHAN,Bundi,3_8_121_0
RAJASTHAN,Chittaurgarh,3_8_126_0
RAJASTHAN,Churu,3_8_102_0
RAJASTHAN,Dungarpur,3_8_124_0
RAJASTHAN,Ganganagar,3_8_99_0
RAJASTHAN,Jaipur,3_8_110_0
RAJASTHAN,Jaisalmer,3_8_114_0
RAJASTHAN,Jalor,3_8_116_0
RAJASTHAN,Jhalawar,3_8_129_0
RAJASTHAN,Jhunjhunun,3_8_103_0
RAJASTHAN,Jodhpur,3_8_113_0
RAJASTHAN,Kota,3_8_127_0
RAJASTHAN,Nagaur,3_8_112_0
RAJASTHAN,Pali,3_8_118_0
RAJASTHAN,Sawai Madhopur,3_8_108_0
RAJASTHAN,Sikar,3_8_111_0
RAJASTHAN,Sirohi,3_8_117_0
RAJASTHAN,Tonk,3_8_120_0
RAJASTHAN,Udaipur,3_8_130_0
TAMIL NADU,Chengai Anna (Chengalpattu),3_33_604_0
TAMIL NADU,Chennai,3_33_603_0
TAMIL NADU,Coimbatore,3_33_632_0
TAMIL NADU,Dharmapuri,3_33_630_0
TAMIL NADU,Dindigul,3_33_612_0
TAMIL NADU,Erode,3_33_610_0
TAMIL NADU,Kanniyakumari,3_33_629_0
TAMIL NADU,Madurai,3_33_623_0
TAMIL NADU,Pudukkottai,3_33_621_0
TAMIL NADU,Ramanathapuram,3_33_626_0
TAMIL NADU,Salem,3_33_608_0
TAMIL NADU,Sivaganga,3_33_622_0
TAMIL NADU,South Arcot,3_33_617_0
TAMIL NADU,Thanjavur,3_33_620_0
TAMIL NADU,The Nilgiris,3_33_611_0
TAMIL NADU,Tiruchirappalli,3_33_614_0
TAMIL NADU,Tirunelveli,3_33_628_0
TAMIL NADU,Tiruvanamalai,3_33_606_0
TAMIL NADU,Toothukudi,3_33_627_0
TAMIL NADU,Vellore,3_33_605_0
TAMIL NADU,Virudhunagar,3_33_625_0
UTTAR PRADESH,Agra,3_9_146_0
UTTAR PRADESH,Aligarh,3_9_143_0
UTTAR PRADESH,Mathura,3_9_145_0
UTTAR PRADESH,Allahabad,3_9_175_0
UTTAR PRADESH,Banda,3_9_170_0
UTTAR PRADESH,Almora,3_5_64_0
UTTAR PRADESH,Azamgarh,3_9_191_0
UTTAR PRADESH,Bahraich,3_9_180_0
UTTAR PRADESH,Ballia,3_9_193_0
UTTAR PRADESH,Barabanki,3_9_176_0
UTTAR PRADESH,Bareilly,3_9_150_0
UTTAR PRADESH,Basti,3_9_185_0
UTTAR PRADESH,Bijnor,3_9_134_0
UTTAR PRADESH,Budaun,3_9_149_0
UTTAR PRADESH,Bulandshahr,3_9_142_0
UTTAR PRADESH,Chamoli,3_5_57_0
UTTAR PRADESH,PauriGarhwal,3_5_61_0
UTTAR PRADESH,TehriGarhwal,3_5_59_0
UTTAR PRADESH,Dehradun,3_5_60_0
UTTAR PRADESH,Deoria,3_9_190_0
UTTAR PRADESH,Etah,3_9_201_0
UTTAR PRADESH,Etawah,3_9_161_0
UTTAR PRADESH,Faizabad,3_9_177_0
UTTAR PRADESH,Farrukhabad,3_9_159_0
UTTAR PRADESH,Fatehpur,3_9_172_0
UTTAR PRADESH,Firozabad,3_9_147_0
UTTAR PRADESH,Ghaziabad,3_9_140_0
UTTAR PRADESH,Ghazipur,3_9_195_0
UTTAR PRADESH,Gonda,3_9_183_0
UTTAR PRADESH,Gorakhpur,3_9_188_0
UTTAR PRADESH,Hamirpur,3_9_168_0
UTTAR PRADESH,Hardoi,3_9_155_0
UTTAR PRADESH,Jalaun,3_9_165_0
UTTAR PRADESH,Jaunpur,3_9_194_0
