state,district,spatialId,finalId,year,mis_out_3b,mis_Y_3b,mis_L_3b,mis_T_3b,mis_KT_3b,mis_K_3b
BIHAR,Gumla,3_20_366_0,3_20_366_0,2e3,-0.004682,-0.154595,0.421165,0.367682,0.40251,0.272358
BIHAR,Gumla,3_20_366_0,3_20_366_0,2010.0,-0.34369,-0.299382,0.209619,0.054793,4.1e-4,-0.344679
BIHAR,Hazaribag,3_20_360_0,3_20_360_0,2e3,0.30332,0.101404,0.241589,0.792544,0.704266,0.65259
BIHAR,Hazaribag,3_20_360_0,3_20_360_0,2010.0,-0.140413,-0.207523,0.122726,0.27983,0.406439,0.465984
BIHAR,Jehanabad,3_10_239_0,3_10_239_0,2e3,-0.491255,-0.581609,0.027645,-0.082816,-0.038225,0.15962200000000001
BIHAR,Jehanabad,3_10_239_0,3_10_239_0,2010.0,-0.323929,-0.272693,0.321688,0.082351,0.011547,-0.292537
BIHAR,Katihar,3_10_212_0,3_10_212_0,2e3,-0.476127,-0.659099,8e-5,0.156675,-0.08665,-0.388677
BIHAR,Katihar,3_10_212_0,3_10_212_0,2010.0,0.163657,-0.071504,0.27399,0.308373,0.306182,0.285713
BIHAR,Khagaria,3_10_223_0,3_10_223_0,2e3,0.174626,-0.051077,0.13122,0.377966,0.406197,0.50353
BIHAR,Khagaria,3_10_223_0,3_10_223_0,2010.0,-0.204311,-0.156157,0.1196,0.035525,0.020559,-0.06149
BIHAR,Lohardaga,3_20_356_0,3_20_356_0,2e3,-0.288978,-0.39019,0.357643,0.451797,0.395189,0.107707
BIHAR,Lohardaga,3_20_356_0,3_20_356_0,2010.0,-0.349765,-0.329554,0.108426,0.082399,0.137573,0.354382
BIHAR,Madhepura,3_10_213_0,3_10_213_0,2e3,-1.244747,-1.224243,0.238249,-0.009729,0.101844,0.269386
BIHAR,Madhepura,3_10_213_0,3_10_213_0,2010.0,-0.169774,-0.165667,0.037085,0.108102,0.094596,-0.009894
BIHAR,Madhubani,3_10_207_0,3_10_207_0,2e3,-0.019194,-0.110276,0.031119,0.413634,0.465635,0.468762
BIHAR,Madhubani,3_10_207_0,3_10_207_0,2010.0,-0.358507,-0.305108,-0.481658,0.527093,0.466337,0.094856
BIHAR,Munger,3_10_226_0,3_10_226_0,2e3,-0.41344,-0.326079,0.118802,0.193359,0.163849,0.133271
BIHAR,Munger,3_10_226_0,3_10_226_0,2010.0,-2.286873,-2.49182,-0.090475,-0.142632,-1.305475,-2.24463
BIHAR,Muzaffarpur,3_10_216_0,3_10_216_0,2e3,0.108113,-0.06441,0.095856,0.356555,0.432206,0.465259
BIHAR,Muzaffarpur,3_10_216_0,3_10_216_0,2010.0,-1.026431,-0.743951,-0.432516,-0.726525,-0.665473,-0.597586
BIHAR,Nalanda,3_10_229_0,3_10_229_0,2e3,-0.269617,-0.29547,-0.049444,0.076648,0.071027,0.035572
BIHAR,Nalanda,3_10_229_0,3_10_229_0,2010.0,-0.018476,-0.172375,0.436574,-0.018089,-0.015447,-0.007477
BIHAR,Nawada,3_10_237_0,3_10_237_0,2e3,-0.760698,-0.625476,-0.162356,0.208389,0.008476,-0.396213
BIHAR,Nawada,3_10_237_0,3_10_237_0,2010.0,0.061206000000000003,0.128707,0.16757,0.462548,0.426111,0.150807
BIHAR,Palamu,3_20_358_0,3_20_359_0,2e3,-0.044142,0.152771,0.343643,0.381815,0.009578,-0.591761
BIHAR,Palamu,3_20_358_0,3_20_359_0,2010.0,-0.332354,-0.457283,0.329513,0.242177,0.170982,-0.073476
BIHAR,Patna,3_10_230_0,3_10_230_0,2e3,-0.339207,-0.337502,0.142164,0.065908,-0.110001,-0.285329
BIHAR,Patna,3_10_230_0,3_10_230_0,2010.0,-0.63748,-1.081345,-0.057182,0.018087,-0.228469,-0.754341
