distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
512,3_5_67_0,3_5_67_0,Udham Singh Nagar,Uttarakhand,Udham Singh Nagar,Uttaranchal,Udhamsingh Singh Nagar,Uttarakhand,U. Singh Nagar,NA,Uttarakhand,Udham Singh Nagar,79.4718715,29.04121523,216.71889866833752,221.79626217103933,149.02595488712606,218.880781240244,not nodal
513,3_5_68_0,3_5_68_0,Hardwar,Uttarakhand,Hardwar,Uttaranchal,Hardwar,Uttarakhand,Hardwar,NA,Uttarakhand,Hardwar,78.00503209,29.88084465,155.33785771935803,100.03384712424763,161.25051521974268,135.0053790282155,not nodal
601,3_6_69_0,3_6_69_0,Panchkula,Haryana,Panchkula,Haryana,Panchkula,Haryana,Panchkula,NA,Haryana,Panchkula,76.97710571,30.68320273,226.74563380421822,38.96117305913898,231.78688093667492,89.94135278065177,not nodal
602,3_6_70_0,3_6_70_0,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,NA,Haryana,Ambala,76.9435869,30.32228894,187.32630656233718,9.032086038192551,192.24322782825297,68.07514324538897,not nodal
603,3_6_71_0,3_6_71_0,Yamunanagar,Haryana,Yamunanagar,Haryana,Yamunanagar,Haryana,Yamunanagar,NA,Haryana,Yamunanagar,77.30543699,30.22839998,174.898573719744,40.35357031423984,180.3420214255239,93.72553105758448,not nodal
604,3_6_72_0,3_6_72_0,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra,NA,Haryana,Kurukshetra,76.78852385,30.03428333,159.11555118676083,9.989918293789671,163.6013365564142,39.70022174801439,not nodal
605,3_6_73_0,3_6_73_0,Kaithal,Haryana,Kaithal,Haryana,Kaithal,Haryana,Kaithal,NA,Haryana,Kaithal,76.41534883,29.81659576,150.93416114817146,49.00626874905902,154.71905175405576,3.581032824297806,not nodal
606,3_6_74_0,3_6_74_0,Karnal,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal,NA,Haryana,Karnal,76.88901787,29.68548638,119.12015718838425,10.247543072137727,123.58115393623947,29.715048463357164,not nodal
608,3_6_76_0,3_6_76_0,Sonipat,Haryana,Sonipat,Haryana,Sonipat,Haryana,Sonipat,NA,Haryana,Sonipat,76.8775717,29.0516812,55.12680090493993,19.929764365044598,58.6734150372585,4.946848587359205,not nodal
609,3_6_77_0,3_6_77_0,Jind,Haryana,Jind,Haryana,Jind,Haryana,Jind,NA,Haryana,Jind,76.31770031,29.4356349,123.21062239280937,64.35363679984872,126.20378389049705,32.33191021233618,not nodal
