NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode"
HAR,Eastern,Karnal,8,1,5
HAR,Eastern,Panipat,8,1,6
HAR,Eastern,Sonipat,8,1,7
HAR,Eastern,Rohtak,8,1,8
HAR,Eastern,Faridabad,8,1,9
HAR,Eastern,Gurgaon,8,1,10
HAR,Western,Rewari,8,2,11
HAR,Western,Mahendragarh,8,2,12
HAR,Western,Bhilwani,8,2,13
GUJ,Plains Northern,Mahesana,7,2,10
GUJ,Plains Northern,Gandhinagar,7,2,11
GUJ,Plains Northern,Ahmedabad,7,2,12
GUJ,Plains Northern,Kheda,7,2,13
GUJ,Plains Southern,Panch Mahals,7,3,14
GUJ,Plains Southern,Vadodara,7,3,15
GUJ,Plains Southern,Bharuch,7,3,16
GUJ,Plains Southern,Surat,7,3,17
GUJ,Plains Southern,Valsad,7,3,18
GUJ,Saurashtra,Jamnagar,7,5,1
GUJ,Saurashtra,Rajkot,7,5,2
GUJ,Saurashtra,Bhavnagar,7,5,4
GUJ,Saurashtra,Amreli,7,5,5
GUJ,Saurashtra,Junagadh,7,5,6
HAR,Eastern,Ambala,8,1,1
HAR,Eastern,Yamuna Nagar,8,1,2
HAR,Eastern,Kurukshetra,8,1,3
HAR,Eastern,Kaithal,8,1,4
HAR,Eastern,Karnal,8,1,5
HAR,Eastern,Panipat,8,1,6
HAR,Eastern,Sonipat,8,1,7
HAR,Eastern,Rohtak,8,1,8
HAR,Eastern,Faridabad,8,1,9
HAR,Eastern,Gurgaon,8,1,10
HAR,Western,Rewari,8,2,11
HAR,Western,Mahendragarh,8,2,12
HAR,Western,Bhilwani,8,2,13
HAR,Western,Hisar,8,2,15
HAR,Western,Sirsa,8,2,16
HPR,HPR,Chamba,9,1,1
HPR,HPR,Kangra,9,1,2
HPR,HPR,Hamirpur,9,1,3
HPR,HPR,Una,9,1,4
HPR,HPR,Bilaspur,9,1,5
HPR,HPR,Mandi,9,1,6
HPR,HPR,Kullu,9,1,7
HPR,HPR,Lahul & Spiti,9,1,8
HPR,HPR,Shimla,9,1,9
HPR,HPR,Solan,9,1,10
HPR,HPR,Sirampur,9,1,11
HPR,HPR,Kinnaur,9,1,12
KAR,Coastal & Ghats,Dakshin Kannad,11,1,9
KAR,Coastal & Ghats,Uttar Kannad,11,1,20
KAR,Inland Eastern,Chikmagalur,11,2,7
KAR,Inland Eastern,Hassan,11,2,12
KAR,Inland Eastern,Kodagu,11,2,13
KAR,Inland Eastern,Shimoga,11,2,18
KAR,Inland Northern,Belgaum,11,4,3
KAR,Inland Northern,Bellary,11,4,4
KAR,Inland Northern,Bidar,11,4,5
KAR,Inland Northern,Bijapur,11,4,6
KAR,Inland Northern,Chitradurga,11,4,8
KAR,Inland Northern,Dharwad,11,4,10
KAR,Inland Northern,Gulbarga,11,4,11
KAR,Inland Northern,Raichur,11,4,17
KAR,Inland Southern,Bangalore (Urban),11,3,1
KAR,Inland Southern,Bangalore (Rural),11,3,2
KAR,Inland Southern,Kolar,11,3,14
HAR,Western,Hisar,8,2,15
HAR,Western,Sirsa,8,2,16
HPR,HPR,Chamba,9,1,1
HPR,HPR,Kangra,9,1,2
HPR,HPR,Hamirpur,9,1,3
HPR,HPR,Una,9,1,4
HPR,HPR,Bilaspur,9,1,5
HPR,HPR,Mandi,9,1,6
HPR,HPR,Kullu,9,1,7
HPR,HPR,Lahul & Spiti,9,1,8
HPR,HPR,Shimla,9,1,9
HPR,HPR,Solan,9,1,10
HPR,HPR,Sirampur,9,1,11
HPR,HPR,Kinnaur,9,1,12
KAR,Coastal & Ghats,Dakshin Kannad,11,1,9
KAR,Coastal & Ghats,Uttar Kannad,11,1,20
KAR,Inland Eastern,Chikmagalur,11,2,7
KAR,Inland Eastern,Hassan,11,2,12
KAR,Inland Eastern,Kodagu,11,2,13
KAR,Inland Eastern,Shimoga,11,2,18
KAR,Inland Northern,Belgaum,11,4,3
KAR,Inland Northern,Bellary,11,4,4
KAR,Inland Northern,Bidar,11,4,5
KAR,Inland Northern,Bijapur,11,4,6
KAR,Inland Northern,Chitradurga,11,4,8
KAR,Inland Northern,Dharwad,11,4,10
