distCode,distName,spatialId,finalId
2408,Surendranagar,3_24_475_0,3_24_475_0
2409,Rajkot,3_24_476_0,3_24_476_0
2410,Jamnagar,3_24_477_0,3_24_477_0
2412,Junagadh,3_24_479_0,3_24_479_0
2413,Amreli,3_24_480_0,3_24_480_0
2414,Bhavnagar,3_24_481_0,3_24_481_0
2415,Anand,3_24_482_0,3_24_482_0
2416,Kheda,3_24_483_0,3_24_483_0
2419,Vadodara,3_24_486_0,3_24_486_0
2420,Narmada,3_24_487_0,3_24_487_0
2421,Bharuch,3_24_488_0,3_24_488_0
2422,Surat,3_24_492_0,3_24_492_0
2501,Diu,3_25_494_0,3_25_494_0
2502,Daman,3_25_495_0,3_25_495_0
2601,Dadra & Nagar Haveli,3_26_496_0,3_26_496_0
2701,Nandurbar,3_27_497_0,3_27_497_0
2702,Dhule,3_27_498_0,3_27_498_0
2703,Jalgaon,3_27_499_0,3_27_499_0
2705,Akola,3_27_501_0,3_27_501_0
2706,Washim,3_27_502_0,3_27_502_0
2707,Amarawti,3_27_503_0,3_27_503_0
2708,Wardha,3_27_504_0,3_27_504_0
2709,Nagpur,3_27_505_0,3_27_505_0
2710,Bhandara,3_27_506_0,3_27_506_0
2711,Gondiya,3_27_507_0,3_27_507_0
2713,Chandrapur,3_27_509_0,3_27_509_0
2714,Yavatmal,3_27_510_0,3_27_510_0
2715,Nanded,3_27_511_0,3_27_511_0
2716,Hingoli,3_27_512_0,3_27_512_0
2717,Parbhani,3_27_513_0,3_27_513_0
2718,Jalna,3_27_514_0,3_27_514_0
2720,Nasik,3_27_516_0,3_27_516_0
2721,Thane,3_27_517_0,3_27_517_0
2723,Mumbai,3_27_519_0,3_27_519_0
2725,Pune,3_27_521_0,3_27_521_0
2726,Ahmadnagar,3_27_522_0,3_27_522_0
2727,Bid,3_27_523_0,3_27_523_0
2729,Osmanabad,3_27_525_0,3_27_525_0
2730,Solapur,3_27_526_0,3_27_526_0
2731,Satara,3_27_527_0,3_27_527_0
2732,Ratnagiri,3_27_528_0,3_27_528_0
2734,Kolhapur,3_27_530_0,3_27_530_0
2801,Adilabad,3_28_532_0,3_28_532_0
2802,Nizamabad,3_28_533_0,3_28_533_0
2803,Karimnagar,3_28_534_0,3_28_534_0
2804,Medak,3_28_535_0,3_28_535_0
2805,Hyderabad,3_28_536_0,3_28_536_0
2806,Rangareddi,3_28_537_0,3_28_537_0
2807,Mahbubnagar,3_28_538_0,3_28_538_0
