distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
812,3_8_110_0,3_8_110_0,Jaipur,Rajasthan,Jaipur,Rajasthan,Jaipur,Rajasthan,Jaipur,NA
813,3_8_111_0,3_8_111_0,Sikar,Rajasthan,Sikar,Rajasthan,Sikar,Rajasthan,Sikar,NA
814,3_8_112_0,3_8_112_0,Nagaur,Rajasthan,Nagaur,Rajasthan,Nagaur,Rajasthan,Nagaur,NA
815,3_8_113_0,3_8_113_0,Jodhpur,Rajasthan,Jodhpur,Rajasthan,Jodhpur,Rajasthan,Jodhpur,NA
818,3_8_116_0,3_8_116_0,Jalor,Rajasthan,Jalor,Rajasthan,Jalor,Rajasthan,Jalor,NA
820,3_8_118_0,3_8_118_0,Pali,Rajasthan,Pali,Rajasthan,Pali,Rajasthan,Pali,NA
821,3_8_119_0,3_8_119_0,Ajmer,Rajasthan,Ajmer,Rajasthan,Ajmer,Rajasthan,Ajmer,NA
824,3_8_122_0,3_8_122_0,Bhilwara,Rajasthan,Bhilwara,Rajasthan,Bhilwara,Rajasthan,Bhilwara,NA
825,3_8_123_0,3_8_123_0,Rajsamand,Rajasthan,Rajsamand,Rajasthan,Rajsamand,Rajasthan,Rajsamand,NA
826,3_8_130_0,3_8_125_0,Udaipur,Rajasthan,Udaipur,Rajasthan,Udaipur,Rajasthan,Udaipur,"Pratapgarh formed from parts of Banswara, Chittorgarh, and Udaipur"
829,3_8_126_0,3_8_125_0,Chittaurgarh,Rajasthan,Chittaurgarh,Rajasthan,Chittaurgarh,Rajasthan,Chittaurgarh,"Pratapgarh formed from parts of Banswara, Chittorgarh, and Udaipur"
830,3_8_127_0,3_8_127_0,Kota,Rajasthan,Kota,Rajasthan,Kota,Rajasthan,Kota,NA
831,3_8_128_0,3_8_128_0,Baran,Rajasthan,Baran,Rajasthan,Baran,Rajasthan,Baran,NA
832,3_8_129_0,3_8_129_0,Jhalawar,Rajasthan,Jhalawar,Rajasthan,Jhalawar,Rajasthan,Jhalawar,NA
901,3_9_132_0,3_9_132_0,Saharanpur,Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur,NA
902,3_9_133_0,3_9_133_0,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,NA
903,3_9_134_0,3_9_134_0,Bijnor,Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor,NA
